time,open,high,low,close,Volume,Volume MA,% Return
1874-07-01,4.5,4.5,4.5,4.5,0,0,0.00
1874-09-01,4.5,4.5,4.5,4.5,0,0,1.79
1874-10-01,4.5,4.5,4.5,4.5,0,0,-0.22
1874-12-01,4.5,4.5,4.5,4.5,0,0,0.22
1875-01-01,4.5,4.5,4.5,4.5,0,0,0.00
1875-02-01,4.5,4.5,4.5,4.5,0,0,-0.22
1875-03-01,4.6,4.6,4.6,4.6,0,0,1.32
1875-04-01,4.7,4.7,4.7,4.7,0,0,1.31
1875-06-01,4.4,4.4,4.4,4.4,0,0,-5.81
1875-07-01,4.4,4.4,4.4,4.4,0,0,0.23
1875-09-01,4.4,4.4,4.4,4.4,0,0,-0.46
1875-10-01,4.3,4.3,4.3,4.3,0,0,-1.60
1875-11-01,4.4,4.4,4.4,4.4,0,0,1.63
1875-12-01,4.4,4.4,4.4,4.4,0,0,0.00
1876-02-01,4.5,4.5,4.5,4.5,0,0,3.43
1876-03-01,4.5,4.5,4.5,4.5,0,0,-0.22
1876-05-01,4.2,4.2,4.2,4.2,0,0,-7.32
1876-06-01,4.2,4.2,4.2,4.2,0,0,-0.72
1876-08-01,3.9,3.9,3.9,3.9,0,0,-5.30
1876-09-01,3.7,3.7,3.7,3.7,0,0,-6.11
1876-11-01,3.6,3.6,3.6,3.6,0,0,-2.44
1876-12-01,3.6,3.6,3.6,3.6,0,0,-0.56
1877-01-01,3.6,3.6,3.6,3.6,0,0,-0.84
1877-02-01,3.3,3.3,3.3,3.3,0,0,-5.92
1877-03-01,3.2,3.2,3.2,3.2,0,0,-5.09
1877-05-01,2.9,2.9,2.9,2.9,0,0,-7.26
1877-06-01,2.7,2.7,2.7,2.7,0,0,-7.14
1877-08-01,3.1,3.1,3.1,3.1,0,0,11.72
1877-10-01,3.3,3.3,3.3,3.3,0,0,8.52
1877-11-01,3.3,3.3,3.3,3.3,0,0,-1.51
1878-01-01,3.3,3.3,3.3,3.3,0,0,-0.31
1878-02-01,3.2,3.2,3.2,3.2,0,0,-2.15
1878-03-01,3.2,3.2,3.2,3.2,0,0,1.89
1878-04-01,3.3,3.3,3.3,3.3,0,0,2.78
1878-05-01,3.3,3.3,3.3,3.3,0,0,0.30
1878-07-01,3.5,3.5,3.5,3.5,0,0,4.19
1878-08-01,3.5,3.5,3.5,3.5,0,0,-0.86
1878-10-01,3.5,3.5,3.5,3.5,0,0,0.87
1878-11-01,3.5,3.5,3.5,3.5,0,0,-0.29
1879-01-01,3.6,3.6,3.6,3.6,0,0,3.17
1879-04-01,3.8,3.8,3.8,3.8,0,0,5.31
1879-05-01,3.9,3.9,3.9,3.9,0,0,4.51
1879-07-01,4.0,4.0,4.0,4.0,0,0,2.54
1879-08-01,4.1,4.1,4.1,4.1,0,0,0.74
1879-09-01,4.2,4.2,4.2,4.2,0,0,3.69
1879-10-01,4.7,4.7,4.7,4.7,0,0,10.90
1879-12-01,4.9,4.9,4.9,4.9,0,0,5.13
1880-01-01,5.1,5.1,5.1,5.1,0,0,3.86
1880-03-01,5.3,5.3,5.3,5.3,0,0,3.72
1880-04-01,5.2,5.2,5.2,5.2,0,0,-2.26
1880-06-01,4.8,4.8,4.8,4.8,0,0,-7.53
1880-07-01,5.0,5.0,5.0,5.0,0,0,4.59
1880-09-01,5.2,5.2,5.2,5.2,0,0,3.39
1880-10-01,5.3,5.3,5.3,5.3,0,0,2.90
1880-11-01,5.6,5.6,5.6,5.6,0,0,5.25
1880-12-01,5.8,5.8,5.8,5.8,0,0,4.10
1881-02-01,6.2,6.2,6.2,6.2,0,0,5.65
1881-03-01,6.2,6.2,6.2,6.2,0,0,1.13
1881-04-01,6.2,6.2,6.2,6.2,0,0,-0.32
1881-06-01,6.6,6.6,6.6,6.6,0,0,5.79
1881-07-01,6.4,6.4,6.4,6.4,0,0,-3.50
1881-08-01,6.2,6.2,6.2,6.2,0,0,-2.36
1881-09-01,6.3,6.3,6.3,6.3,0,0,0.81
1881-11-01,6.2,6.2,6.2,6.2,0,0,-0.96
1881-12-01,6.0,6.0,6.0,6.0,0,0,-2.91
1882-02-01,5.8,5.8,5.8,5.8,0,0,-3.66
1882-03-01,5.8,5.8,5.8,5.8,0,0,-0.17
1882-05-01,5.7,5.7,5.7,5.7,0,0,-1.21
1882-06-01,5.7,5.7,5.7,5.7,0,0,-0.53
1882-08-01,6.2,6.2,6.2,6.2,0,0,8.80
1882-09-01,6.2,6.2,6.2,6.2,0,0,0.97
1882-11-01,5.8,5.8,5.8,5.8,0,0,-6.89
1882-12-01,5.8,5.8,5.8,5.8,0,0,0.52
1883-01-01,5.8,5.8,5.8,5.8,0,0,-0.51
1883-02-01,5.7,5.7,5.7,5.7,0,0,-2.24
1883-03-01,5.8,5.8,5.8,5.8,0,0,1.23
1883-05-01,5.8,5.8,5.8,5.8,0,0,0.35
1883-06-01,5.8,5.8,5.8,5.8,0,0,0.87
1883-08-01,5.5,5.5,5.5,5.5,0,0,-6.01
1883-10-01,5.4,5.4,5.4,5.4,0,0,-1.65
1883-11-01,5.5,5.5,5.5,5.5,0,0,1.49
1884-01-01,5.2,5.2,5.2,5.2,0,0,-5.13
1884-02-01,5.3,5.3,5.3,5.3,0,0,2.70
1884-04-01,5.1,5.1,5.1,5.1,0,0,-4.89
1884-05-01,4.7,4.7,4.7,4.7,0,0,-8.10
1884-07-01,4.5,4.5,4.5,4.5,0,0,-4.09
1884-08-01,4.7,4.7,4.7,4.7,0,0,6.28
1884-09-01,4.6,4.6,4.6,4.6,0,0,-3.16
1884-10-01,4.4,4.4,4.4,4.4,0,0,-3.27
1884-12-01,4.3,4.3,4.3,4.3,0,0,-2.25
1885-01-01,4.2,4.2,4.2,4.2,0,0,-2.30
1885-04-01,4.4,4.4,4.4,4.4,0,0,3.07
1885-05-01,4.3,4.3,4.3,4.3,0,0,-1.14
1885-06-01,4.3,4.3,4.3,4.3,0,0,-0.46
1885-07-01,4.5,4.5,4.5,4.5,0,0,3.72
1885-09-01,4.7,4.7,4.7,4.7,0,0,4.26
1885-10-01,4.9,4.9,4.9,4.9,0,0,5.81
1885-12-01,5.2,5.2,5.2,5.2,0,0,5.69
1886-01-01,5.2,5.2,5.2,5.2,0,0,0.00
1886-02-01,5.3,5.3,5.3,5.3,0,0,1.92
1886-03-01,5.2,5.2,5.2,5.2,0,0,-2.08
1886-04-01,5.1,5.1,5.1,5.1,0,0,-1.35
1886-06-01,5.3,5.3,5.3,5.3,0,0,2.54
1886-07-01,5.3,5.3,5.3,5.3,0,0,1.52
1886-09-01,5.5,5.5,5.5,5.5,0,0,3.38
1886-10-01,5.7,5.7,5.7,5.7,0,0,2.54
1886-11-01,5.8,5.8,5.8,5.8,0,0,2.48
1886-12-01,5.6,5.6,5.6,5.6,0,0,-2.59
1887-02-01,5.5,5.5,5.5,5.5,0,0,-1.77
1887-03-01,5.7,5.7,5.7,5.7,0,0,2.35
1887-04-01,5.8,5.8,5.8,5.8,0,0,2.29
1887-06-01,5.7,5.7,5.7,5.7,0,0,-1.21
1887-07-01,5.6,5.6,5.6,5.6,0,0,-2.44
1887-08-01,5.5,5.5,5.5,5.5,0,0,-2.50
1887-09-01,5.4,5.4,5.4,5.4,0,0,-1.28
1887-11-01,5.3,5.3,5.3,5.3,0,0,-1.49
1887-12-01,5.3,5.3,5.3,5.3,0,0,-0.57
1888-02-01,5.3,5.3,5.3,5.3,0,0,0.19
1888-03-01,5.1,5.1,5.1,5.1,0,0,-3.79
1888-05-01,5.2,5.2,5.2,5.2,0,0,1.77
1888-06-01,5.0,5.0,5.0,5.0,0,0,-3.09
1888-08-01,5.3,5.3,5.3,5.3,0,0,4.79
1888-10-01,5.4,5.4,5.4,5.4,0,0,1.90
1888-11-01,5.2,5.2,5.2,5.2,0,0,-2.06
1889-01-01,5.2,5.2,5.2,5.2,0,0,0.00
1889-02-01,5.3,5.3,5.3,5.3,0,0,1.15
1889-03-01,5.2,5.2,5.2,5.2,0,0,-2.08
1889-04-01,5.2,5.2,5.2,5.2,0,0,-0.19
1889-05-01,5.3,5.3,5.3,5.3,0,0,2.70
1889-07-01,5.3,5.3,5.3,5.3,0,0,-0.38
