time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
2000-09-11,0.878,0.9015,0.8595,0.9015,814,NaN,NaN,NaN,NaN
2000-09-25,0.9015,0.9015,0.8808,0.8808,212,NaN,-2.2961730449251183,0,-2.2961730449251183
2000-10-09,0.8825,0.8842,0.8445,0.85,175,NaN,-3.4968210717529575,0.38601271571298346,-4.12125340599455
2000-10-23,0.85,0.876,0.8377,0.875,34,NaN,2.9411764705882377,3.0588235294117676,-1.4470588235294093
2000-11-06,0.84,0.876,0.84,0.8595,0,NaN,-1.7714285714285665,0.11428571428571432,-4.0000000000000036
2000-11-20,0.84,0.8875,0.84,0.8821,324,NaN,2.629435718440949,3.2577079697498443,-2.2687609075043715
2000-12-04,0.8821,0.9085,0.8821,0.9065,448,NaN,2.766126289536331,2.99285795261308,0
2000-12-18,0.9085,0.9399,0.8992,0.937,1228,NaN,3.3645890788748023,3.6845008273579687,-0.8052950910093738
2001-01-01,0.9391,0.9636,0.9385,0.954,1161,NaN,1.8143009605122626,2.8388473852721403,0.1600853788687242
2001-01-15,0.9565,0.9565,0.9205,0.926,82,NaN,-2.9350104821802843,0.26205450733753244,-3.511530398322848
2001-01-29,0.926,0.9454,0.9215,0.927,29,NaN,0.10799136069114468,2.0950323974082043,-0.4859611231101577
2001-02-12,0.927,0.9355,0.9045,0.911,501,NaN,-1.7259978425026985,0.9169363538295525,-2.4271844660194253
2001-02-26,0.911,0.938,0.91,0.9332,596,NaN,2.436882546652031,2.96377607025246,-0.1097694840834249
2001-03-12,0.9285,0.932,0.8845,0.8903,748,NaN,-4.597085297899705,-0.12858979854264652,-5.218602657522512
2001-03-26,0.897,0.906,0.8772,0.9032,90,NaN,1.4489497922048775,1.7634505222958607,-1.4714141300685162
2001-04-09,0.8954,0.9028,0.8728,0.9028,22,NaN,-0.04428697962798456,-0.04428697962798456,-3.36581045172719
2001-04-23,0.8788,0.9023,0.8788,0.8927,9,NaN,-1.118741692512184,-0.05538325210456978,-2.6583961010190538
2001-05-07,0.8925,0.8925,0.873,0.8782,36,NaN,-1.6242858743138868,-0.02240394309399451,-2.2067883947574827
2001-05-21,0.8799,0.8799,0.844,0.8465,200,NaN,-3.609656114780227,0.19357777271692495,-3.8943293099521754
2001-06-04,0.845,0.8658,0.8395,0.8601,370,NaN,1.606615475487294,2.279976373301829,-0.8269344359125816
2001-06-18,0.8616,0.8648,0.8423,0.8482,333,NaN,-1.3835600511568447,0.5464480874316984,-2.069526799209386
2001-07-02,0.8486,0.8629,0.8342,0.8528,111,NaN,0.5423249233671361,1.7330818203254006,-1.6505541145956026
2001-07-16,0.8534,0.8814,0.8486,0.8754,370,NaN,2.6500938086303885,3.3536585365853613,-0.4924953095684781
2001-07-30,0.8756,0.895,0.8714,0.8925,370,NaN,1.9533927347498294,2.238976467900396,-0.456933973040896
2001-08-13,0.893,0.9233,0.8917,0.9125,333,NaN,2.2408963585434196,3.4509803921568682,-0.08963585434172683
2001-08-27,0.9133,0.9199,0.8824,0.9051,0,NaN,-0.8109589041095848,0.8109589041095973,-3.2986301369863034
2001-09-10,0.9063,0.931,0.8954,0.9109,0,NaN,0.6408131698154929,2.8615622583140023,-1.0717047840017724
2001-09-24,0.9116,0.9228,0.9044,0.9151,0,NaN,0.46108244593259207,1.3064002634756735,-0.7135799758480691
2001-10-08,0.9171,0.9221,0.8947,0.8975,0,NaN,-1.9232870724511049,0.7649437219975965,-2.2292645612501336
