time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
2000-06-05,0.4697,0.4697,0.4697,0.4697,7,NaN,NaN,NaN,NaN
2001-01-01,0.445,0.4535,0.441,0.445,2,NaN,-5.258675750479029,-3.4490100063870535,-6.110283159463488
2001-01-15,0.445,0.4475,0.436,0.4365,0,NaN,-1.9101123595505634,0.5617977528089892,-2.022471910112361
2001-01-29,0.4365,0.4475,0.435,0.4365,1,NaN,0,2.5200458190148933,-0.34364261168384913
2001-02-12,0.4275,0.4345,0.4257,0.4345,0,NaN,-0.45819014891179877,-0.458190148911799,-2.474226804123706
2001-02-26,0.4275,0.4347,0.42,0.42,279,NaN,-3.337169159953973,0.0460299194476359,-3.337169159953973
2001-03-12,0.42,0.421,0.4095,0.4115,607,NaN,-2.0238095238095255,0.23809523809523833,-2.500000000000002
2001-03-26,0.4115,0.415,0.397,0.405,121,NaN,-1.5795868772782384,0.8505467800729049,-3.5236938031591634
2001-04-09,0.397,0.413,0.397,0.413,0,NaN,1.9753086419752965,1.9753086419752965,-1.9753086419753103
2001-04-23,0.397,0.4225,0.397,0.421,0,NaN,1.9370460048426168,2.3002421307506076,-3.8740920096852207
2001-05-07,0.397,0.426,0.397,0.426,0,NaN,1.1876484560570084,1.1876484560570084,-5.7007125890736265
2001-05-21,0.397,0.4245,0.397,0.4105,0,NaN,-3.6384976525821635,-0.35211267605633845,-6.807511737089195
2001-06-04,0.409,0.4228,0.409,0.414,0,NaN,0.8526187576126683,2.9963459196102398,-0.3654080389768577
2001-06-18,0.414,0.415,0.403,0.403,0,NaN,-2.6570048309178635,0.24154589371980695,-2.6570048309178635
2001-07-02,0.403,0.406,0.403,0.406,0,NaN,0.7444168734491323,0.7444168734491321,0
2001-07-16,0.406,0.4135,0.406,0.41,0,NaN,0.9852216748768344,1.8472906403940763,0
2001-07-30,0.41,0.425,0.41,0.425,0,NaN,3.658536585365857,3.658536585365857,0
2001-08-13,0.427,0.44,0.427,0.44,0,NaN,3.529411764705886,3.529411764705886,0.47058823529411803
2001-08-27,0.4384,0.441,0.4315,0.436,0,NaN,-0.9090909090909101,0.22727272727272751,-1.9318181818181837
2001-09-10,0.4314,0.4314,0.4,0.4,0,NaN,-8.25688073394495,-1.0550458715596314,-8.25688073394495
2001-09-24,0.4,0.4147,0.3965,0.412,0,NaN,2.9999999999999893,3.674999999999997,-0.8750000000000009
2001-10-08,0.412,0.4198,0.41,0.413,0,NaN,0.24271844660194208,1.893203883495153,-0.48543689320388395
2001-10-22,0.4167,0.4175,0.41,0.4131,0,NaN,0.02421307506054346,1.0895883777239719,-0.7263922518159813
2001-11-05,0.4133,0.4229,0.413,0.4135,0,NaN,0.09682885499877897,2.37230694747034,-0.024207213749708134
2001-11-19,0.4141,0.4165,0.409,0.415,0,NaN,0.3627569528415965,0.725513905683193,-1.0882708585247896
2001-12-03,0.415,0.4209,0.4125,0.4152,0,NaN,0.04819277108434544,1.4216867469879557,-0.6024096385542175
2001-12-17,0.4157,0.4161,0.4077,0.4125,0,NaN,-0.6502890173410489,0.21676300578034957,-1.8063583815028916
2001-12-31,0.4126,0.427,0.4126,0.427,0,NaN,3.5151515151515187,3.5151515151515182,0.024242424242435057
2002-01-07,0.426,0.4298,0.417,0.422,0,NaN,-1.1709601873536308,0.6557377049180388,-2.341920374707262
2002-01-21,0.4278,0.4282,0.4125,0.4158,0,33.9,-1.4691943127962046,1.4691943127962177,-2.251184834123225
2002-02-04,0.4164,0.4215,0.4132,0.4215,0,33.666666666666664,1.3708513708513668,1.3708513708513665,-0.625300625300623
2002-02-18,0.4215,0.4235,0.4163,0.4227,0,33.6,0.28469750889680534,0.47449584816132906,-1.2336892052194504
2002-03-04,0.4256,0.4337,0.424,0.4332,0,33.6,2.4840312278211387,2.6023184291459556,0.3075467234445157
2002-03-18,0.4323,0.4375,0.4292,0.4375,0,33.56666666666667,0.9926131117266914,0.9926131117266914,-0.9233610341643463
2002-04-01,0.439,0.4413,0.4295,0.4402,0,33.56666666666667,0.6171428571428527,0.8685714285714343,-1.82857142857143
2002-04-15,0.437,0.4494,0.4358,0.448,0,24.266666666666666,1.7719218537028691,2.0899591094956933,-0.9995456610631439
2002-04-29,0.445,0.4518,0.443,0.4515,0,4.033333333333333,0.7812500000000007,0.8482142857142789,-1.1160714285714295
2002-05-13,0.4536,0.4753,0.4534,0.469,0,0,3.875968992248053,5.271317829457361,0.42081949058693535
2002-05-27,0.465,0.4934,0.4645,0.489,0,0,4.264392324093821,5.202558635394464,-0.9594882729210978
2002-06-10,0.4867,0.4946,0.4768,0.492,0,0,0.6134969325153379,1.1451942740286292,-2.49488752556237
2002-06-24,0.4955,0.4964,0.4783,0.4825,0,0,-1.9308943089430914,0.8943089430894339,-2.784552845528453
2002-07-08,0.4865,0.4915,0.4762,0.4845,0,0,0.414507772020726,1.8652849740932658,-1.3056994818652792
2002-07-22,0.4735,0.4775,0.46,0.4617,0,0,-4.705882352941174,-1.4447884416924681,-5.056759545923626
2002-08-05,0.4545,0.465,0.4498,0.465,0,0,0.7147498375568606,0.7147498375568604,-2.5774312324019975
2002-08-19,0.465,0.4715,0.4632,0.4674,0,0,0.5161290322580554,1.3978494623655806,-0.3870967741935534
2002-09-02,0.4664,0.4751,0.4655,0.469,0,0,0.3423192126658088,1.6474112109542236,-0.40650406504064124
2002-09-16,0.467,0.4694,0.465,0.4663,0,0,-0.5756929637526611,0.0852878464818787,-0.8528784648187524
2002-09-30,0.466,0.4795,0.466,0.478,0,0,2.509114304096073,2.830795625134031,-0.06433626420758465
2002-10-14,0.478,0.4848,0.4754,0.4848,0,0,1.4225941422594202,1.4225941422594202,-0.5439330543933035
2002-10-28,0.4855,0.4985,0.4796,0.4955,0,0,2.2070957095709542,2.8259075907590736,-1.0726072607260688
2002-11-11,0.4919,0.5032,0.4895,0.5015,0,0,1.2108980827446922,1.5539858728556983,-1.2108980827447036
2002-11-25,0.5017,0.5024,0.4893,0.5005,0,0,-0.1994017946161517,0.17946161515453873,-2.4327018943170358
2002-12-09,0.5029,0.5135,0.5004,0.51,0,0,1.8981018981019113,2.5974025974026,-0.01998001998001797
2002-12-23,0.511,0.5239,0.5087,0.5215,0,0,2.254901960784305,2.725490196078436,-0.2549019607843074
2003-01-06,0.5239,0.5492,0.5231,0.5482,0,0,5.119846596356674,5.311601150527336,0.30680728667306734
2003-01-20,0.5468,0.5492,0.537,0.5423,0,0,-1.076249543962061,0.18241517694272158,-2.0430499817584797
2003-02-03,0.5379,0.5537,0.5379,0.5493,0,0,1.29079845104186,2.102157477411021,-0.811359026369161
2003-02-17,0.5488,0.5665,0.5465,0.5585,0,0,1.6748589113417052,3.1312579646823213,-0.5097396686692198
2003-03-03,0.5566,0.567,0.5397,0.5438,0,0,-2.632050134288281,1.5219337511190603,-3.3661593554163005
2003-03-17,0.549,0.5495,0.5377,0.5445,0,0,0.12872379551306246,1.0481794777491795,-1.1217359323280611
2003-03-31,0.549,0.5505,0.5289,0.5411,0,0,-0.6244260789715259,1.1019283746556485,-2.8650137741046735
2003-04-14,0.542,0.5581,0.5408,0.5515,0,0,1.9220107189059261,3.141748290519316,-0.05544261689153185
2003-04-28,0.5536,0.575,0.5512,0.574,0,0,4.0797824116047074,4.261106074342695,-0.054397098821390204
2003-05-12,0.5774,0.5866,0.5655,0.5805,0,0,1.13240418118468,2.195121951219522,-1.4808362369337897
2003-05-26,0.5824,0.5854,0.57,0.5765,0,0,-0.6890611541774339,0.8440999138673584,-1.8087855297157733
2003-06-09,0.576,0.5813,0.5722,0.5772,0,0,0.1214223764093727,0.832610581092806,-0.7458803122289628
2003-06-23,0.5783,0.5929,0.5732,0.5917,0,0,2.5121275121275044,2.720027720027709,-0.6930006930006936
2003-07-07,0.5925,0.5973,0.565,0.5693,0,0,-3.785702213959773,0.9464255534899526,-4.512421835389565
2003-07-21,0.5692,0.59,0.5678,0.5815,0,0,2.142982610223079,3.6360442648866926,-0.2634814684700606
2003-08-04,0.5809,0.5888,0.5704,0.587,0,0,0.9458297506448752,1.2553740326741143,-1.908856405846947
2003-08-18,0.5886,0.5894,0.5638,0.578,0,0,-1.5332197614991496,0.4088586030664513,-3.952299829642249
2003-09-01,0.5761,0.5861,0.563,0.5765,0,0,-0.2595155709342467,1.4013840830449822,-2.595155709342563
2003-09-15,0.5794,0.5939,0.5751,0.5853,0,0,1.5264527320034744,3.0182133564613998,-0.2428447528187454
2003-09-29,0.5833,0.6001,0.5813,0.5965,0,0,1.9135486075516808,2.5286178028361395,-0.6834102169827444
2003-10-13,0.5949,0.608,0.5872,0.6055,0,0,1.508801341156749,1.9279128248113921,-1.5590947191953017
2003-10-27,0.606,0.6162,0.6042,0.615,0,0,1.568951279933931,1.7671345995045304,-0.21469859620149934
2003-11-10,0.6147,0.6437,0.6147,0.6405,0,0,4.146341463414629,4.666666666666677,-0.04878048780487268
2003-11-24,0.6398,0.649,0.6337,0.644,0,0,0.546448087431703,1.3270882123341239,-1.0616705698672784
2003-12-08,0.6463,0.6486,0.6363,0.639,0,0,-0.776397515527951,0.7142857142857045,-1.1956521739130497
2003-12-22,0.6353,0.6541,0.6341,0.653,0,0,2.1909233176838825,2.363067292644758,-0.7668231611893608
2004-01-05,0.6568,0.68,0.6568,0.6595,0,0,0.9954058192955513,4.1347626339969406,0.5819295558958693
2004-01-19,0.653,0.676,0.6484,0.6718,0,0,1.8650492797573888,2.501895375284317,-1.6830932524639877
2004-02-02,0.6689,0.7031,0.6647,0.6977,0,0,3.855314081571902,4.659124739505805,-1.0568621613575464
2004-02-16,0.7007,0.7067,0.6765,0.6865,0,0,-1.6052744732693123,1.2899527017342711,-3.038555252974057
2004-03-01,0.691,0.691,0.6315,0.6365,0,0,-7.2833211944646825,0.6554989075018133,-8.01165331391115
2004-03-15,0.6366,0.6578,0.6341,0.6445,0,0,1.2568735271013365,3.346425765907321,-0.3770620581303943
2004-03-29,0.6426,0.664,0.635,0.654,0,0,1.474010861132671,3.0256012412723154,-1.474010861132654
2004-04-12,0.658,0.658,0.6166,0.6243,0,0,-4.541284403669734,0.6116207951070343,-5.718654434250762
2004-04-26,0.6257,0.6349,0.612,0.6155,0,0,-1.4095787281755436,1.6979016498478383,-1.970206631427195
2004-05-10,0.6031,0.6128,0.5928,0.6104,0,0,-0.828594638505279,-0.4386677497969187,-3.688058489033315
2004-05-24,0.6068,0.6359,0.6068,0.6223,0,0,1.9495412844036548,4.177588466579286,-0.5897771952817901
2004-06-07,0.6245,0.634,0.6132,0.6197,0,0,-0.41780491724247737,1.8801221275912012,-1.4623172103487059
2004-06-21,0.6204,0.6432,0.6174,0.6423,0,0,3.6469259319025267,3.7921574955623627,-0.3711473293529255
