time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1979-12-19,3197,3197,3170,3175,0,NaN,NaN,NaN,NaN
1979-12-24,3191,3191,3191,3191,0,NaN,0.5039370078740157,0.5039370078740157,0.5039370078740157
1979-12-27,3215,3217,3033,3033,0,NaN,-4.951425885302413,0.8147916013788781,-4.951425885302413
1980-01-01,3042,3095,3042,3086,0,NaN,1.7474447741510053,2.044180679195516,0.2967359050445104
1980-01-04,3090,3170,3090,3170,0,NaN,2.7219701879455602,2.7219701879455602,0.12961762799740764
1980-01-09,3179,3184,3146,3184,0,NaN,0.4416403785488958,0.4416403785488958,-0.7570977917981072
1980-01-14,3154,3176,3150,3156,0,NaN,-0.879396984924623,-0.25125628140703515,-1.0678391959798994
1980-01-17,3160,3182,3120,3120,0,NaN,-1.1406844106463878,0.8238276299112801,-1.1406844106463878
1980-01-22,3140,3185,3109,3145,0,NaN,0.8012820512820511,2.083333333333333,-0.35256410256410264
1980-01-25,3170,3260,3155,3260,0,NaN,3.6565977742448332,3.6565977742448332,0.3179650238473768
1980-01-30,3260,3265,3196,3196,0,NaN,-1.96319018404908,0.15337423312883436,-1.9631901840490797
1980-02-04,3210,3289,3210,3260,0,NaN,2.002503128911139,2.909887359198999,0.4380475594493116
1980-02-07,3265,3280,3225,3280,0,NaN,0.6134969325153374,0.6134969325153374,-1.0736196319018405
1980-02-12,3340,3352,3290,3305,0,NaN,0.7621951219512195,2.195121951219512,0.30487804878048785
1980-02-15,3300,3300,3130,3130,0,NaN,-5.295007564296521,-0.15128593040847216,-5.29500756429652
1980-02-20,3090,3160,3050,3080,0,NaN,-1.5974440894568689,0.9584664536741214,-2.5559105431309903
1980-02-25,3100,3150,3085,3150,0,NaN,2.272727272727273,2.272727272727273,0.16233766233766245
1980-02-28,3125,3148,3060,3134,0,NaN,-0.5079365079365079,-0.06349206349206371,-2.857142857142857
1980-03-04,3095,3180,3095,3115,0,NaN,-0.6062539885130823,1.467772814294831,-1.244416081684748
1980-03-07,3080,3105,3055,3085,0,NaN,-0.9630818619582664,-0.3210272873194222,-1.9261637239165328
1980-03-12,3100,3100,2984,3045,0,NaN,-1.2965964343598055,0.48622366288492713,-3.273905996758509
1980-03-17,3000,3080,3000,3080,0,NaN,1.1494252873563218,1.1494252873563218,-1.477832512315271
