time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1997-09-05,933.75,941.25,932.75,934,11387,NaN,NaN,NaN,NaN
1997-09-10,933.75,934.25,900.5,924,3659,NaN,-1.070663811563169,0.02676659528907923,-3.5867237687366167
1997-09-15,933.5,962.5,929,956,34587,NaN,3.463203463203463,4.166666666666666,0.5411255411255409
1997-09-18,955.75,972,953,966.25,32329,NaN,1.0721757322175733,1.6736401673640167,-0.3138075313807531
1997-09-23,965.25,970.5,945.5,946.5,40791,NaN,-2.0439844760672705,0.43984476067270384,-2.1474773609314357
1997-09-26,946.25,965.25,946.25,954.5,40406,NaN,0.8452192287374536,1.9809825673534072,-0.026413100898045272
1997-10-01,955.5,985.5,954.5,975.5,32688,NaN,2.2001047668936615,3.247773703509691,0
1997-10-06,976.75,992.25,974.75,982.25,37507,NaN,0.6919528446950283,1.7170681701691441,-0.0768836494105587
1997-10-09,982.25,983.25,964,976.25,22343,NaN,-0.6108424535505219,0.10180707559175373,-1.8579791295495036
1997-10-14,976.25,981.5,955.25,959.75,36286,NaN,-1.6901408450704223,0.5377720870678617,-2.151088348271447
1997-10-17,959,980.5,935.5,979.5,32632,NaN,2.0578275592602244,2.162021359729096,-2.5266996613701487
1997-10-22,979,980.5,941.5,944,43885,NaN,-3.6242981112812664,0.10209290454313447,-3.8795303726391013
1997-10-27,942.5,944,844,924.5,47502,NaN,-2.065677966101695,0,-10.59322033898305
1997-10-30,924.5,948,889.75,945.75,37176,NaN,2.298539751216874,2.541914548404543,-3.7587885343428873
1997-11-04,946,956,936.25,942.25,33465,NaN,-0.37007665873645257,1.0837959291567538,-1.0044937879989426
1997-11-07,942.25,943,916.5,926.5,31019,NaN,-1.6715309100557179,0.07959671000265334,-2.732820376757761
1997-11-12,926.5,932.5,902.5,932.5,35254,NaN,0.6475984889368591,0.6475984889368591,-2.5903939557474365
1997-11-17,932,954.5,932,947.75,32683,NaN,1.6353887399463807,2.359249329758713,-0.0536193029490617
1997-11-20,948,971,947,949.75,28287,NaN,0.2110261144816672,2.45317858084938,-0.07913479293062516
1997-11-25,950,959.75,944.75,955,9018,NaN,0.5527770465912082,1.0529086601737299,-0.5264543300868649
1997-11-28,954.75,982,953.75,975,32684,NaN,2.094240837696335,2.8272251308900525,-0.13089005235602091
1997-12-03,974.75,989,963,986.5,34854,NaN,1.1794871794871795,1.435897435897436,-1.2307692307692308
1997-12-08,986.5,989.75,963.5,970.25,26775,NaN,-1.6472377090724788,0.32944754181449576,-2.331474911302585
1997-12-11,969.75,978.5,946.75,974.25,11509,NaN,0.4122648801855193,0.8502963153826334,-2.4220561710899253
1997-12-16,973.5,988,960.5,965,37550,NaN,-0.9494482935591482,1.4113420579933282,-1.4113420579933282
1997-12-19,964,965,944,945,19305,NaN,-2.072538860103627,0,-2.1761658031088085
1997-12-24,944.75,953.5,941.5,946,3814,NaN,0.10582010582010604,0.8994708994708994,-0.37037037037037046
1997-12-29,945.5,984,941.25,979,16493,NaN,3.488372093023256,4.0169133192389,-0.5021141649048625
