time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1970-01-05,27.1,28.75,27.1,28.37,0,NaN,NaN,NaN,NaN
1970-01-26,28.37,29.7,28.25,29.5,0,NaN,3.9830807190694357,4.6880507578427855,-0.4229820232640148
1970-02-16,29.5,29.9,27.22,27.35,0,NaN,-7.288135593220334,1.3559322033898256,-7.728813559322038
1970-03-09,27.25,27.62,25.9,26.4,0,NaN,-3.4734917733089685,0.9872029250457023,-5.301645338208419
1970-03-30,26.45,27.9,25.62,27.85,0,NaN,5.492424242424255,5.6818181818181825,-2.9545454545454453
1970-04-20,27.8,28.1,27.02,27.42,0,NaN,-1.5439856373429075,0.8976660682226214,-2.9802513464991085
1970-05-11,27.5,27.5,25.82,25.82,0,NaN,-5.835156819839538,0.29175784099197044,-5.835156819839538
1970-06-01,26.3,26.6,25.4,25.52,0,NaN,-1.161890007745936,3.0209140201394313,-1.626646010844313
1970-06-22,25.7,26.75,25.52,26.32,0,NaN,3.134796238244517,4.819749216300942,0
1970-07-13,26.5,26.57,23.65,23.67,0,NaN,-10.068389057750753,0.9498480243161094,-10.144376899696054
1970-08-03,23.6,23.6,19.25,19.25,0,NaN,-18.673426277989023,-0.2957329953527683,-18.673426277989023
1970-08-24,19.1,19.77,19.1,19.62,0,NaN,1.9220779220779285,2.701298701298699,-0.7792207792207719
1970-09-14,19.65,20.2,19.6,19.75,0,NaN,0.6625891946992812,2.956167176350654,-0.10193679918450338
1970-10-05,19.7,19.75,17.7,17.7,0,NaN,-10.379746835443042,0,-10.379746835443042
1970-10-26,17.3,17.55,15.9,16.62,0,NaN,-6.101694915254228,-0.847457627118636,-10.169491525423723
1970-11-16,16.6,17.05,16.45,16.85,0,NaN,1.383874849578823,2.587244283995185,-1.0228640192539213
1970-12-07,16.95,17.75,16.5,16.75,0,NaN,-0.5934718100890293,5.341246290801178,-2.077151335311581
1970-12-28,17,17.07,16.3,16.35,0,NaN,-2.3880597014925287,1.9104477611940318,-2.6865671641791002
1971-01-04,16.5,18.6,15.8,18.1,0,NaN,10.703363914373087,13.761467889908255,-3.363914373088689
1971-01-25,18.4,20.95,18.4,20.8,0,NaN,14.917127071823199,15.745856353591147,1.6574585635358963
1971-02-15,18.5,18.5,17.42,17.7,0,NaN,-14.903846153846157,-11.05769230769231,-16.249999999999996
1971-03-08,17.57,18,17.45,17.45,0,NaN,-1.4124293785310726,1.6949152542372925,-1.4124293785310726
1971-03-29,17.55,20.6,17.2,20.1,0,NaN,15.186246418338122,18.051575931232108,-1.4326647564469914
1971-04-19,19.85,20.9,19.85,20.75,0,NaN,3.2338308457711378,3.9800995024875476,-1.243781094527363
