time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1998-07-06,0.7205,0.781,0.719,0.7705,45620,NaN,NaN,NaN,NaN
1998-07-20,0.78,0.809,0.767,0.7695,66053,NaN,-0.12978585334198584,4.996755353666462,-0.45425048669694323
1998-08-03,0.758,0.761,0.717,0.7275,56986,NaN,-5.458089668615975,-1.1046133853151332,-6.82261208576998
1998-08-17,0.728,0.756,0.721,0.7215,59817,NaN,-0.8247422680412377,3.917525773195872,-0.8934707903780152
1998-08-31,0.721,0.783,0.708,0.7665,80386,NaN,6.237006237006227,8.523908523908522,-1.8711018711018803
1998-09-14,0.7625,0.771,0.734,0.756,55961,NaN,-1.369863013698624,0.5870841487279925,-4.240052185257662
1998-09-28,0.7525,0.756,0.71,0.723,70939,NaN,-4.365079365079369,0,-6.08465608465609
1998-10-12,0.729,0.754,0.716,0.728,58440,NaN,0.6915629322268337,4.287690179806367,-0.9681881051175667
1998-10-26,0.713,0.748,0.705,0.731,92239,NaN,0.41208791208791246,2.7472527472527495,-3.159340659340662
1998-11-09,0.729,0.73,0.7,0.722,90840,NaN,-1.2311901504787974,-0.1367989056087553,-4.240766073871413
1998-11-23,0.721,0.722,0.6835,0.6865,48323,NaN,-4.9168975069252046,0,-5.332409972299166
1998-12-07,0.691,0.6945,0.658,0.6635,59433,NaN,-3.3503277494537542,1.1653313911143492,-4.151493080844861
1998-12-21,0.664,0.696,0.657,0.672,44997,NaN,1.281085154483808,4.89826676714393,-0.9796533534287795
1999-01-04,0.662,0.679,0.642,0.663,65256,NaN,-1.3392857142857153,1.0416666666666674,-4.464285714285718
1999-01-18,0.66,0.671,0.637,0.645,52828,NaN,-2.714932126696835,1.2066365007541489,-3.921568627450984
1999-02-01,0.645,0.685,0.637,0.655,98272,NaN,1.5503875968992262,6.201550387596905,-1.2403100775193807
1999-02-15,0.636,0.639,0.6115,0.6325,74204,NaN,-3.435114503816805,-2.4427480916030557,-6.641221374045799
1999-03-01,0.6255,0.6475,0.6215,0.6245,61940,NaN,-1.2648221343873352,2.371541501976287,-1.7391304347825924
1999-03-15,0.621,0.661,0.616,0.6515,103230,NaN,4.323458767013596,5.84467574059247,-1.3610888710968876
1999-03-29,0.638,0.654,0.618,0.6455,58290,NaN,-0.9209516500383739,0.3837298541826639,-5.141980046047579
1999-04-12,0.6425,0.708,0.6335,0.697,102815,NaN,7.9783113865220745,9.682416731216112,-1.859024012393495
1999-04-26,0.6885,0.737,0.684,0.7225,63391,NaN,3.658536585365866,5.738880918220953,-1.8651362984217938
1999-05-10,0.725,0.7255,0.668,0.671,90608,NaN,-7.128027681660898,0.41522491349480983,-7.543252595155709
1999-05-24,0.672,0.6785,0.611,0.62,91925,NaN,-7.6005961251862955,1.1177347242920939,-8.941877794336818
1999-06-07,0.6225,0.658,0.62,0.654,68288,NaN,5.48387096774194,6.129032258064521,0
1999-06-21,0.656,0.775,0.6515,0.765,118224,NaN,16.972477064220183,18.501529051987767,-0.3822629969419048
1999-07-05,0.759,0.803,0.755,0.783,78658,NaN,2.3529411764705905,4.967320261437912,-1.3071895424836613
1999-07-19,0.779,0.784,0.731,0.7625,78113,NaN,-2.6181353767560758,0.127713920817369,-6.641123882503198
1999-08-02,0.756,0.788,0.745,0.776,63063,NaN,1.7704918032786976,3.3442622950819776,-2.2950819672131093
1999-08-16,0.771,0.7775,0.733,0.7535,83930,72768.96666666666,-2.8994845360824835,0.19329896907215804,-5.541237113402066
