time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1987-04-21,2745,2750,2703,2704,0,NaN,NaN,NaN,NaN
1987-04-22,2713,2726,2713,2725,0,NaN,0.7766272189349113,0.8136094674556213,0.33284023668639057
1987-04-23,2724,2736,2720,2735,0,NaN,0.3669724770642202,0.40366972477064217,-0.18348623853211005
1987-04-24,2730,2735,2709,2709,0,NaN,-0.950639853747715,0,-0.950639853747715
1987-04-27,2695,2700,2639,2639,0,NaN,-2.5839793281653747,-0.33222591362126247,-2.5839793281653747
1987-04-28,2609,2622,2600,2621,0,NaN,-0.6820765441455097,-0.6441834028040925,-1.477832512315271
1987-04-29,2631,2632,2622,2622,0,NaN,0.03815337657382678,0.4196871423120945,0.03815337657382689
1987-04-30,2646,2675,2646,2674,0,NaN,1.9832189168573606,2.0213577421815407,0.9153318077803204
1987-05-01,2684,2688,2683,2687,0,NaN,0.4861630516080777,0.5235602094240837,0.3365744203440538
1987-05-04,2683,2776,2682,2775,0,NaN,3.275027912169706,3.312244138444362,-0.18608113137327875
1987-05-05,2672,2734,2671,2733,0,NaN,-1.5135135135135136,-1.477477477477478,-3.7477477477477477
1987-05-06,2745,2800,2745,2799,0,NaN,2.4149286498353457,2.451518477863154,0.4390779363336996
1987-05-07,2784,2785,2772,2772,0,NaN,-0.964630225080386,-0.5001786352268667,-0.964630225080386
1987-05-08,2783,2795,2780,2794,0,NaN,0.7936507936507935,0.8297258297258296,0.2886002886002885
1987-05-11,2792,2855,2785,2854,0,NaN,2.1474588403722263,2.183249821045097,-0.322118826055834
1987-05-12,2843,2846,2840,2843,0,NaN,-0.38542396636299925,-0.2803083391730903,-0.4905395935529082
1987-05-13,2843,2846,2820,2820,0,NaN,-0.809004572634541,0.10552233556102708,-0.809004572634541
1987-05-14,2832,2843,2830,2842,0,NaN,0.7801418439716312,0.8156028368794326,0.35460992907801425
1987-05-15,2832,2843,2830,2842,0,NaN,0,0.035186488388458836,-0.42223786066150604
1987-05-18,2842,2872,2840,2870,0,NaN,0.9852216748768473,1.0555946516537649,-0.07037297677691767
1987-05-19,2875,2880,2870,2873,0,NaN,0.1045296167247387,0.34843205574912894,0
1987-05-20,2900,2905,2864,2864,0,NaN,-0.3132613992342499,1.1138183083884443,-0.3132613992342499
1987-05-21,2855,2869,2850,2868,0,NaN,0.13966480446927376,0.17458100558659218,-0.4888268156424581
1987-05-22,2877,2889,2875,2888,0,NaN,0.697350069735007,0.7322175732217573,0.24407252440725247
1987-05-25,2902,2914,2900,2913,0,NaN,0.8656509695290859,0.9002770083102494,0.41551246537396125
1987-05-26,2912,2927,2910,2926,0,NaN,0.44627531754205285,0.4806041881222108,-0.10298661174047374
1987-05-27,2932,2935,2926,2926,0,NaN,0,0.30758714969241285,0
1987-05-28,2944,2964,2943,2963,0,NaN,1.264524948735475,1.2987012987012987,0.5809979494190021
1987-05-29,2967,2968,2932,2932,0,NaN,-1.0462369220384746,0.16874789065136686,-1.0462369220384746
1987-06-02,2929,2943,2929,2942,0,0,0.3410641200545703,0.3751705320600273,-0.10231923601637105
1987-06-03,2938,2989,2938,2988,0,0,1.563562202583277,1.5975526852481305,-0.13596193065941536
1987-06-04,3004,3023,3004,3022,0,0,1.1378848728246318,1.1713520749665327,0.535475234270415
1987-06-05,3020,3048,3020,3047,0,0,0.8272667107875579,0.8603573792190603,-0.06618133686300465
1987-06-08,3072,3073,3053,3053,0,0,0.1969149983590417,0.853298326222514,0.1969149983590417
1987-06-09,3047,3102,3047,3100,0,0,1.53946937438585,1.604978709466099,-0.19652800524074676
1987-06-10,3109,3110,3086,3086,0,0,-0.4516129032258065,0.32258064516129026,-0.4516129032258065
1987-06-11,3072,3077,3070,3076,0,0,-0.32404406999351915,-0.2916396629941672,-0.5184705119896306
1987-06-12,3084,3125,3084,3124,0,0,1.5604681404421328,1.5929778933680105,0.26007802340702213
1987-06-16,3146,3166,3145,3165,0,0,1.3124199743918052,1.3444302176696543,0.6722151088348272
1987-06-17,3169,3180,3168,3179,0,0,0.4423380726698263,0.47393364928909953,0.09478672985781988
1987-06-18,3167,3168,3128,3129,0,0,-1.5728216420257943,-0.3460207612456747,-1.6042780748663104
1987-06-19,3128,3149,3127,3148,0,0,0.6072227548737616,0.6391818472355385,-0.06391818472355393
1987-06-22,3148,3155,3125,3125,0,0,-0.7306226175349428,0.22236340533672172,-0.7306226175349428
