time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1987-04-20,2745,2800,2600,2794,0,NaN,NaN,NaN,NaN
1987-05-11,2792,2968,2785,2932,0,NaN,4.93915533285612,6.227630637079455,-0.322118826055834
1987-06-01,2929,3180,2929,3148,0,NaN,7.3669849931787175,8.458390177353342,-0.10231923601637108
1987-06-22,3148,3255,3109,3215,0,NaN,2.1283354510800505,3.3989834815756037,-1.2388818297331639
1987-07-13,3210,3565,3210,3564,0,NaN,10.855365474339038,10.88646967340591,-0.15552099533437014
1987-08-03,3568,3628,3429,3487,0,NaN,-2.1604938271604937,1.795735129068463,-3.787878787878788
1987-08-24,3492,3751,3415,3678,0,NaN,5.47748781187267,7.570977917981073,-2.0648121594493833
1987-09-14,3625,4022,3624,4004,0,NaN,8.863512778684067,9.352909189777053,-1.468189233278956
1987-10-05,4010,4030,3529,3529,0,NaN,-11.86313686313686,0.6493506493506498,-11.863136863136862
1987-10-26,3349,3349,1880,2262,0,NaN,-35.90252196089544,-5.100595069424766,-46.727118163785775
1987-11-16,2275,2320,1950,1965,0,NaN,-13.129973474801062,2.564102564102564,-13.793103448275858
1987-12-07,1960,2450,1875,2400,0,NaN,22.137404580152676,24.681933842239182,-4.580152671755725
1987-12-28,2375,2400,2200,2293,0,NaN,-4.458333333333336,0,-8.333333333333332
1988-01-04,2200,2525,2190,2412,0,NaN,5.189707806367204,10.117749672917576,-4.491931966855647
1988-01-25,2452,2465,2180,2289,0,NaN,-5.099502487562189,2.1973466003316755,-9.618573797678277
1988-02-15,2300,2495,2280,2491,0,NaN,8.824814329401486,8.999563128003494,-0.3931847968545217
1988-03-07,2500,2650,2472,2480,0,NaN,-0.4415897230028101,6.382978723404255,-0.7627458851866721
1988-03-28,2452,2720,2440,2581,0,NaN,4.07258064516129,9.67741935483871,-1.6129032258064515
1988-04-18,2591,2660,2515,2562,0,NaN,-0.7361487795428125,3.060829135993801,-2.557148392096087
1988-05-09,2555,2600,2450,2519,0,NaN,-1.678376268540203,1.483216237314598,-4.371584699453552
1988-05-30,2507,2760,2480,2758,0,NaN,9.487892020643113,9.567288606589916,-1.5482334259626835
1988-06-20,2760,2800,2650,2783,0,NaN,0.9064539521392305,1.5228426395939092,-3.9158810732414793
1988-07-11,2782,2800,2610,2692,0,NaN,-3.269852676967301,0.6108515989938915,-6.216313330937837
1988-08-01,2722,2740,2540,2588,0,NaN,-3.863298662704309,1.7830609212481425,-5.646359583952452
1988-08-22,2590,2600,2410,2506,0,NaN,-3.1684698608964452,0.463678516228748,-6.87789799072643
1988-09-12,2500,2530,2422,2454,0,NaN,-2.0750199521149244,0.9577015163607342,-3.35195530726257
1988-10-03,2442,2620,2405,2577,0,NaN,5.012224938875306,6.764466177669112,-1.9967400162999183
