time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
2015-08-21T08:00:00-04:00,46800,46985,46460,46640,18060,NaN,NaN,NaN,NaN
2015-08-21T10:00:00-04:00,46630,46915,46365,46625,23025,NaN,-0.032161234991423676,0.589622641509434,-0.589622641509434
2015-08-21T12:00:00-04:00,46620,46765,46490,46675,11365,NaN,0.10723860589812334,0.3002680965147453,-0.28954423592493295
2015-08-21T14:00:00-04:00,46675,46700,46275,46325,17455,NaN,-0.7498660953401177,0.05356186395286555,-0.8569898232458489
2015-08-21T16:00:00-04:00,46315,46360,46070,46070,4765,NaN,-0.5504587155963303,0.07555315704263356,-0.5504587155963303
2015-08-24T08:00:00-04:00,44100,44310,43215,44270,50465,NaN,-3.9070978945083565,-3.8202734968526157,-6.197091382678533
2015-08-24T10:00:00-04:00,44240,45450,44160,45405,38955,NaN,2.563812965891123,2.6654619381070703,-0.24847526541676057
2015-08-24T12:00:00-04:00,45415,45950,45205,45220,23120,NaN,-0.4074441140843521,1.200308336086334,-0.44048012333443454
2015-08-24T14:00:00-04:00,45235,45550,44660,44835,25645,NaN,-0.8513931888544891,0.729765590446705,-1.238390092879257
2015-08-24T16:00:00-04:00,44840,45270,44815,45270,6445,NaN,0.9702241552358649,0.9702241552358649,-0.04460800713728119
2015-08-25T08:00:00-04:00,46500,46645,45505,45650,26345,NaN,0.8394079964656507,3.037331566158604,0.5191075767616523
2015-08-25T10:00:00-04:00,45650,46170,45395,45795,19255,NaN,0.31763417305585984,1.139101861993428,-0.5585980284775466
2015-08-25T12:00:00-04:00,45780,46145,45650,45810,13670,NaN,0.03275466754012446,0.7642755759362376,-0.3166284528878699
2015-08-25T14:00:00-04:00,45810,45810,45110,45175,23770,NaN,-1.3861602270246671,0,-1.5280506439642
2015-08-25T16:00:00-04:00,45160,45215,44700,44700,6505,NaN,-1.0514665190924184,0.08854454897620365,-1.0514665190924184
2015-08-26T08:00:00-04:00,45245,45870,45165,45510,21540,NaN,1.8120805369127515,2.61744966442953,1.0402684563758386
2015-08-26T10:00:00-04:00,45510,46010,45135,45710,22940,NaN,0.4394638540980005,1.098659635245001,-0.8239947264337508
2015-08-26T12:00:00-04:00,45700,46105,45400,46080,21860,NaN,0.8094508860205645,0.8641435134543863,-0.6781885801793919
2015-08-26T14:00:00-04:00,46050,46795,45870,46770,26195,NaN,1.4973958333333335,1.5516493055555556,-0.4557291666666667
2015-08-26T16:00:00-04:00,46775,46875,46680,46795,6065,NaN,0.05345306820611495,0.22450288646568306,-0.19243104554201412
2015-08-27T08:00:00-04:00,46950,47730,46885,47500,23670,NaN,1.506571214873384,1.998076717598034,0.19232824019660216
2015-08-27T10:00:00-04:00,47475,48445,47455,48365,29310,NaN,1.8210526315789473,1.9894736842105263,-0.09473684210526317
