time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1993-12-06,5900,6200,5730,5890,0,NaN,NaN,NaN,NaN
1993-12-20,5850,6280,5840,6070,0,NaN,3.0560271646859083,6.621392190152801,-0.8488964346349746
1994-01-03,6070,7600,5960,7430,0,NaN,22.40527182866557,25.205930807248766,-1.8121911037891267
1994-01-17,7350,8750,7350,7790,0,NaN,4.845222072678332,17.765814266487215,-1.0767160161507403
1994-01-31,7850,9190,7790,8670,1185,NaN,11.296534017971759,17.971758664955072,0
1994-06-06,3070,3280,1410,1501.700073,0,NaN,-82.67935325259515,-62.168396770472896,-83.73702422145328
1994-06-20,1510,1570,1250,1413.400024,0,NaN,-5.880005640780169,4.54817364852056,-16.761008241623756
1994-07-04,3840,4450,3730,4356.399902,0,NaN,208.22129814821625,214.84363410482015,163.90264162044474
1994-07-18,4380,4395,4000,4260.300293,0,NaN,-2.205940941185901,0.8860549735638017,-8.181064870476632
1994-08-01,4300,4710,4150,4585.5,0,NaN,7.633257860586209,10.55558707302607,-2.589026252004631
1994-08-15,4600,5800,4570,5489.800293,0,NaN,19.720865619888787,26.48566132373787,-0.33802202595136865
1994-08-29,5450,5790,5050,5571,0,NaN,1.4791012908709433,5.468317442854559,-8.011225719099217
1994-09-12,5500,5880,5350,5683,0,NaN,2.010411057260815,5.546580506192784,-3.9669718183450016
1994-09-26,5800,5800,4550,4899.100098,0,NaN,-13.79376917121239,2.058771775470702,-19.936653176139362
1994-10-10,4960,5530,4780,4868.399902,0,NaN,-0.6266496986361396,12.877873270186043,-2.4310607176330414
1994-10-24,4800,5270,4450,4837.399902,0,NaN,-0.6367595231292484,8.249118931972237,-8.594197486285301
1994-11-07,4800,5320,4740,4835.300293,0,NaN,-0.04340366813857588,9.976435849359305,-2.013476329706183
1994-11-21,4800,5030,4250,4557.800293,0,NaN,-5.739043765321733,4.02663113357952,-12.10473512570319
1994-12-05,4520,5550,4410,5324.399902,0,NaN,16.819508528650662,21.769266822064328,-3.242798795440777
1994-12-19,5350,5470,4100,4505.800293,0,NaN,-15.374495230767888,2.734582313122427,-22.996016913381727
1995-01-02,4550,4570,3090,4111.899902,0,NaN,-8.74207389111198,1.424823623446814,-31.42172757189264
1995-01-16,4000,4330,3600,3713,0,NaN,-9.701109256234032,5.304119827769092,-12.44923062818274
1995-01-30,3600,4130,3230,3318.400146,0,NaN,-10.62752098033935,11.23081066523027,-13.00834904389981
1995-02-13,3340,3480,2720,3365.300049,0,NaN,1.413328740855233,4.869812165202335,-18.032790491565994
1995-02-27,3200,3220,2040,2661.199951,0,NaN,-20.922357226637885,-4.317595664112503,-39.381333899002954
1995-03-13,2600,3470,2530,3423,0,NaN,28.626186044898205,30.392306624538932,-4.930104968275643
1995-03-27,3450,3560,2840,3242,0,NaN,-5.287759275489336,4.002337131171487,-17.03184341221151
1995-04-10,3200,3680,2940,3614.300049,0,NaN,11.483653578038243,13.5101789019124,-9.31523750771129
1995-04-24,3600,4300,3590,4169.300293,0,NaN,15.355677073727097,18.971860158365068,-0.6723307049928859
1995-05-08,4100,4310,3820,3980.100098,0,39.5,-4.537936385096941,3.3746599456082826,-8.377911602732334
1995-05-22,3950,4250,3640,3966.400146,0,39.5,-0.3442112424982522,6.781234023124815,-8.545013683723687
1995-06-05,4000,4100,3510,3850.900146,0,39.5,-2.9119603607436937,3.368289861897359,-11.506659167009822
