time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1993-12-08,5900,5950,5850,5900,0,NaN,NaN,NaN,NaN
1993-12-13,5900,6200,5730,5850,0,NaN,-0.847457627118644,5.084745762711865,-2.8813559322033897
1993-12-16,5900,6015,5750,5900,0,NaN,0.8547008547008548,2.8205128205128207,-1.7094017094017095
1993-12-21,5900,6280,5840,6220,0,NaN,5.423728813559322,6.440677966101695,-1.0169491525423728
1993-12-24,6230,6270,6140,6180,0,NaN,-0.643086816720257,0.8038585209003211,-1.2861736334405145
1993-12-29,6200,6245,6030,6070,0,NaN,-1.779935275080906,1.051779935275081,-2.4271844660194173
1994-01-03,6070,6680,5960,6430,0,NaN,5.930807248764415,10.049423393739703,-1.8121911037891267
1994-01-06,6500,7070,6500,7000,0,NaN,8.864696734059098,9.953343701399689,1.0886469673405907
1994-01-11,6960,7600,6860,7490,0,NaN,7.000000000000001,8.571428571428571,-1.9999999999999998
1994-01-14,7450,8250,7300,7900,0,NaN,5.473965287049399,10.14686248331108,-2.53671562082777
1994-01-19,7850,8750,7750,8380,0,NaN,6.075949367088607,10.759493670886076,-1.89873417721519
1994-01-24,8400,8590,8220,8320,0,NaN,-0.7159904534606207,2.5059665871121712,-1.9093078758949882
1994-01-27,8320,8580,7530,8160,0,NaN,-1.9230769230769231,3.125,-9.495192307692307
1994-02-01,8250,9190,8250,8570,0,NaN,5.0245098039215685,12.622549019607842,1.1029411764705888
1994-02-04,8500,8730,8450,8670,1185,NaN,1.1668611435239207,1.866977829638273,-1.4002333722287048
1994-06-02,3070,3250,3070,3229,0,NaN,-62.75663206459055,-62.51441753171858,-64.59054209919262
1994-06-07,3250,3280,2930,3159.800049,0,NaN,-2.1430768349334173,1.5794363580055801,-9.259832765562095
1994-06-10,3150,3250,1460,1476.700073,0,NaN,-53.266027909983116,2.8546094563339905,-53.794544675000736
1994-06-15,1500,1530,1410,1501.700073,0,NaN,1.6929639577528448,3.609394214474318,-4.516832782739357
1994-06-20,1510,1520,1370,1420.099976,0,NaN,-5.433847841332562,1.2186139781855112,-8.770065032819637
1994-06-23,1410,1415,1250,1368.099976,0,NaN,-3.661714025689132,-0.3591279548053432,-11.978028228626627
1994-06-28,1400,1570,1370,1413.400024,0,NaN,3.3111650314070364,14.757695164231189,0.13888049362848776
1994-07-01,3840,4070,3730,3921.199951,0,NaN,177.4303017133669,187.958110293622,163.90264162044474
1994-07-06,3930,4410,3930,4387.200195,0,NaN,11.88412347809907,12.46557316913524,0.2244223480048788
1994-07-11,4420,4420,4080,4116.200195,0,NaN,-6.17706026519722,0.7476249895635245,-7.002192317325978
1994-07-14,4120,4450,4120,4276.200195,0,NaN,3.887080132651322,8.109416189364902,0.09231341577154861
1994-07-19,4240,4280,4000,4199.200195,0,NaN,-1.8006640589473148,0.08885938044815234,-6.459009924814811
1994-07-22,4300,4320,4060,4215.800293,0,NaN,0.39531570844766284,2.8767336490371744,-3.3149216168771
1994-07-27,4290,4360,4150,4260.300293,0,NaN,1.055552846606342,3.420458678733712,-1.5608019457007098
1994-08-01,4300,4450,4150,4421.600098,0,39.5,3.7861135109425876,4.452730886404672,-2.5890262520046314
1994-08-04,4380,4660,4320,4631.200195,0,39.5,4.7403675672706775,5.391711071017805,-2.2978129127045244
1994-08-09,4600,4710,4445,4544,0,39.5,-1.8828854579455365,1.701498568018601,-4.020560268610896
1994-08-12,4570,4720,4540,4706,0,39.5,3.565140845070423,3.873239436619718,-0.0880281690140845
1994-08-17,5070,5430,5030,5408,0,39.5,14.917127071823206,15.384615384615385,6.8848278793030175
1994-08-22,5500,5800,5460,5556,0,39.5,2.736686390532544,7.2485207100591715,0.9615384615384617
1994-08-25,5500,5720,5340,5633.700195,0,39.5,1.3984916306695527,2.9517638588912885,-3.8876889848812093
