time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1973-08-15,66.8,67,66.35,66.85,0,NaN,NaN,NaN,NaN
1973-08-20,67.8,68,65.5,65.8,0,NaN,-1.570680628272247,1.7202692595362838,-2.0194465220643147
1973-08-23,65.4,67.75,65.4,65.9,0,NaN,0.15197568389059057,2.963525835866266,-0.607902735562297
1973-08-28,66.1,66.1,62,63.87,0,NaN,-3.080424886191211,0.30349013657054424,-5.918057663125955
1973-08-31,64.3,65.5,63.8,64.32,0,NaN,0.7045561296383211,2.552058869578836,-0.10959762016596297
1973-09-05,63.5,64.1,63.31,63.8,0,NaN,-0.80845771144278,-0.34203980099502296,-1.570273631840782
1973-09-10,63.75,63.95,62.45,63.65,0,NaN,-0.23510971786833634,0.23510971786834745,-2.115987460815038
1973-09-13,65,66.45,64.4,65.75,0,NaN,3.2992930086410075,4.399057344854681,1.178318931657513
1973-09-18,65.7,66.01,64.6,64.8,0,NaN,-1.4448669201520952,0.39543726235742227,-1.749049429657803
1973-09-21,64.6,67.5,64.55,67.3,0,NaN,3.8580246913580254,4.166666666666671,-0.38580246913580263
1973-09-26,67.5,69.35,67.5,67.82,0,NaN,0.772659732540856,3.0460624071322395,0.29717682020802805
1973-10-01,67.75,68.95,67.75,68.45,0,NaN,0.9289295193158504,1.666175169566514,-0.10321439103508284
1973-10-04,68.2,68.48,67,68.22,0,NaN,-0.33601168736304454,0.043827611395180543,-2.1183345507669875
1973-10-09,68.7,68.7,67,67.02,0,NaN,-1.7590149516270932,0.7036059806508413,-1.7883318674875386
1973-10-12,66.8,66.8,63.74,64.33,0,NaN,-4.013727245598326,-0.3282602208296014,-4.894061474186802
1973-10-17,64.1,65.45,63.8,65.2,0,NaN,1.3524016788434707,1.7410228509249253,-0.8238768848126865
1973-10-22,65.4,65.65,64.5,64.53,0,NaN,-1.0276073619631925,0.6901840490797588,-1.073619631901845
1973-10-25,64.6,65.15,64.1,64.38,0,NaN,-0.23245002324501107,0.9607934294126832,-0.6663567333023506
1973-10-30,64.3,65.48,61.51,65.44,0,NaN,1.6464740602671675,1.7086051568810323,-4.457906182044109
1973-11-02,65.4,65.4,64.5,65.2,0,NaN,-0.36674816625916073,-0.06112469437651602,-1.4364303178484072
1973-11-07,65.5,65.8,65.35,65.7,0,NaN,0.7668711656441718,0.9202453987729974,0.23006134969323844
1973-11-12,66,66.15,64.05,64.13,0,NaN,-2.3896499238965103,0.6849315068493194,-2.5114155251141637
1973-11-15,64,68.25,63.75,68.25,0,NaN,6.424450335256518,6.424450335256518,-0.592546390145011
1973-11-20,68.05,68.05,66.8,67.13,0,NaN,-1.6410256410256476,-0.29304029304029733,-2.124542124542129
1973-11-23,67.15,67.45,64.9,65.58,0,NaN,-2.3089527781915646,0.4766870251750446,-3.3219127066885
1973-11-28,65.5,66.65,64.9,66.05,0,NaN,0.7166819152180524,1.631594998475156,-1.036901494358025
1973-12-03,65.85,67,65.7,66.55,0,NaN,0.757002271006813,1.438304314912949,-0.5299015897047605
1973-12-06,66.65,68.5,66.15,68.5,0,NaN,2.930127723516158,2.930127723516158,-0.6010518407212494
1973-12-11,67.8,68.25,66.35,66.98,0,NaN,-2.2189781021897748,-0.36496350364963526,-3.1386861313868697
1973-12-14,66,67.25,65.9,66.93,0,0,-0.07464914899969699,0.4031054045983815,-1.6124216183935478
1973-12-19,66.8,67.6,66.8,67.33,0,0,0.5976393246675503,1.0010458688181494,-0.19423278051697235
1973-12-24,67.8,68.15,67.3,67.63,0,0,0.44556661220852095,1.2178820733699798,-0.04455666122085422
1973-12-27,67.56,68.8,66.55,67.4,0,0,-0.3400857607570454,1.730001478633745,-1.59692444181576
1974-01-01,67.64,69.55,67.35,68.8,0,0,2.0771513353115596,3.189910979228474,-0.07418397626114448
1974-01-04,68.5,70.1,68.05,69.2,0,0,0.5813953488372177,1.8895348837209263,-1.0901162790697674
1974-01-09,69.4,71,68.7,70.85,0,0,2.384393063583803,2.6011560693641576,-0.7225433526011561
1974-01-14,71.55,73.15,70.9,72.38,0,0,2.159491884262528,3.2462949894142716,0.07057163020467383
1974-01-17,72,73.8,71.2,73.8,0,0,1.9618679193147304,1.9618679193147304,-1.6302846090080032
1974-01-22,73.25,74.25,72,74.05,0,0,0.3387533875338753,0.6097560975609795,-2.439024390243899
1974-01-25,75.5,76,73.4,73.73,0,0,-0.43214044564482534,2.633355840648215,-0.8777852802160586
1974-01-30,73.5,74.45,72.6,73.33,0,0,-0.5425200054252077,0.9765360097653586,-1.5326190153262031
1974-02-04,74.1,76.55,73.9,74.05,0,0,0.981862811945996,4.391108686758487,0.7773080594572581
1974-02-07,75.4,78.8,74.7,78.8,0,0,6.414584740040513,6.414584740040513,0.8777852802160779
1974-02-12,82.95,82.95,79,80.35,0,0,1.9670050761421285,5.2664974619289415,0.2538071065989884
1974-02-15,82,82.1,79.15,79.15,0,0,-1.493466085874286,2.177971375233354,-1.4934660858742859
1974-02-20,78.65,81,77.4,79.28,0,0,0.1642451042324642,2.337334175615912,-2.210991787744788
1974-02-25,80,80.2,76.5,76.5,0,0,-3.506559031281535,1.1604439959636752,-3.506559031281535
1974-02-28,74.5,74.7,71.7,71.81,0,0,-6.130718954248363,-2.3529411764705843,-6.274509803921564
1974-03-05,70.6,73.4,69.81,72,0,0,0.2645871048600439,2.214176298565664,-2.7851274195794455
1974-03-08,72.25,72.9,71.3,72.08,0,0,0.11111111111110875,1.2500000000000078,-0.9722222222222263
1974-03-13,71.9,74.2,71.9,73.63,0,0,2.1503884572696963,2.9411764705882417,-0.2497225305216324
1974-03-18,74.2,74.8,72.65,74.53,0,0,1.2223278554936925,1.5890262121417924,-1.3309792204264428
1974-03-21,76,76.9,73.68,73.68,0,0,-1.140480343485837,3.179927545954655,-1.140480343485837
1974-03-26,72.1,73.6,71.68,73.15,0,0,-0.7193268186753543,-0.10857763300761736,-2.7144408251900107
1974-03-29,73.75,75.5,72.75,73.65,0,0,0.683526999316473,3.212576896787415,-0.5468215994531862
1974-04-03,73.3,74.4,72.6,72.6,0,0,-1.4256619144603004,1.0183299389002038,-1.4256619144603004
1974-04-08,71.2,72.1,70.6,71.6,0,0,-1.3774104683195594,-0.6887052341597797,-2.7548209366391188
1974-04-11,71.4,71.7,71,71,0,0,-0.8379888268156346,0.13966480446928564,-0.8379888268156346
1974-04-16,73.7,74.1,71.8,73.68,0,0,3.774647887323953,4.366197183098584,1.1267605633802777
1974-04-19,73.95,75.65,72.9,73.93,0,0,0.3393051031487513,2.6737242128121586,-1.0586319218241058
1974-04-24,73,74.55,71.4,73.14,0,0,-1.0685783849587531,0.8386311375625461,-3.422156093602057
1974-04-29,73.5,74.6,72.5,74.55,0,0,1.927809680065623,1.996171725458017,-0.8750341810226967
1974-05-02,75.5,75.55,72.15,72.15,0,0,-3.2193158953722216,1.341381623071764,-3.219315895372222
1974-05-07,71.3,75,70.8,74.58,0,0,3.3679833679833573,3.9501039501039426,-1.8711018711018828
