time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1976-02-20,39,39.05,37.9,38.1,0,NaN,NaN,NaN,NaN
1976-02-24,38.05,38.57,37.82,38.42,0,NaN,0.8398950131233602,1.2335958005249315,-0.7349081364829426
1976-02-26,38.6,38.7,37.4,37.45,0,NaN,-2.5247267048412247,0.7287870900572648,-2.6548672566371763
1976-03-01,37,37.4,36.32,37.22,0,NaN,-0.6141522029372601,-0.13351134846463086,-3.0173564753004074
1976-03-03,37.2,37.65,36.9,37.32,0,NaN,0.26867275658248646,1.155292853304674,-0.8597528210639451
1976-03-05,37.5,37.7,37.07,37.2,0,NaN,-0.32154340836012174,1.0182207931404141,-0.669882100750268
1976-03-09,37.3,41.95,37.25,41.9,0,NaN,12.634408602150526,12.768817204301076,0.13440860215052997
1976-03-11,41.7,41.95,41.07,41.85,0,NaN,-0.11933174224343013,0.11933174224344612,-1.9809069212410462
1976-03-15,41.5,41.7,40.5,40.77,0,NaN,-2.5806451612903185,-0.3584229390680969,-3.2258064516129066
1976-03-17,40.1,40.65,40,40.57,0,NaN,-0.4905567819475172,-0.2943340691685174,-1.8886436104979225
1976-03-19,40.75,40.87,40.35,40.65,0,NaN,0.1971900419028797,0.7394626571358076,-0.5422726152329278
1976-03-23,40.8,41.95,40.7,41.75,0,NaN,2.7060270602706065,3.198031980319814,0.12300123001231067
1976-03-25,41.65,43.3,41.6,43.2,0,NaN,3.473053892215576,3.7125748502993945,-0.3592814371257451
1976-03-29,43.4,44.1,42.8,43.87,0,NaN,1.5509259259259132,2.08333333333333,-0.925925925925939
1976-03-31,44,44.4,43.37,44.25,0,NaN,0.8661955778436348,1.2081148848871692,-1.1397310234784592
1976-04-02,44.07,45.65,44.07,45.55,0,NaN,2.937853107344626,3.1638418079096016,-0.4067796610169485
1976-04-06,45,47.22,44.85,47.22,0,NaN,3.666300768386393,3.666300768386393,-1.536772777167938
1976-04-08,47.72,48.22,47,47.37,0,NaN,0.3176620076238854,2.117746717492588,-0.4659042778483671
1976-04-12,47.15,48.4,46.95,48.1,0,NaN,1.5410597424530377,2.1743719653789344,-0.8866371120962521
1976-04-14,48.75,49.37,48.25,48.65,0,NaN,1.1434511434511374,2.640332640332632,0.311850311850309
1976-04-16,49.4,49.8,49,49.02,0,NaN,0.7605344295991872,2.3638232271325768,0.7194244604316575
1976-04-20,48.95,49.6,48.4,48.57,0,NaN,-0.9179926560587572,1.1831905344757205,-1.2647898816809557
1976-04-22,48.2,48.3,47.1,48.07,0,NaN,-1.0294420424130122,-0.5558987029030329,-3.026559604694253
1976-04-26,48.55,48.92,47.02,47.02,0,NaN,-2.1843145412939404,1.7682546286665308,-2.1843145412939404
1976-04-28,46.7,47.22,46.22,46.97,0,NaN,-0.10633772862612556,0.42535091450445717,-1.7014036580178737
1976-04-30,47.1,47.57,46.55,46.8,0,NaN,-0.3619331488183984,1.2774111134766903,-0.8941877794336848
1976-05-04,46.3,46.5,45.32,45.4,0,NaN,-2.9914529914529884,-0.641025641025635,-3.162393162393156
1976-05-06,45.6,46.1,45.22,45.85,0,NaN,0.9911894273127815,1.5418502202643236,-0.39647577092510966
1976-05-10,45.9,46.22,45.42,45.95,0,NaN,0.21810250817884713,0.8069792802617173,-0.9378407851690288
1976-05-12,45.8,45.8,44.75,45.42,0,0,-1.153427638737761,-0.32644178454843464,-2.6115342763873834
1976-05-14,44.1,44.4,43.3,43.35,0,0,-4.557463672391018,-2.245706737120218,-4.667547335975351
1976-05-18,43,44.25,43,43.97,0,0,1.4302191464821163,2.076124567474045,-0.8073817762399109
1976-05-20,44.75,45.4,44.67,45.3,0,0,3.0247896292926955,3.252217420968842,1.5919945417330066
1976-05-24,45.82,46,45.07,45.35,0,0,0.11037527593819929,1.5452538631346642,-0.5077262693156666
1976-05-26,45.55,47.3,45.55,46.72,0,0,3.0209481808158705,4.299889746416749,0.44101433296581194
1976-05-28,47.25,47.25,46.85,47.22,0,0,1.0702054794520548,1.1344178082191805,0.2782534246575397
1976-06-01,47.2,47.4,46.7,46.92,0,0,-0.6353240152477704,0.3811944091486652,-1.1012282930961372
1976-06-03,46.6,46.75,46.1,46.12,0,0,-1.7050298380221744,-0.36231884057971375,-1.7476555839727201
1976-06-07,45,46.3,44.62,46.17,0,0,0.10841283607980112,0.39028620988725005,-3.2523850823937557
1976-06-09,46.75,47.3,46.22,46.37,0,0,0.43318171973141806,2.447476716482554,0.10829542993285068
1976-06-11,46.25,46.65,45.65,46.12,0,0,-0.5391416864351951,0.603838688807421,-1.5527280569333597
1976-06-15,46.15,46.35,44.57,44.57,0,0,-3.360797918473541,0.49869904596705117,-3.360797918473541
1976-06-17,44.5,44.95,43.8,43.9,0,0,-1.5032533094009461,0.8525914292124804,-1.7276194749831795
1976-06-21,43.75,44.1,42.5,42.87,0,0,-2.3462414578587727,0.45558086560365113,-3.1890660592255093
1976-06-23,43.3,43.45,42.57,43.02,0,0,0.3498950314905662,1.3529274550968169,-0.6997900629810991
1976-06-25,43.2,44.2,42.8,42.95,0,0,-0.1627150162715023,2.7429102742910265,-0.5113900511390189
1976-06-29,42.9,43.25,41.9,42,0,0,-2.2118742724097853,0.6984866123399236,-2.4447031431897654
1976-07-01,41.7,41.9,40.5,40.6,0,0,-3.33333333333333,-0.23809523809524147,-3.571428571428571
1976-07-05,40.65,41,39.75,39.8,0,0,-1.970443349753705,0.9852216748768439,-2.093596059113304
1976-07-07,40.5,41.9,40.25,41.85,0,0,5.150753768844233,5.276381909547743,1.1306532663316653
1976-07-09,41.6,43.3,40.5,43.22,0,0,3.2735961768219775,3.464755077658293,-3.225806451612907
1976-07-13,43.1,44.32,42.8,44,0,0,1.804720037019901,2.5451180009255006,-0.9717723276261032
1976-07-15,43.85,44.97,43.85,44.95,0,0,2.159090909090916,2.204545454545452,-0.3409090909090877
1976-07-19,45.25,45.35,43.07,43.07,0,0,-4.182424916573977,0.889877641824246,-4.182424916573976
1976-07-21,42.9,43.5,42.6,43.22,0,0,0.348270257719987,0.9983747387973061,-1.091246807522635
1976-07-23,43.5,43.95,43.05,43.07,0,0,-0.3470615455807464,1.6890328551596576,-0.39333641832485355
1976-07-27,42.75,42.75,41.27,42.3,0,0,-1.7877873229626262,-0.7429765498026477,-4.179243092639882
1976-07-29,42.2,42.2,41.05,41.12,0,0,-2.7895981087470445,-0.23640661938532936,-2.955082742316785
1976-08-02,40.9,40.9,39.75,40.35,0,0,-1.8725680933852047,-0.5350194552529155,-3.331712062256803
1976-08-04,41.05,41.6,40.8,41.25,0,0,2.230483271375461,3.097893432465923,1.1152416356877213
1976-08-06,41.6,42.87,41.55,42.72,0,0,3.5636363636363613,3.927272727272721,0.7272727272727204
1976-08-10,42.5,43,42.02,42.95,0,0,0.5383895131086236,0.6554307116104896,-1.6385767790262076
1976-08-12,42.8,43.15,42.5,42.8,0,0,-0.34924330616997823,0.46565774155994344,-1.0477299185099018
1976-08-16,42.55,42.55,41.7,42.32,0,0,-1.1214953271027965,-0.5841121495327104,-2.570093457943912
1976-08-18,42.7,43.6,42.65,42.85,0,0,1.252362948960305,3.0245746691871482,0.779773156899807
1976-08-20,42.8,42.8,42.07,42.37,0,0,-1.1201866977829729,-0.11668611435240184,-1.8203033838973188
1976-08-24,42.2,42.2,41,41.25,0,0,-2.643379749822982,-0.4012272834552622,-3.2334198725513277
1976-08-26,41.35,41.5,40.7,41.05,0,0,-0.4848484848484915,0.6060606060606062,-1.3333333333333264
1976-08-30,40.25,41.32,40.25,40.75,0,0,-0.7308160779537081,0.6577344701583512,-1.9488428745432333
1976-09-01,40.5,40.95,40.05,40.62,0,0,-0.3190184049079817,0.49079754601227693,-1.717791411042952
1976-09-03,40.7,40.9,40.4,40.55,0,0,-0.1723289020187107,0.6893156080748428,-0.5416051206302288
1976-09-07,40.7,41.5,40.4,40.62,0,0,0.17262638717632622,2.342786683107282,-0.36991368680640835
1976-09-09,41.4,41.7,41.05,41.35,0,0,1.7971442639094142,2.658788774002968,1.0585918266863608
1976-09-13,41.1,41.1,40.17,40.22,0,0,-2.73276904474003,-0.6045949214026605,-2.853688029020555
1976-09-15,40.67,41.5,40.12,40.77,0,0,1.367478866235714,3.1824962705121864,-0.24863252113376788
1976-09-17,40.45,40.75,38.75,38.85,0,0,-4.709345106696103,-0.049055678194758645,-4.954623497669862
1976-09-21,38.5,39.25,38.5,38.72,0,0,-0.33462033462034135,1.0296010296010258,-0.9009009009009041
1976-09-23,38.7,38.7,37.45,37.52,0,0,-3.0991735537189973,-0.05165289256197325,-3.27995867768594
1976-09-27,37.95,38.97,37.72,38.77,0,0,3.3315565031982937,3.8646055437100095,0.5330490405117159
1976-09-29,38.4,38.4,37.1,37.25,0,0,-3.9205571318029477,-0.9543461439257275,-4.307454217178234
1976-10-01,37.55,37.65,36.9,37.4,0,0,0.40268456375838557,1.073825503355701,-0.9395973154362451
1976-10-05,38.6,39.65,38.05,39.15,0,0,4.679144385026738,6.0160427807486645,1.737967914438499
1976-10-07,38.7,40.8,38.5,40.72,0,0,4.01021711366539,4.214559386973177,-1.6602809706257946
1976-10-11,41.5,42.2,41.2,41.72,0,0,2.4557956777996073,3.6345776031434283,1.1787819253438214
1976-10-13,42.12,42.47,40.9,41.8,0,0,0.19175455417065734,1.7976989453499521,-1.9654841802492817
1976-10-15,41.7,41.9,41.25,41.6,0,0,-0.47846889952152094,0.23923444976076902,-1.315789473684204
1976-10-19,41.4,42.35,41.05,42.3,0,0,1.6826923076922975,1.8028846153846152,-1.3221153846153948
1976-10-21,42.6,43.1,42.25,43.05,0,0,1.773049645390071,1.8912529550827526,-0.11820330969266468
