time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1990-04-03,1.59,1.655,1.58,1.635,0,NaN,NaN,NaN,NaN
1990-04-04,1.6,1.65,1.599,1.62,0,NaN,-0.9174311926605444,0.9174311926605444,-2.201834862385323
1990-04-05,1.615,1.635,1.61,1.615,0,NaN,-0.308641975308649,0.9259259259259198,-0.6172839506172845
1990-04-06,1.615,1.635,1.61,1.625,0,NaN,0.6191950464396291,1.2383900928792582,-0.3095975232198076
1990-04-09,1.612,1.64,1.612,1.637,0,NaN,0.7384615384615392,0.9230769230769171,-0.7999999999999939
1990-04-10,1.627,1.63,1.613,1.62,0,NaN,-1.0384850335980393,-0.42761148442273167,-1.466096518020771
1990-04-11,1.61,1.61,1.595,1.605,0,NaN,-0.9259259259259335,-0.6172839506172845,-1.5432098765432178
1990-04-12,1.595,1.6,1.59,1.598,0,NaN,-0.43613707165108384,-0.3115264797507722,-0.9345794392523303
1990-04-16,1.597,1.6,1.592,1.598,0,NaN,0,0.12515644555694627,-0.3754693366708388
1990-04-17,1.594,1.6,1.585,1.585,0,NaN,-0.8135168961201579,0.1251564455569463,-0.8135168961201579
1990-04-18,1.583,1.587,1.583,1.583,0,NaN,-0.12618296529968465,0.12618296529968465,-0.12618296529968465
1990-04-19,1.581,1.581,1.55,1.57,0,NaN,-0.8212255211623437,-0.1263423878711309,-2.0846493998736526
1990-04-20,1.56,1.56,1.54,1.543,0,NaN,-1.719745222929945,-0.6369426751592362,-1.9108280254777086
1990-04-23,1.525,1.56,1.525,1.555,0,NaN,0.7777057679844466,1.1017498379779733,-1.16655865197667
1990-04-24,1.54,1.556,1.54,1.555,0,NaN,0,0.06430868167203285,-0.9646302250803797
1990-04-25,1.56,1.57,1.552,1.552,0,NaN,-0.1929260450160702,0.9646302250803939,-0.19292604501607025
1990-04-26,1.555,1.564,1.555,1.558,0,NaN,0.38659793814433024,0.7731958762886604,0.19329896907215793
1990-04-27,1.56,1.56,1.55,1.555,0,NaN,-0.1925545571245259,0.12836970474967924,-0.5134788189987167
1990-04-30,1.565,1.57,1.565,1.565,0,NaN,0.6430868167202577,0.9646302250803939,0.6430868167202577
1990-05-01,1.575,1.575,1.565,1.565,0,NaN,0,0.6389776357827481,0
1990-05-02,1.575,1.58,1.575,1.575,0,NaN,0.6389776357827481,0.9584664536741293,0.6389776357827481
1990-05-03,1.575,1.575,1.575,1.575,0,NaN,0,0,0
1990-05-04,1.57,1.575,1.57,1.575,0,NaN,0,0,-0.31746031746031067
1990-05-07,1.58,1.585,1.575,1.58,0,NaN,0.31746031746032477,0.6349206349206356,0
1990-05-08,1.585,1.589,1.582,1.583,0,NaN,0.18987341772151212,0.5696202531645504,0.12658227848101278
1990-05-09,1.587,1.587,1.576,1.576,0,NaN,-0.4421983575489511,0.2526847757422618,-0.4421983575489511
1990-05-10,1.58,1.58,1.574,1.574,0,NaN,-0.1269035532994925,0.253807106598985,-0.1269035532994925
1990-05-11,1.571,1.575,1.565,1.565,0,NaN,-0.5717916137230062,0.06353240152477063,-0.5717916137230062
1990-05-14,1.559,1.559,1.555,1.556,0,NaN,-0.5750798722044662,-0.38338658146964893,-0.6389776357827481
1990-05-15,1.555,1.555,1.552,1.552,0,0,-0.25706940874036016,-0.06426735218509716,-0.25706940874036016
1990-05-16,1.559,1.575,1.559,1.57,0,0,1.1597938144329907,1.481958762886592,0.45103092783504467
1990-05-17,1.57,1.575,1.57,1.57,0,0,0,0.3184713375796111,0
1990-05-18,1.565,1.565,1.54,1.554,0,0,-1.019108280254778,-0.3184713375796252,-1.9108280254777086
1990-05-21,1.62,1.625,1.615,1.62,0,0,4.24710424710425,4.568854568854565,3.925353925353922
1990-05-22,1.61,1.62,1.605,1.613,0,0,-0.432098765432106,0,-0.9259259259259336
1990-05-23,1.603,1.606,1.597,1.602,0,0,-0.6819590824550464,-0.4339739615622997,-0.9919404835709865
1990-05-24,1.602,1.602,1.595,1.6,0,0,-0.12484394506866425,0,-0.4369538077403319
1990-05-25,1.595,1.6,1.59,1.592,0,0,-0.5000000000000004,0,-0.6250000000000006
1990-05-29,1.585,1.588,1.585,1.585,0,0,-0.4396984924623189,-0.2512562814070354,-0.4396984924623189
1990-05-30,1.585,1.595,1.585,1.585,0,0,0,0.6309148264984233,0
1990-05-31,1.586,1.604,1.585,1.59,0,0,0.3154574132492186,1.1987381703470112,0
1990-06-01,1.587,1.59,1.585,1.585,0,0,-0.3144654088050387,0,-0.3144654088050387
1990-06-04,1.585,1.585,1.57,1.582,0,0,-0.18927444794951997,0,-0.946372239747628
1990-06-05,1.57,1.575,1.567,1.567,0,0,-0.948166877370425,-0.44247787610620204,-0.948166877370425
1990-06-06,1.562,1.564,1.556,1.56,0,0,-0.4467134652201592,-0.19144862795149276,-0.7019783024888258
1990-06-07,1.565,1.585,1.565,1.573,0,0,0.8333333333333268,1.6025641025640969,0.3205128205128136
1990-06-08,1.565,1.58,1.564,1.575,0,0,0.1271455816910363,0.44500953591863435,-0.5721551176096565
1990-06-11,1.573,1.575,1.565,1.572,0,0,-0.19047619047618358,0,-0.6349206349206356
1990-06-12,1.57,1.574,1.553,1.558,0,0,-0.8905852417302805,0.1272264631043258,-1.2086513994911021
1990-06-13,1.55,1.55,1.543,1.545,0,0,-0.8344030808729218,-0.5134788189987167,-0.9627727856226009
1990-06-14,1.54,1.55,1.54,1.547,0,0,0.1294498381877024,0.32362459546926314,-0.3236245954692487
1990-06-15,1.54,1.55,1.54,1.547,0,0,0,0.1939237233354954,-0.4524886877827987
1990-06-18,1.535,1.544,1.535,1.54,0,0,-0.4524886877827987,-0.19392372333548108,-0.7756948933419529
1990-06-19,1.53,1.538,1.53,1.536,0,0,-0.25974025974025994,-0.12987012987012997,-0.6493506493506499
1990-06-20,1.561,1.562,1.557,1.559,0,0,1.4973958333333273,1.692708333333335,1.3671874999999942
1990-06-21,1.558,1.56,1.528,1.528,0,0,-1.9884541372674742,0.06414368184734531,-1.9884541372674742
1990-06-22,1.515,1.524,1.512,1.522,0,0,-0.3926701570680631,-0.2617801047120421,-1.0471204188481684
1990-06-25,1.51,1.52,1.506,1.516,0,0,-0.3942181340341659,-0.1314060446780553,-1.0512483574244424
1990-06-26,1.51,1.515,1.505,1.507,0,0,-0.5936675461741503,-0.06596306068602321,-0.7255936675461822
1990-06-27,1.505,1.505,1.495,1.5,0,0,-0.46449900464498306,-0.13271400132714015,-0.7962840079628262
1990-06-28,1.496,1.52,1.496,1.515,0,0,0.9999999999999933,1.3333333333333344,-0.26666666666666694
1990-06-29,1.51,1.519,1.51,1.519,0,0,0.26402640264026433,0.26402640264026433,-0.33003300330032304
1990-07-02,1.525,1.525,1.516,1.519,0,0,0,0.39499670836076406,-0.19749835418037473
1990-07-03,1.517,1.525,1.517,1.525,0,0,0.39499670836076406,0.39499670836076406,-0.131665569453588
1990-07-05,1.518,1.518,1.511,1.514,0,0,-0.7213114754098294,-0.459016393442616,-0.9180327868852468
1990-07-06,1.511,1.511,1.495,1.498,0,0,-1.0568031704095122,-0.19815059445179084,-1.2549537648612883
1990-07-09,1.493,1.495,1.488,1.493,0,0,-0.33377837116154163,-0.200267022696922,-0.6675567423230981
1990-07-10,1.493,1.5,1.492,1.5,0,0,0.46885465505692536,0.46885465505692536,-0.06697923643671211
1990-07-11,1.508,1.508,1.495,1.5,0,0,0,0.5333333333333339,-0.33333333333332626
1990-07-12,1.5,1.502,1.495,1.502,0,0,0.13333333333333347,0.13333333333333347,-0.33333333333332626
1990-07-13,1.52,1.52,1.5,1.5,0,0,-0.13315579227696417,1.1984021304926775,-0.13315579227696417
1990-07-16,1.51,1.515,1.49,1.495,0,0,-0.33333333333332626,0.9999999999999934,-0.6666666666666672
