time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
2000-09-01,1288,1291,1236,1268,102,NaN,NaN,NaN,NaN
2000-10-02,1250,1292,1070,1169,1059,NaN,-7.807570977917981,1.8927444794952681,-15.615141955835963
2000-11-01,1213,1280.5,1195,1267,8752,NaN,8.38323353293413,9.538066723695467,2.2241231822070127
2000-12-01,1253,1363.5,1219,1256.5,5615,NaN,-0.8287292817679557,7.616416732438831,-3.7884767166535127
2001-01-01,1266,1366.5,1265.5,1350,185,NaN,7.441305212892956,8.754476721050537,0.7162753680859533
2001-02-01,1349,1416,1307,1353,108,NaN,0.22222222222222232,4.888888888888889,-3.185185185185185
2001-03-01,1386,1386,1096,1158,142,NaN,-14.412416851441243,2.4390243902439024,-18.99482631189948
2001-04-02,1130,1154.5,1040,1132,112,NaN,-2.2452504317789295,-0.30224525043177897,-10.189982728842832
2001-05-01,1143.5,1193,1120,1168.5,80,NaN,3.224381625441696,5.3886925795053,-1.0600706713780923
2001-06-01,1143,1143,1059.5,1109,2,NaN,-5.091998288403937,-2.1822849807445444,-9.328198545143346
2001-07-02,1102,1107,1048,1069,5,NaN,-3.606853020739405,-0.18034265103697011,-5.500450856627593
2001-08-01,1059.5,1074.5,1049.5,1049.5,0,NaN,-1.824134705332086,0.5144995322731525,-1.824134705332086
2001-09-03,1044,1044,849,907.5,0,NaN,-13.530252501191043,-0.5240590757503574,-19.10433539780848
2001-10-01,904,986,895.5,965,0,NaN,6.336088154269973,8.65013774104683,-1.322314049586776
2001-11-01,987,1064.5,980.5,1051.5,0,NaN,8.963730569948186,10.310880829015543,1.6062176165803108
2001-12-03,1050,1105,1010.5,1043,0,NaN,-0.8083689966714225,5.087969567284832,-3.8991916310033283
2002-01-01,1044.5,1109,1044.5,1067,0,NaN,2.3010546500479387,6.327900287631831,0.14381591562799612
2002-02-01,1073,1191.5,1066,1144.5,0,NaN,7.2633552014995315,11.668228678537956,-0.0937207122774133
2002-03-01,1180,1195,1122.5,1128.5,0,NaN,-1.3979903888160772,4.412407164700743,-1.9222367846221056
2002-04-01,1137.5,1145,1072.5,1085,0,NaN,-3.8546743464776254,1.4621178555604786,-4.962339388568897
2002-05-01,1093.5,1127,1027.5,1040.5,0,NaN,-4.1013824884792625,3.870967741935484,-5.299539170506913
2002-06-03,1051,1107.5,1051,1069,0,NaN,2.7390677558865937,6.4392119173474285,1.0091302258529549
2002-07-01,1080,1092.5,971.5,971.5,0,NaN,-9.120673526660429,2.1983161833489238,-9.12067352666043
2002-08-01,970.5,1019.5,966,1019.5,0,NaN,4.940813175501802,4.940813175501802,-0.5661348430262478
2002-09-02,1022,1022,972,972,0,NaN,-4.6591466405100554,0.24521824423737115,-4.659146640510055
2002-10-01,964.5,982,933,961,0,NaN,-1.1316872427983542,1.02880658436214,-4.012345679012346
2002-11-01,961,1057,961,1057,0,NaN,9.989594172736734,9.989594172736732,0
2002-12-02,1074.5,1083,1042,1083,0,NaN,2.459791863765374,2.459791863765374,-1.4191106906338695
2003-01-01,1077.5,1082.5,1021.5,1030,0,NaN,-4.893813481071098,-0.046168051708217916,-5.678670360110804
2003-02-03,1042,1057.5,1024,1050.5,0,538.7333333333333,1.990291262135922,2.669902912621359,-0.5825242718446599
2003-03-03,1046,1046,958,958,0,535.3333333333334,-8.80533079485959,-0.4283674440742504,-8.805330794859591
2003-04-01,964,1010.5,905,914,0,500.03333333333336,-4.592901878914405,5.480167014613778,-5.532359081419624
2003-05-01,918,998.5,916,998.5,0,208.3,9.24507658643326,9.24507658643326,0.21881838074398274
2003-06-02,1006.5,1123,1002,1123,0,21.133333333333333,12.468703054581873,12.468703054581873,0.35052578868302453
2003-07-01,1120,1172.5,1098,1172.5,0,14.966666666666667,4.407836153161174,4.407836153161174,-2.226179875333927
2003-08-01,1182,1341.5,1157.5,1341.5,0,11.366666666666667,14.413646055437102,14.413646055437102,-1.279317697228145
2003-09-01,1360.5,1401,1287.5,1401,0,6.633333333333334,4.435333581811406,4.435333581811406,-4.025344763324636
2003-10-01,1404.5,1552.5,1404.5,1539.5,0,2.9,9.885795860099929,10.813704496788008,0.24982155603140654
2003-11-03,1585,1602,1505.5,1597,0,0.23333333333333334,3.7349788892497564,4.059759662227997,-2.2085092562520297
2003-12-01,1639,1870.5,1627,1870.5,0,0.16666666666666666,17.12586098935504,17.12586098935504,1.878522229179712
2004-01-01,1925.5,1961.5,1774.5,1814,0,0,-3.020582731889867,4.8650093557872225,-5.132317562149158
2004-02-02,1773.5,1924,1770.5,1805,0,0,-0.49614112458654924,6.063947078280044,-2.398015435501654
2004-03-01,1857,1889,1689.5,1776,0,0,-1.6066481994459834,4.653739612188366,-6.3988919667590025
2004-04-01,1823.5,1896,1800.5,1800.5,0,0,1.3795045045045045,6.756756756756757,1.3795045045045047
2004-05-03,1771.5,1812.5,1422,1517,76,2.533333333333333,-15.745626214940293,0.6664815329075253,-21.021938350458207
2004-06-01,1541,1583,1479,1537.5,0,2.533333333333333,1.3513513513513526,4.350692155570204,-2.504943968358603
2004-07-01,1569,1662,1549.5,1662,0,2.533333333333333,8.097560975609756,8.097560975609756,0.7804878048780486
2004-08-02,1668.5,1684.5,1611,1660,0,2.533333333333333,-0.12033694344163592,1.3537906137184113,-3.068592057761733
2004-09-01,1663.5,1780,1657.5,1772,0,2.533333333333333,6.746987951807229,7.228915662650602,-0.1506024096385543
2004-10-01,1801.5,1846,1783.5,1812.5,0,2.533333333333333,2.285553047404063,4.17607223476298,0.6489841986455982
2004-11-01,1823,1981,1823,1981,0,2.533333333333333,9.296551724137931,9.296551724137931,0.5793103448275861
2004-12-01,1984,2100,1984,2100,0,2.533333333333333,6.007067137809187,6.007067137809187,0.15143866733972744
2005-01-03,2136,2136,1931.5,2078.5,0,2.533333333333333,-1.0238095238095237,1.7142857142857144,-8.023809523809524
2005-02-01,2080.5,2125,2065,2125,0,2.533333333333333,2.237190281452971,2.237190281452971,-0.6495068559057016
2005-03-01,2106.5,2191.5,2037,2088,0,2.533333333333333,-1.7411764705882353,3.129411764705883,-4.141176470588236
2005-04-01,2120,2122,1955.5,1955.5,0,2.533333333333333,-6.345785440613026,1.628352490421456,-6.345785440613026
2005-05-02,1969.5,2138.5,1969.5,2138.5,0,2.533333333333333,9.35822040398875,9.35822040398875,0.7159294298133467
2005-06-01,2138.5,2268.5,2116,2268.5,0,2.533333333333333,6.079027355623101,6.079027355623101,-1.0521393500116905
2005-07-01,2260,2312.5,2179.5,2312.5,0,2.533333333333333,1.939607670266696,1.939607670266696,-3.9232973330394536
2005-08-01,2317,2403,2317,2382.5,0,2.533333333333333,3.027027027027027,3.9135135135135135,0.19459459459459438
2005-09-01,2410,2613.5,2410,2613.5,0,2.533333333333333,9.695697796432318,9.695697796432318,1.154249737670514
2005-10-03,2638.5,2670,2297.5,2367,3430,116.86666666666666,-9.431796441553471,2.161851922709011,-12.091065620814998
2005-11-01,2370,2733,2357.5,2653.5,1878,179.46666666666667,12.103929024081113,15.462610899873258,-0.40135192226446925
2005-12-01,2667.5,2845.5,2652,2845.5,686,202.33333333333334,7.235726399095534,7.235726399095533,-0.05652911249293385
2006-01-02,2825,3005.5,2766,3005.5,2052,270.73333333333335,5.622913371990863,5.622913371990863,-2.79388508170796
2006-02-01,2995,3084,2919,3075,5793,463.8333333333333,2.3124272167692563,2.611878223257362,-2.8780568956912327
2006-03-01,3063,3420.5,3062,3407,7210,704.1666666666666,10.796747967479675,11.235772357723576,-0.4227642276422765
2006-04-03,3423.5,3666,3300,3506,6797,930.7333333333333,2.9057822130906956,7.601995890813032,-3.1405928969768127
2006-05-01,3540,3760,2925,3021,8138,1202,-13.833428408442671,7.244723331431831,-16.57159155733029
2006-06-01,3004,3122,2588,3122,6189,1408.3,3.343263819927177,3.3432638199271767,-14.333002317113538
2006-07-03,3115,3185,2882,3100,5272,1584.0333333333333,-0.7046764894298523,2.0179372197309418,-7.687379884689302
2006-08-01,3100,3442.5,3088,3413.5,4405,1730.8666666666666,10.112903225806452,11.048387096774196,-0.38709677419354804
2006-09-01,3400,3604,3302,3591,5803,1924.3,5.199941409110883,5.580782188369708,-3.2664420682583857
2006-10-02,3591,3785,3510,3758,6750,2149.3,4.650515176830966,5.402394876079086,-2.2556390977443606
2006-11-01,3673.5,3981,3673.5,3954,5520,2330.766666666667,5.215540180947312,5.934007450771687,-2.2485364555614686
2006-12-01,3960,4098,3650,3967,7996,2597.3,0.3287809812847753,3.6418816388467374,-7.688416793120892
2007-01-01,4018,4223,3848,4063,49,2598.9333333333334,2.419964708847996,6.4532392235946565,-2.9997479203428288
2007-02-01,4140,4222,3499,3715,6063,2801.0333333333333,-8.56509968003938,3.91336450898351,-13.881368446960373
2007-03-01,3725.5,3910,3525,3797,6958,3032.9666666666667,2.207267833109018,5.248990578734858,-5.114401076716016
2007-04-02,3587,4209,3587,4091,5008,3199.9,7.742954964445616,10.850671582828548,-5.530682117461153
2007-05-01,4060,4296,4000,4239,7757,3458.4666666666667,3.6176973845025664,5.010999755560987,-2.2243950134441457
2007-06-01,4270,4320,4082,4257,8403,3738.5666666666666,0.424628450106157,1.910828025477707,-3.7037037037037033
2007-07-02,4289,4770,4270,4510,8637,4026.4666666666667,5.943152454780361,12.050739957716702,0.305379375146817
2007-08-01,4450,4550,3970,4420.5,4237,4167.7,-1.9844789356984478,0.8869179600886916,-11.973392461197339
2007-09-03,4420.5,5095,4395,5038,2324,4245.166666666667,13.96900803076575,15.258454925913359,-0.5768578215134035
2007-10-01,5038,6000,5000,5924,4228,4386.1,17.58634378721715,19.094878920206433,-0.7542675664946408
2007-11-01,5820,5964,5450,5791,12488,4802.366666666667,-2.245104659014178,0.6752194463200532,-8.00135043889264
2007-12-03,5788,6220,5715,6155,31307,5845.933333333333,6.2856156104299785,7.408046969435331,-1.312381281298567
2008-01-01,6090,6320,4900.5,5138,59127,7816.833333333333,-16.52315190901706,2.6807473598700238,-20.38180341186028
2008-02-01,5250,5559,4774,5180,240229,15824.466666666667,0.8174386920980936,8.193849746983261,-7.084468664850137
