time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
2006-01-02T18:00:00-05:00,1662,1663,1660.5,1661.5,1166,NaN,NaN,NaN,NaN
2006-01-03T00:00:00-05:00,1661.5,1671,1661,1669,7044,NaN,0.45139933794763765,0.5717724947336744,-0.03009328919650918
2006-01-03T06:00:00-05:00,1668.5,1669.5,1646,1661.5,134525,NaN,-0.4493708807669262,0.02995805871779511,-1.378070701018574
2006-01-03T12:00:00-05:00,1662,1701,1658.5,1693.5,228931,NaN,1.9259705085765875,2.3773698465242252,-0.1805597351790551
2006-01-03T18:00:00-05:00,1693.5,1694.5,1691,1692,1739,NaN,-0.08857395925597888,0.059049306170652294,-0.14762326542663123
2006-01-04T00:00:00-05:00,1691.5,1693.5,1687,1691.5,5807,NaN,-0.02955082742316785,0.08865248226950355,-0.29550827423167847
2006-01-04T06:00:00-05:00,1691.5,1710.5,1690.5,1708.5,149203,NaN,1.0050251256281406,1.1232633757020396,-0.059119125036949466
2006-01-04T12:00:00-05:00,1708.5,1713.5,1698,1712,142523,NaN,0.2048580626280363,0.29265437518290893,-0.6145741878841089
2006-01-04T18:00:00-05:00,1711,1712,1710.5,1711.5,695,NaN,-0.029205607476635503,0,-0.08761682242990654
2006-01-05T00:00:00-05:00,1711.5,1712,1708,1711,4685,NaN,-0.029214139643587496,0.029214139643587496,-0.2044989775051125
2006-01-05T06:00:00-05:00,1711,1720.5,1709.5,1720,130954,NaN,0.5260081823495032,0.5552308591466979,-0.08766803039158387
2006-01-05T12:00:00-05:00,1720,1725.5,1712.5,1721.5,105062,NaN,0.08720930232558138,0.31976744186046513,-0.436046511627907
2006-01-05T18:00:00-05:00,1721,1722.5,1721,1722,635,NaN,0.02904443799012489,0.05808887598024981,-0.029044437990124905
2006-01-06T00:00:00-05:00,1722,1723.5,1720.5,1723.5,3000,NaN,0.08710801393728224,0.08710801393728224,-0.08710801393728224
2006-01-06T06:00:00-05:00,1723.5,1735,1720.5,1733,143923,NaN,0.5512039454598201,0.6672468813460981,-0.17406440382941687
2006-01-06T12:00:00-05:00,1733,1750,1732.5,1748,197518,NaN,0.8655510675129832,0.9809578765147143,-0.028851702250432765
2006-01-08T18:00:00-05:00,1747.5,1748,1746.5,1747,468,NaN,-0.05720823798627006,0,-0.08581235697940504
2006-01-09T00:00:00-05:00,1747.5,1750.5,1746.5,1749.5,3689,NaN,0.14310246136233543,0.20034344590726963,-0.028620492272467088
2006-01-09T06:00:00-05:00,1750,1755,1742,1754.5,139955,NaN,0.2857959416976279,0.3143755358673907,-0.42869391254644185
2006-01-09T12:00:00-05:00,1754.5,1758.5,1747,1753.5,141431,NaN,-0.05699629524080935,0.2279851809632374,-0.42747221430607013
2006-01-09T18:00:00-05:00,1754,1754,1748,1749.5,2028,NaN,-0.22811519817507844,0.028514399771884802,-0.3136583974907328
2006-01-10T00:00:00-05:00,1750,1751.5,1745.5,1747,4931,NaN,-0.14289797084881395,0.11431837667905116,-0.22863675335810232
2006-01-10T06:00:00-05:00,1747,1752,1743,1749,138127,NaN,0.11448196908986835,0.28620492272467085,-0.22896393817973668
2006-01-10T12:00:00-05:00,1749,1760.5,1744.5,1759.5,163349,NaN,0.6003430531732418,0.657518582046884,-0.2572898799313894
2006-01-10T18:00:00-05:00,1759,1759,1756.5,1758.5,810,NaN,-0.05683432793407217,-0.028417163967036085,-0.17050298380221654
2006-01-11T00:00:00-05:00,1758.5,1763,1757.5,1763,2905,NaN,0.25589991470002843,0.25589991470002843,-0.056866647711117435
2006-01-11T06:00:00-05:00,1762.5,1769.5,1755.5,1764.5,153941,NaN,0.08508224617129892,0.368689733408962,-0.4254112308564946
2006-01-11T12:00:00-05:00,1764.5,1774,1763,1770,168150,NaN,0.3117030320204024,0.5383961462170587,-0.08500991782374612
2006-01-11T18:00:00-05:00,1770,1770.5,1769.5,1769.5,696,NaN,-0.028248587570621486,0.02824858757062143,-0.028248587570621472
2006-01-12T00:00:00-05:00,1770,1770.5,1768.5,1769,2151,72668.03333333334,-0.028256569652444195,0.05651313930488839,-0.05651313930488839
2006-01-12T06:00:00-05:00,1769.5,1772,1764,1770.5,108592,76248.9,0.0847936687394008,0.1695873374788016,-0.2826455624646693
2006-01-12T12:00:00-05:00,1771,1773,1754.5,1763.5,168058,81616.03333333334,-0.3953685399604632,0.1412030499858797,-0.90369951990963
2006-01-12T18:00:00-05:00,1764,1765,1762.5,1764,531,77149.56666666667,0.028352707683583778,0.08505812305075135,-0.056705415367167555
2006-01-13T00:00:00-05:00,1764.5,1766,1758.5,1760,4843,69679.96666666666,-0.22675736961451248,0.11337868480725624,-0.31179138321995464
2006-01-13T06:00:00-05:00,1760,1763,1752,1758.5,116169,73494.3,-0.08522727272727271,0.17045454545454544,-0.45454545454545453
2006-01-13T12:00:00-05:00,1758.5,1761,1749.5,1760,109541,76952.1,0.08529997156667612,0.1421666192777936,-0.5117998294000569
2006-01-15T18:00:00-05:00,1760,1760,1755,1755.5,729,72002.96666666666,-0.2556818181818182,0,-0.2840909090909091
2006-01-16T00:00:00-05:00,1756,1761.5,1755.5,1761.5,1232,67293.26666666666,0.3417829678154372,0.3417829678154372,0
2006-01-16T06:00:00-05:00,1762,1764,1760,1763.5,2239,67344.73333333334,0.11353959693443089,0.1419244961680386,-0.08515469770082316
2006-01-16T18:00:00-05:00,1763.5,1763.5,1760.5,1761,748,67213.5,-0.14176353841791894,0,-0.1701162461015027
2006-01-17T00:00:00-05:00,1761,1761,1747.5,1749,8882,63144.433333333334,-0.6814310051107326,0,-0.7666098807495741
2006-01-17T06:00:00-05:00,1749,1752,1744,1747,117011,63542.73333333333,-0.11435105774728416,0.17152658662092624,-0.2858776443682104
2006-01-17T12:00:00-05:00,1747.5,1753,1729.5,1729.5,134157,67993.46666666666,-1.001717229536348,0.34344590726960506,-1.001717229536348
2006-01-17T18:00:00-05:00,1728.5,1729.5,1715,1716.5,8673,68182.56666666667,-0.7516623301532235,0,-0.8383925990170569
2006-01-18T00:00:00-05:00,1717,1724,1714.5,1717,10400,63731.8,0.029129041654529564,0.4369356248179435,-0.11651616661811826
2006-01-18T06:00:00-05:00,1717,1737.5,1713.5,1725,216192,64354.26666666667,0.46592894583576006,1.1939429237041352,-0.20384391380314504
