time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1999-06-25,2293.5,2357,2268.5,2347.5,3703,NaN,NaN,NaN,NaN
1999-07-02,2383.5,2410,2341,2388,8291,NaN,1.7252396166134185,2.6624068157614484,-0.27689030883919064
1999-07-09,2395,2453.5,2372.5,2448,15270,NaN,2.512562814070352,2.7428810720268006,-0.6490787269681741
1999-07-16,2448,2489,2299,2312,14702,NaN,-5.555555555555555,1.6748366013071896,-6.086601307189542
1999-07-23,2325,2353,2265.5,2284.5,15698,NaN,-1.1894463667820068,1.7733564013840832,-2.0112456747404845
1999-07-30,2304,2327,2164.5,2226,18928,NaN,-2.5607353906762964,1.8603633180126942,-5.252790544977019
1999-08-06,2251,2273.5,2132,2238,22131,NaN,0.5390835579514826,2.133872416891285,-4.22282120395328
1999-08-13,2217.5,2363.5,2214,2302,18550,NaN,2.8596961572832886,5.607685433422699,-1.072386058981233
1999-08-20,2295.5,2477.5,2282.5,2428,14346,NaN,5.473501303214596,7.62380538662033,-0.8470894874022589
1999-08-27,2425,2449,2332.5,2401.5,18118,NaN,-1.0914332784184513,0.8649093904448106,-3.9332784184514002
1999-09-03,2403.5,2531,2396,2506,8716,NaN,4.351447012283989,5.392463043930876,-0.22902352696231532
1999-09-10,2505,2579.5,2442.5,2494,14266,NaN,-0.47885075818036693,2.9329608938547485,-2.533918595371109
1999-09-17,2497,2588,2415.5,2434,24948,NaN,-2.405773857257418,3.769045709703288,-3.1475541299117884
1999-09-24,2433,2486.5,2375,2439.5,27005,NaN,0.22596548890714896,2.1569433032046015,-2.423993426458505
1999-10-01,2436.5,2599,2379.5,2552,24709,NaN,4.611600737856119,6.538225046116006,-2.4595203935232632
1999-10-08,2550,2617,2445,2492,25227,NaN,-2.3510971786833856,2.5470219435736676,-4.192789968652037
1999-10-15,2495,2514,2318.5,2513,27340,NaN,0.8426966292134832,0.8828250401284108,-6.962279293739967
1999-10-22,2511,2564.5,2438,2562,23509,NaN,1.9498607242339834,2.049343414245921,-2.9844807003581377
1999-10-29,2560,2732,2551,2723,22361,NaN,6.284153005464481,6.635441061670571,-0.429352068696331
1999-11-05,2723,2869,2710,2866.5,26699,NaN,5.269922879177378,5.361733382298936,-0.4774146162320969
1999-11-12,2864,3021,2802,3018,28906,NaN,5.285190999476714,5.389848246991104,-2.250130821559393
1999-11-19,3015,3123,2982.5,3119,20606,NaN,3.3465871438038435,3.4791252485089466,-1.1762756792577866
1999-11-26,3119.5,3165,2961.5,3111,41425,NaN,-0.256492465533825,1.4748316768194933,-5.049695415197179
1999-12-03,3110,3229,3094,3169,32135,NaN,1.8643522982963678,3.7929926068788173,-0.5464480874316937
1999-12-10,3160,3383,3131,3382,32081,NaN,6.721363206058692,6.752918901861786,-1.1991164405175134
1999-12-17,3383,3682,3379,3636,39287,NaN,7.510348905972797,8.870490833826139,-0.08870490833826139
1999-12-24,3635.5,3804.5,3566,3735,26691,NaN,2.7227722772277234,4.634213421342134,-1.9251925192519255
1999-12-31,3728.5,3772,3722.5,3754,15414,NaN,0.5087014725568944,0.9906291834002676,-0.3346720214190093
2000-01-03,3750,3895,3257,3562,75762,NaN,-5.1145444858817255,3.7559936068193926,-13.239211507725093
2000-01-10,3561,3804.5,3476,3752.5,72719,25318.1,5.348119034250421,6.807973048848962,-2.4143739472206622
2000-01-17,3743,3914,3669.5,3893,56659,27083.3,3.74417055296469,4.30379746835443,-2.2118587608261158
2000-01-24,3891.5,3938,3409,3475,82390,29553.266666666666,-10.737220652453122,1.1559208836372976,-12.432571281787824
2000-01-31,3462,3960,3371,3906.5,65782,31237,12.417266187050362,13.9568345323741,-2.9928057553956844
2000-02-07,3906.5,4144,3875.5,3992.5,90142,33751.666666666664,2.201459106617177,6.079610904902086,-0.7935492128503778
2000-02-14,3983.5,4146,3861,3968,103045,36663.23333333333,-0.6136505948653728,3.8447088290544773,-3.293675641828428
2000-02-21,3954.5,4316,3865.5,4194,101866,39427.833333333336,5.695564516129032,8.770161290322582,-2.5831653225806455
2000-02-28,4182.5,4458,4029,4454.5,104418,42170.73333333333,6.211254172627563,6.294706723891273,-3.934191702432046
2000-03-06,4447,4668,4272,4605,62957,43650.96666666667,3.378605904141879,4.7929060500617355,-4.096980581434504
2000-03-13,4590,4604,4108,4516.5,109290,46815.76666666667,-1.9218241042345277,-0.021715526601520097,-10.792616720955483
2000-03-20,4507.5,4884,4215,4804,131564,50597.3,6.365548544226725,8.136831617402857,-6.675523082032547
2000-03-27,4787,4850,4211.5,4457.5,153411,55420.46666666667,-7.2127393838467935,0.9575353871773524,-12.333472106577851
2000-04-03,4417,4417,3738.34,4337,127762,59203.666666666664,-2.7033090297251823,-0.908581043185642,-16.133707234997193
2000-04-10,4031.66,4100.5,3148,3217.5,196213,64912.5,-25.81277380677888,-5.453078164629929,-27.41526400737837
2000-04-17,3249.84,3781,3249.84,3535,127290,68255.33333333333,9.867909867909866,17.513597513597514,1.0051282051282087
2000-04-24,3488.5,3826.5,3223,3810,148004,72365.16666666667,7.779349363507778,8.246110325318245,-8.826025459688825
2000-05-01,3807.5,3910,3452,3695,157983,76790.36666666667,-3.018372703412073,2.6246719160104988,-9.396325459317586
2000-05-08,3682,3693,3194,3417.5,156182,81085.1,-7.510148849797023,-0.0541271989174561,-13.558863328822735
2000-05-15,3410,3683.5,3266,3280,152532,85385.86666666667,-4.023408924652524,7.783467446964155,-4.433065106071689
2000-05-22,3276,3340.16,2902.5,3130,204753,91465.6,-4.573170731707317,1.83414634146341,-11.509146341463415
2000-05-29,3123.5,3775.5,3123,3751.5,141705,95299.13333333333,19.856230031948883,20.623003194888177,-0.22364217252396124
2000-06-05,3752,3840,3605,3754.5,123166,98441.13333333333,0.07996801279488253,2.359056377449022,-3.9051046248167403
2000-06-12,3745,3898,3644,3827.5,140939,102452.23333333334,1.9443334665068583,3.8220801704621126,-2.94313490478093
2000-06-19,3823.5,4057.5,3718,3728,182532,107155.8,-2.5996080992815154,6.0091443500979755,-2.860875244937949
2000-06-26,3737.5,3876,3678,3817,162557,111503.2,2.3873390557939915,3.969957081545064,-1.3412017167381975
2000-07-03,3801.5,3938.5,3652,3877.5,119321,114411.2,1.585014409221902,3.1831281110820018,-4.322766570605188
2000-07-10,3869,4099,3752,4078,188244,119376.43333333333,5.170857511283043,5.71244358478401,-3.236621534493875
2000-07-17,4075.5,4134.5,3872.5,3934,178587,124439.63333333333,-3.531142717018146,1.3854830799411477,-5.0392349190779795
2000-07-24,3934,4007,3473.5,3506,223131,131363.53333333333,-10.879511947127606,1.8556176919166243,-11.705643111337062
2000-07-31,3508,3744.5,3370,3632,245907,137035.03333333333,3.5938391329150026,6.802624073017684,-3.8790644609241305
2000-08-07,3632.5,3809,3542.5,3663.5,196455,141159.56666666668,0.8672907488986783,4.8733480176211454,-2.46420704845815
2000-08-14,3662.5,3890,3634.5,3835.5,172695,145027.43333333332,4.69496383240071,6.182612256039307,-0.7915927391838404
2000-08-21,3837.5,4001,3772.5,3959,189294,148590.9,3.219919176117846,4.31495241819841,-1.6425498631208446
2000-08-28,3955.5,4186,3929,4118,157461,151646.86666666667,4.016165698408689,5.733771154331902,-0.7577671129072998
2000-09-04,4107.5,4143,3808,3808,107245,152216.96666666667,-7.527926177756192,0.60709082078679,-7.527926177756192
