time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1971-10-04,4.83,5.08,4.6,5.04,0,NaN,NaN,NaN,NaN
1971-10-25,4.95,5.06,4.93,4.96,0,NaN,-1.5873015873015885,0.39682539682538837,-2.182539682539689
1971-11-15,4.92,5.39,4.9,5.39,0,NaN,8.66935483870967,8.66935483870967,-1.209677419354831
1971-12-06,5.21,7.45,5.17,7.45,0,NaN,38.21892393320966,38.21892393320966,-4.08163265306122
1971-12-27,7.24,7.48,6.85,7.35,0,NaN,-1.342281879194637,0.4026845637583918,-8.053691275167791
1972-01-03,7.7,7.9,6.55,7.8,0,NaN,6.122448979591839,7.482993197278922,-10.884353741496597
1972-01-24,7.71,8.45,7.6,8.04,0,NaN,3.076923076923068,8.333333333333327,-2.5641025641025657
1972-02-14,8.01,8.46,7.56,8.4,0,NaN,4.477611940298523,5.223880597014947,-5.970149253731338
1972-03-06,8.6,9.54,6.5,6.65,0,NaN,-20.833333333333332,13.571428571428557,-22.61904761904762
1972-03-27,7.2,7.75,6.43,6.79,0,NaN,2.1052631578947327,16.54135338345864,-3.3082706766917376
1972-04-17,6.97,7.71,6.94,7.17,0,NaN,5.596465390279821,13.549337260677467,2.209131075110462
1972-05-08,7.12,7.34,6.53,7.06,0,NaN,-1.53417015341702,2.370990237099022,-8.926080892608084
1972-05-29,6.88,7.07,6.33,6.33,0,NaN,-10.339943342776198,0.14164305949009437,-10.339943342776198
1972-06-19,6.33,6.56,5.68,5.75,0,NaN,-9.16271721958926,3.6334913112164227,-10.268562401263829
1972-07-10,5.58,6.2,5.41,5.43,0,NaN,-5.565217391304353,7.826086956521743,-5.9130434782608665
1972-07-31,5.62,7.22,5.57,7.2,0,NaN,32.59668508287294,32.96500920810313,2.5782688766114292
1972-08-21,7.51,8.48,7.12,7.12,0,NaN,-1.1111111111111143,17.777777777777782,-1.111111111111112
1972-09-11,7.2,8.1,6.9,7.95,0,NaN,11.657303370786517,13.764044943820217,-3.089887640449435
1972-10-02,8.05,8.15,7.36,7.86,0,NaN,-1.132075471698112,2.5157232704402546,-7.4213836477987405
1972-10-23,7.75,7.88,7.05,7.65,0,NaN,-2.6717557251908395,0.2544529262086459,-10.305343511450388
1972-11-13,7.5,8.37,7.13,8.24,0,NaN,7.712418300653592,9.411764705882337,-6.797385620915039
