time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1998-07-13,5.31,5.405,5.235,5.333,7223,NaN,NaN,NaN,NaN
1998-07-14,5.335,5.385,5.285,5.325,4955,NaN,-0.15000937558597424,0.9750609413088243,-0.9000562535158456
1998-07-15,5.34,5.36,5.29,5.343,8662,NaN,0.3380281690140806,0.6572769953051669,-0.6572769953051669
1998-07-16,5.35,5.42,5.295,5.34,6893,NaN,-0.056148231330715226,1.4411379374883018,-0.8983717012914101
1998-07-17,5.335,5.395,5.285,5.373,8119,NaN,0.6179775280898944,1.0299625468164741,-1.0299625468164741
1998-07-20,5.375,5.475,5.375,5.47,18888,NaN,1.8053229108505402,1.8983807928531438,0.03722315280103805
1998-07-21,5.47,5.575,5.405,5.54,15583,NaN,1.2797074954296213,1.9195612431444318,-1.1882998171846344
1998-07-22,5.54,5.71,5.525,5.66,23455,NaN,2.1660649819494604,3.0685920577617316,-0.2707581227436766
1998-07-23,5.67,5.85,5.645,5.802,22755,NaN,2.5088339222614744,3.356890459363949,-0.265017667844533
1998-07-24,5.84,5.885,5.635,5.707,9393,NaN,-1.6373664253705575,1.4305411926921785,-2.8783178214408798
1998-07-27,5.71,5.72,5.61,5.65,8528,NaN,-0.9987734361310584,0.22779043280182054,-1.6996670755212815
1998-07-28,5.655,5.705,5.615,5.67,13601,NaN,0.3539823008849482,0.9734513274336233,-0.6194690265486751
1998-07-29,5.68,5.75,5.58,5.593,10412,NaN,-1.358024691358024,1.4109347442680789,-1.5873015873015848
1998-07-30,5.59,5.6,5.48,5.515,10214,NaN,-1.394600393348834,0.12515644555694028,-2.020382621133552
1998-07-31,5.52,5.54,5.425,5.458,11378,NaN,-1.0335448776065186,0.45330915684497475,-1.6319129646418833
1998-08-03,5.46,5.485,5.355,5.36,12475,NaN,-1.7955294979846073,0.4946866984243337,-1.8871381458409628
1998-08-04,5.365,5.48,5.35,5.453,9150,NaN,1.7350746268656712,2.2388059701492558,-0.18656716417911712
1998-08-05,5.45,5.5,5.385,5.405,6419,NaN,-0.8802494039977999,0.8619108747478399,-1.2470199889968916
1998-08-06,5.41,5.48,5.395,5.43,16149,NaN,0.46253469010174775,1.387604070305276,-0.18501387604071562
1998-08-07,5.43,5.45,5.265,5.273,5390,NaN,-2.89134438305709,0.3683241252302112,-3.038674033149172
1998-08-10,5.275,5.325,5.265,5.31,12812,NaN,0.7016878437322194,0.9861558884885359,-0.15171629053669644
1998-08-11,5.32,5.335,5.14,5.178,13162,NaN,-2.4858757062146832,0.47080979284369795,-3.2015065913370986
1998-08-12,5.17,5.25,5.12,5.14,20229,NaN,-0.7338740826574015,1.3904982618771737,-1.1201235998454968
1998-08-13,5.15,5.2,5.04,5.188,20229,NaN,0.9338521400778219,1.1673151750972859,-1.9455252918287869
1998-08-14,5.18,5.2,5.1,5.15,5667,NaN,-0.7324595219737735,0.231303006939099,-1.6962220508866632
1998-08-17,5.165,5.165,5.03,5.11,11154,NaN,-0.7766990291262142,0.29126213592232386,-2.3300970873786424
1998-08-18,5.12,5.12,5.04,5.07,6307,NaN,-0.7827788649706464,0.19569471624265727,-1.3698630136986356
1998-08-19,5.07,5.12,5.04,5.068,9953,NaN,-0.039447731755437254,0.986193293885598,-0.5917159763313657
1998-08-20,5.065,5.18,5.045,5.145,6813,NaN,1.519337016574585,2.2099447513812174,-0.45382794001577914
1998-08-24,5.175,5.175,5.12,5.125,20933,11896.7,-0.38872691933915604,0.5830903790087512,-0.485908649173945
1998-08-25,5.125,5.13,4.99,5.01,20114,12326.4,-2.2439024390243945,0.09756097560975402,-2.6341463414634103
1998-08-26,5.01,5.085,4.895,4.965,15459,12676.533333333333,-0.8982035928143697,1.4970059880239557,-2.295409181636731
1998-08-27,4.96,4.985,4.84,4.855,15280,12897.133333333333,-2.215508559919425,0.4028197381671794,-2.5176233635448138
1998-08-28,4.9,4.935,4.675,4.695,10631,13021.733333333334,-3.2955715756951625,1.6477857878475628,-3.7075180226570663
1998-08-31,4.705,4.78,4.67,4.678,15127,13255.333333333334,-0.3620873269435645,1.8104366347177838,-0.5324813631522973
1998-09-01,4.68,4.885,4.605,4.79,9012,12926.133333333333,2.394185549380079,4.42496793501496,-1.5604959384352182
1998-09-02,4.79,4.885,4.79,4.84,18312,13017.1,1.0438413361169065,1.9832985386221242,0
1998-09-03,4.84,5,4.75,4.95,9186,12541.466666666667,2.2727272727272796,3.305785123966945,-1.8595041322314023
1998-09-04,4.96,5.06,4.93,5.03,11001,12149.666666666666,1.6161616161616175,2.2222222222222103,-0.4040404040404133
1998-09-08,5.04,5.055,4.86,4.913,11015,12203.733333333334,-2.326043737574552,0.49701789264412444,-3.379721669980118
1998-09-09,4.91,4.985,4.855,4.95,14024,12386.933333333332,0.7531040097699964,1.465499694687565,-1.1805414207205338
1998-09-10,4.95,5.11,4.94,5.05,17677,12522.8,2.0202020202020132,3.232323232323235,-0.20202020202019777
1998-09-11,5.05,5.15,4.935,5.025,6089,12378.7,-0.4950495049504844,1.980198019801991,-2.277227722772282
1998-09-14,5.005,5.03,4.94,4.96,8088,12307.833333333334,-1.2935323383084654,0.09950248756218683,-1.6915422885572133
1998-09-16,4.94,5.005,4.91,4.92,6376,12141.1,-0.8064516129032264,0.9072580645161276,-1.0080645161290287
1998-09-17,4.92,5.02,4.905,4.985,6464,11940.733333333334,1.3211382113821215,2.0325203252032447,-0.3048780487804813
1998-09-18,5,5.01,4.94,4.975,11687,12025.3,-0.20060180541626238,0.5015045135406111,-0.9027081243731179
1998-09-21,4.985,5.055,4.84,4.855,6461,12026.7,-2.4120603015075224,1.6080402010050268,-2.713567839195976
1998-09-22,4.87,4.925,4.865,4.89,16103,12025.166666666666,0.720906282183301,1.4418125643666198,0.20597322348094327
1998-09-23,4.89,5.07,4.88,5.043,18110,12449.166666666666,3.1288343558282303,3.6809815950920375,-0.20449897750510815
1998-09-24,5.05,5.175,5.025,5.153,18110,12625.766666666666,2.1812413246083566,2.617489589530035,-0.3569303985722743
1998-09-25,5.16,5.25,5.145,5.168,14592,12673.433333333332,0.29109256743645595,1.8823986027556847,-0.15524936929943736
1998-09-28,5.21,5.3,5.12,5.29,25093,12835.566666666668,2.3606811145510815,2.5541795665634615,-0.9287925696594436
1998-09-29,5.29,5.4,5.28,5.36,14947,12659.5,1.3232514177693815,2.0793950850661687,-0.18903591682419252
1998-09-30,5.36,5.4,5.24,5.36,20108,13140.866666666667,0,0.7462686567164185,-2.2388059701492558
1998-10-01,5.36,5.475,5.28,5.295,16135,13306.9,-1.2126865671641862,2.1455223880596885,-1.492537313432837
1998-10-02,5.295,5.345,5.195,5.207,16503,13646.766666666666,-1.661945231350332,0.9442870632672298,-1.8885741265344598
1998-10-05,5.2,5.23,5.055,5.065,6437,13529.566666666668,-2.727098137123093,0.44171307854811936,-2.9191473017092404
1998-10-06,5.07,5.12,5.05,5.09,10806,13662.666666666666,0.4935834155972252,1.0858835143139134,-0.2961500493583529
1998-10-07,5.1,5.165,5.03,5.137,21170,13670.566666666668,0.9233791748526466,1.4734774066797678,-1.1787819253438037
