time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
2004-03-01,21.24,21.25,19.61,19.75,923,NaN,NaN,NaN,NaN
2004-04-01,19.87,19.99,16.5,18.22,3342,NaN,-7.74683544303798,1.2151898734177136,-16.455696202531644
2004-05-03,18,20.79,16.6,17.58,3696,NaN,-3.512623490669597,14.10537870472009,-8.891328210757395
2004-06-01,17.6,18.3,15.3,15.38,3742,NaN,-12.514220705346974,4.095563139931755,-12.969283276450499
2004-07-01,15.4,19.2,15.2,16.68,4292,NaN,8.452535760728209,24.8374512353706,-1.1703511053316085
2004-08-02,16.8,19.6,16.14,16.17,4122,NaN,-3.0575539568345196,17.505995203836942,-3.237410071942441
2004-09-01,16.1,16.41,14.2,14.23,2249,NaN,-11.997526283240575,1.4842300556586174,-12.183055040197914
2004-10-01,13.92,16.44,13.3,15.6,4962,NaN,9.62754743499648,15.53056921995784,-6.535488404778635
2004-11-01,15.71,16.18,13.52,15.05,3787,NaN,-3.5256410256410184,3.717948717948719,-13.333333333333334
2004-12-01,14.95,14.95,13.38,13.52,1263,NaN,-10.166112956810638,-0.6644518272425346,-11.096345514950166
2005-01-03,13.55,14.7,13.26,13.26,2555,NaN,-1.9230769230769216,8.727810650887573,-1.9230769230769216
2005-02-01,13.16,13.16,11.06,12.34,5230,NaN,-6.938159879336349,-0.7541478129713397,-16.591251885369527
2005-03-01,12.1,15.4,12.06,14.55,5146,NaN,17.909238249594818,24.797406807131285,-2.269043760129655
2005-04-01,14.3,15.85,13.6,15.4,6447,NaN,5.841924398625427,8.93470790378006,-6.529209621993134
2005-05-02,15.21,16.19,12.7,13.27,6991,NaN,-13.831168831168835,5.1298701298701355,-17.53246753246754
2005-06-01,13.13,14.8,12.38,14.08,4606,NaN,6.103993971363984,11.529766390354192,-6.706857573473993
2005-07-01,14,14.56,12.05,12.31,5183,NaN,-12.571022727272723,3.409090909090912,-14.417613636363633
2005-08-01,12.38,14.9,12.31,14.11,2322,NaN,14.622258326563763,21.03980503655565,0
2005-09-01,14.1,14.45,12.94,12.94,1387,NaN,-8.291991495393336,2.4096385542168655,-8.291991495393338
2005-10-03,12.95,15.35,12.74,14.47,5749,NaN,11.823802163833083,18.624420401854717,-1.5455950540958217
2005-11-01,14.5,14.5,11.82,12.19,3753,NaN,-15.756738078783695,0.20732550103662462,-18.313752591568765
2005-12-01,12.05,13.07,11.67,12.45,929,NaN,2.1328958162428187,7.21903199343725,-4.265791632485641
2006-01-03,12.34,13.75,11.45,12.7,7654,NaN,2.0080321285140563,10.441767068273098,-8.032128514056225
2006-02-01,12.79,13.32,11.91,12.19,3452,NaN,-4.015748031496061,4.881889763779536,-6.220472440944875
2006-03-01,12.17,12.94,11.87,12.12,1527,NaN,-0.5742411812961468,6.152584085315833,-2.625102543068091
2006-04-03,12.04,13.02,11.8,12.23,6899,NaN,0.9075907590759176,7.42574257425743,-2.6402640264026283
2006-05-01,12.25,16.5,11.98,15.9,12865,NaN,30.008176614881435,34.91414554374489,-2.044153720359771
2006-06-01,15.78,22.58,13.88,14.02,6351,NaN,-11.823899371069189,42.01257861635219,-12.704402515723267
2006-07-03,13.9,17.4,13.66,14.71,8625,NaN,4.92154065620543,24.108416547788867,-2.5677603423680413
2006-08-01,14.82,15.8,13.17,13.2,12040,4736.3,-10.26512576478587,7.409925220938138,-10.469068660774989
2006-09-01,13.08,14.7,12.9,13.12,7880,4968.2,-0.6060606060606073,11.363636363636365,-2.2727272727272645
2006-10-02,13.08,13.63,11.2,11.35,38387,6136.366666666667,-13.490853658536583,3.8871951219512315,-14.634146341463413
2006-11-01,11.22,12.63,11.1,11.36,16831,6574.2,0.08810572687224472,11.277533039647587,-2.2026431718061676
2006-12-01,11.39,12.89,11.39,12.3,6900,6679.466666666666,8.274647887323955,13.468309859154939,0.2640845070422637
2007-01-03,12.15,13.57,11.3,11.56,20777,7228.966666666666,-6.016260162601627,10.325203252032516,-8.130081300813007
2007-02-01,11.42,15.65,11.1,13.54,15245,7599.733333333334,17.12802768166089,35.38062283737024,-3.9792387543252676
2007-03-01,14.54,16.3,13,14.47,23673,8313.866666666667,6.8685376661743085,20.384047267355996,-3.988183161004425
2007-04-02,14.1,14.5,12.55,13.41,9836,8476.333333333334,-7.325501036627509,0.20732550103662462,-13.26883206634416
2007-05-01,13.4,14.45,12.89,13.57,19174,8989.233333333334,1.1931394481730067,7.755406413124527,-3.8777032065622627
2007-06-01,13.53,16.86,13.3,16.18,29487,9930.033333333333,19.23360353721444,24.244657332350762,-1.989683124539422
2007-07-02,15.98,23.99,15.16,20.53,45556,11363.4,26.885043263288015,48.26946847960444,-6.304079110012359
2007-08-01,20.7,29.49,18.8,23.65,61419,13236.366666666667,15.19727228446175,43.64344861178761,-8.426692644909888
2007-09-04,23.75,27.23,18.53,18.9,27132,13969.233333333334,-20.084566596194502,15.137420718816077,-21.6490486257928
2007-10-01,18.96,23.19,17.55,19.06,40636,15108.866666666667,0.8465608465608483,22.698412698412714,-7.142857142857132
2007-11-01,19.84,27.67,19.84,24.21,60109,16879.466666666667,27.019937040923413,45.1731374606506,4.092339979013648
2007-12-03,24.3,25.5,21.16,23.1,17852,17321,-4.584882280049566,5.328376703841386,-12.598099958694757
2008-01-02,23.09,34.04,23,25.72,38211,18421.933333333334,11.34199134199133,47.359307359307344,-0.4329004329004391
2008-02-01,25.3,28.9,23.32,26.16,30239,19352.5,1.7107309486780764,12.363919129082426,-9.331259720062203
2008-03-03,26.49,30.51,24.5,25.95,39033,20607.366666666665,-0.8027522935779849,16.628440366972484,-6.345565749235474
2008-04-01,25.4,25.41,20.49,21.26,9049,20717.366666666665,-18.07321772639691,-2.0809248554913253,-21.04046242774567
2008-05-01,21.37,22.86,18.91,19.45,3020,20692.933333333334,-8.513640639698975,7.525870178739407,-11.053621825023525
2008-06-02,19.63,25.15,19.62,24.18,9941,20993.333333333332,24.318766066838045,29.305912596401022,0.8740359897172318
2008-07-01,25.26,27.07,21.39,22.73,10939,21102.833333333332,-5.996691480562447,11.952026468155502,-11.538461538461535
2008-08-01,22.45,23.3,20.05,21.69,7525,21238.6,-4.57545094588649,2.5076990761108675,-11.790585129784423
2008-09-02,21.01,33.74,21,30.8,29636,22175.566666666666,42.00092208390963,55.55555555555556,-3.1811894882434366
2008-10-01,30.9,63.43,30.8,54.49,52873,23708.033333333333,76.91558441558442,105.94155844155841,0
2008-11-03,54.5,67.89,43.8,53.39,24119,24083.166666666668,-2.018719031014868,24.59166819599926,-19.618278583226285
2008-12-01,55.51,64.62,30.11,41.97,15369,24383.766666666666,-21.389773365798842,21.033901479677848,-43.60367109945683
2009-01-02,42,55.5,38.02,44.96,17542,24681,7.124136287824644,32.237312365975704,-9.411484393614472
2009-02-02,46.2,49.4,39.8,44.3,15255,24788.166666666668,-1.4679715302491179,9.875444839857646,-11.476868327402142
2009-03-02,45.9,49.15,40.4,45.05,19797,25185.4,1.6930022573363432,10.948081264108357,-8.80361173814898
2009-04-01,45.5,46.55,35.4,37,18882,24535.233333333334,-17.869034406215313,3.3296337402885685,-21.420643729189788
2009-05-01,37,37.5,28.65,30.4,21843,24702.3,-17.837837837837842,1.3513513513513513,-22.567567567567572
2009-06-01,29.95,33.4,26.9,28.1,26907,25369.2,-7.565789473684202,9.868421052631579,-11.513157894736842
2009-07-01,27.8,32.1,25.95,27.25,44463,26158.733333333334,-3.0249110320284744,14.234875444839856,-7.651245551601431
2009-08-03,26.9,30.05,25.35,28.5,49822,27311.3,4.587155963302752,10.275229357798167,-6.972477064220178
2009-09-01,28.6,30.6,25.15,26.3,67185,28761.7,-7.719298245614032,7.368421052631584,-11.754385964912286
2009-10-01,26.35,28.8,23.4,27.85,81140,31138.5,5.893536121673007,9.505703422053232,-11.026615969581757
2009-11-02,27.8,30,22.25,24.1,88186,33438.9,-13.464991023339318,7.719928186714537,-20.107719928186718
2009-12-01,23.4,26.95,21.65,22.95,63575,34575.166666666664,-4.771784232365155,11.825726141078828,-10.165975103734452
2010-01-04,22.5,25.4,19.85,24.6,118597,37009.86666666667,7.189542483660139,10.675381263616556,-13.507625272331145
2010-02-01,23.6,28,20.35,20.35,90899,37992.53333333333,-17.27642276422764,13.821138211382108,-17.276422764227643
2010-03-01,20.25,22,18.15,18.95,113356,40866.666666666664,-6.879606879606889,8.1081081081081,-10.810810810810825
2010-04-01,18.8,21.9,16.95,21.6,155205,44685.63333333333,13.984168865435368,15.567282321899734,-10.554089709762533
2010-05-03,21.4,40.75,20.4,30.4,237600,50602,40.740740740740726,88.65740740740739,-5.555555555555569
2010-06-01,31.05,35.6,25.6,33.9,128542,54291.666666666664,11.513157894736842,17.10526315789474,-15.789473684210517
2010-07-01,33.6,35.9,24.9,25.45,118839,56979.26666666667,-24.92625368731563,5.899705014749262,-26.548672566371685
2010-08-02,24.75,31.05,23.05,27.95,128835,60265.8,9.823182711198427,22.003929273084484,-9.430255402750486
2010-09-01,27.25,28.8,23.55,25.45,164273,64440.46666666667,-8.94454382826476,3.0411449016100214,-15.74239713774597
2010-10-01,24.9,25.65,20.35,21.75,209276,71114.7,-14.53831041257367,0.7858546168958713,-20.039292730844785
2010-11-01,21.5,23.43,18.25,23.2,353255,82789.2,6.6666666666666625,7.724137931034482,-16.091954022988507
2010-12-01,21.95,21.95,17.75,19.75,220273,89800.26666666666,-14.870689655172411,-5.38793103448276,-23.491379310344826
2011-01-03,19.4,21.68,17,19.1,314654,99924.1,-3.291139240506322,9.772151898734176,-13.924050632911392
2011-02-01,18.75,22.75,16.65,19.15,329348,110651.53333333334,0.26178010471202695,19.10994764397905,-12.827225130890065
2011-03-01,19.1,26,19,19.3,456931,124894.7,0.7832898172323872,35.770234986945184,-0.7832898172323688
2011-04-01,19.05,21,16.55,16.7,319855,133794.1,-13.471502590673582,8.80829015544041,-14.248704663212436
2011-05-02,16.5,19.45,16.45,16.5,396335,146201.3,-1.1976047904191578,16.46706586826347,-1.4970059880239521
2011-06-01,16.7,22.95,16.7,17.7,494553,162174.1,7.272727272727268,39.090909090909086,1.2121212121212075
2011-07-01,17.7,22.55,16.6,21.1,477728,177513.63333333333,19.20903954802261,27.401129943502834,-6.214689265536712
2011-08-01,20.2,36.97,19.7,31.6,793280,203447.8,49.763033175355446,75.21327014218008,-6.635071090047403
2011-09-01,31.75,42.15,30.55,42.1,421856,216849.76666666666,33.22784810126582,33.386075949367076,-3.322784810126585
2011-10-03,42.1,46.3,25.9,29.9,385411,229067.4,-28.97862232779098,9.976247030878852,-38.47980997624704
2011-11-01,32.2,35.3,28.25,28.3,381977,241071.86666666667,-5.351170568561866,18.060200668896318,-5.518394648829428
2011-12-01,28.35,30.84,24,26.7,266090,249044.63333333333,-5.653710247349828,8.97526501766784,-15.194346289752653
