time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
2004-03-25,21.24,21.25,19.75,19.8,268,NaN,NaN,NaN,NaN
2004-03-30,19.86,20.04,19.61,19.62,739,NaN,-0.9090909090909076,1.2121212121212042,-0.959595959595966
2004-04-02,19.47,19.47,18.53,18.79,477,NaN,-4.230377166156992,-0.7645259938838029,-5.555555555555554
2004-04-07,18.97,19.25,18.67,18.67,329,NaN,-0.6386375731772085,2.448110697179356,-0.638637573177208
2004-04-13,19,19.5,18.89,19.35,475,NaN,3.6422067487948557,4.445634708087832,1.1783610069630361
2004-04-16,19.18,19.19,18.65,19.15,197,NaN,-1.0335917312661649,-0.8268733850129202,-3.6175710594315387
2004-04-21,19.09,19.1,17.14,17.34,707,NaN,-9.451697127937331,-0.2610966057441104,-10.496083550913829
2004-04-26,17.3,17.51,16.5,17.37,668,NaN,0.17301038062284313,0.9803921568627549,-4.844290657439446
2004-04-29,17.23,18.28,17.23,17.69,447,NaN,1.8422567645365588,5.238917674150835,-0.8059873344847475
2004-05-04,17.6,17.68,16.6,17.48,314,NaN,-1.1871113623516156,-0.056529112492942346,-6.161673261729789
2004-05-07,17.54,20.25,17.12,19.97,451,NaN,14.244851258581226,15.846681922196792,-2.0594965675057173
2004-05-12,19.8,20.79,19.32,19.67,334,NaN,-1.5022533800700906,4.106159238858288,-3.254882323485221
2004-05-17,19.87,20.29,18.74,19.17,560,NaN,-2.541942043721403,3.152008134214527,-4.728012201321826
2004-05-20,19.06,19.34,18.6,18.77,985,NaN,-2.0865936358894213,0.8868022952529899,-2.973395931142411
2004-05-25,18.9,18.9,17.29,17.35,968,NaN,-7.565263718700043,0.6925945657964785,-7.884922749067663
2004-05-28,17.55,17.65,17.55,17.65,216,NaN,1.729106628242059,1.7291066282420584,1.1527377521613795
2004-06-03,17.6,17.7,16.56,16.58,780,NaN,-6.06232294617564,0.2832861189801741,-6.175637393767705
2004-06-08,18.28,18.3,17.2,17.57,906,NaN,5.971049457177334,10.373944511459605,3.739445114595906
2004-06-14,17.94,18.02,17,17.1,585,NaN,-2.675014228799083,2.561183836084231,-3.244166192373365
2004-06-17,17.25,17.34,16.84,17.26,541,NaN,0.9356725146198839,1.4035087719298152,-1.520467836257319
2004-06-22,17.26,17.36,15.47,16.02,383,NaN,-7.184241019698736,0.579374275782143,-10.370799536500584
2004-06-25,16.02,16.37,15.97,15.98,167,NaN,-0.24968789013732273,2.184769038701632,-0.3121098626716545
2004-06-30,15.95,16,15.2,15.56,320,NaN,-2.6282853566958693,0.12515644555694339,-4.881101376720908
2004-07-06,15.91,18.82,15.85,18.82,1394,NaN,20.95115681233933,20.95115681233933,1.8637532133676036
2004-07-09,18.7,19.2,18.7,18.79,1026,NaN,-0.15940488841658507,2.019128586609984,-0.6376195536663176
2004-07-14,19.09,19.09,18.45,18.95,328,NaN,0.8515167642362966,1.5965939329430585,-1.809473124002128
2004-07-19,19.1,19.19,18.23,19.14,217,NaN,1.0026385224274474,1.2664907651715145,-3.7994722955145064
