time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
2011-03-14,356.7,356.7,356.7,356.7,0,NaN,NaN,NaN,NaN
2011-03-21,365.8,371.6,363,367.8,0,NaN,3.111858704793951,4.177179702831521,1.7661900756938638
2011-03-28,368.7,381.2,368.1,377.5,0,NaN,2.637302882001084,3.643284393692218,0.08156606851550063
2011-04-04,378.8,380.5,374.8,374.8,0,NaN,-0.7152317880794672,0.794701986754967,-0.7152317880794672
2011-04-11,373.4,373.4,363.9,368.9,4,NaN,-1.574172892209187,-0.3735325506937124,-2.9082177161152707
2011-04-18,364.9,376.1,361.7,372.7,8,NaN,1.0300894551368966,1.951748441312021,-1.9517484413120056
2011-04-25,374.2,386.9,374.2,385.7,10,NaN,3.4880601019586797,3.810034880601017,0.40246847330292446
2011-05-02,387.7,387.8,374.1,380.5,171,NaN,-1.3481980814104197,0.5444646098003689,-3.007518796992472
2011-05-09,380.5,384.3,374.6,376.7,100,NaN,-0.9986859395532224,0.9986859395532224,-1.5505913272010452
2011-05-16,375.1,378.3,367.5,373.7,74,NaN,-0.7963897000265464,0.4247411733474974,-2.4422617467480725
2011-05-23,366.2,372.4,363,371.6,79,NaN,-0.5619480867005529,-0.3478726251003509,-2.8632592989028605
2011-05-31,374.3,375.7,359,359.4,176,NaN,-3.283100107642638,1.1033369214208735,-3.390742734122718
2011-06-06,359.6,360.2,350.4,350.9,287,NaN,-2.3650528658875904,0.22259321090707052,-2.5041736227045077
2011-06-13,352.1,358.7,349.2,353.2,301,NaN,0.6554573952693108,2.2228555143915676,-0.48446850954687637
2011-06-20,353.9,364.1,352.4,355.1,173,NaN,0.5379388448471218,3.0860702151755475,-0.22650056625141884
2011-06-27,355.5,378.7,354.1,378.2,249,NaN,6.5052098000563126,6.646015206983938,-0.281610813855252
2011-07-05,376.8,383.1,374.7,377.6,212,NaN,-0.15864621893177322,1.2956107879428966,-0.9254362771020624
2011-07-11,373.3,373.4,360.9,364.3,276,NaN,-3.5222457627118677,-1.1122881355932321,-4.422669491525435
2011-07-18,362.4,372.3,358.1,367.3,507,NaN,0.8234971177600876,2.195992314026901,-1.701894043370845
2011-07-25,364.1,369,340.9,345.3,608,NaN,-5.989654233596515,0.46283691805063665,-7.187585080315826
2011-08-01,349.7,349.9,308.6,315.7,693,NaN,-8.57225600926731,1.3321749203590982,-10.628439038517227
2011-08-08,309.8,314.2,289.1,312.4,1674,NaN,-1.0452961672473906,-0.47513462147608476,-8.425720620842561
2011-08-15,317.5,318,289.7,290.4,551,NaN,-7.042253521126761,1.7925736235595464,-7.2663252240717
2011-08-22,295.8,310.8,290.1,307.6,1588,NaN,5.92286501377412,7.024793388429765,-0.10330578512395139
