time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
2011-03-16,356.7,365.8,356.7,365.5,0,NaN,NaN,NaN,NaN
2011-03-23,364.6,372.4,363,370.6,0,NaN,1.3953488372093086,1.8878248974008145,-0.6839945280437756
2011-03-30,372.9,381.2,372.9,377.7,0,NaN,1.915812196438199,2.8602266594711185,0.6206152185644775
2011-04-06,378,379.3,368.5,371.3,0,NaN,-1.6944665078104257,0.4236166269526138,-2.4357956049774923
2011-04-13,370.1,371.9,361.7,368.1,8,NaN,-0.8618367896579554,0.16159439806085807,-2.5855103689738814
2011-04-20,372.1,382.4,372.1,382.4,10,NaN,3.884813909263775,3.8848139092637743,1.0866612333604997
2011-04-28,383.5,387.8,377.1,377.3,137,NaN,-1.333682008368192,1.4121338912133985,-1.3859832635983147
2011-05-05,377.1,384.3,374.1,380.9,98,NaN,0.9541478929233942,1.855287569573284,-0.8481314603763553
2011-05-12,380.7,381.1,367.5,372.2,100,NaN,-2.284064058808083,0.05250721974272654,-3.517983722761874
2011-05-19,377.1,378.3,363,367.5,77,NaN,-1.2627619559376648,1.6389038151531496,-2.4717893605588364
2011-05-26,367.6,375.7,361.8,364.5,122,NaN,-0.8163265306122449,2.2312925170067994,-1.5510204081632621
2011-06-03,359.2,361.4,353.3,356.4,314,NaN,-2.2222222222222285,-0.8504801097393755,-3.072702331961588
2011-06-10,354.8,358.7,349.2,352,280,NaN,-1.2345679012345616,0.6453423120089818,-2.0202020202020172
2011-06-17,354.3,364.1,352.4,359.2,199,NaN,2.0454545454545423,3.437500000000006,0.1136363636363571
2011-06-24,359.6,372.2,354.1,371.3,269,NaN,3.3685968819599177,3.6191536748329622,-1.4198218262806142
2011-07-01,371.8,383.1,371.1,377.6,230,NaN,1.696741179639109,3.178023161863725,-0.05386479935361943
2011-07-11,373.3,373.4,360.9,364.3,276,NaN,-3.5222457627118677,-1.1122881355932326,-4.422669491525435
2011-07-18,362.4,372.3,358.1,367.3,507,NaN,0.8234971177600876,2.195992314026901,-1.701894043370845
2011-07-25,364.1,369,340.9,345.3,608,NaN,-5.989654233596515,0.46283691805063665,-7.187585080315826
2011-08-01,349.7,349.9,308.6,315.7,693,NaN,-8.57225600926731,1.3321749203590982,-10.628439038517227
2011-08-08,309.8,314.2,289.1,312.4,1674,NaN,-1.0452961672473906,-0.47513462147608476,-8.425720620842561
2011-08-15,317.5,318,289.7,290.4,551,NaN,-7.042253521126761,1.7925736235595464,-7.2663252240717
2011-08-22,295.8,310.8,290.1,307.6,1588,NaN,5.92286501377412,7.024793388429765,-0.10330578512395139
2011-08-29,312.7,327.2,306,307.6,259,NaN,0,6.371911573472031,-0.5201560468140516
2011-09-06,299.4,313.8,293.6,300.5,1484,NaN,-2.3081924577373285,2.015604681404418,-4.551365409622886
2011-09-13,307.4,320.6,300.4,315.4,321,NaN,4.958402662229609,6.688851913477545,-0.03327787021631412
2011-09-20,318.5,318.9,285.2,298.9,345,NaN,-5.231452124286619,1.1097019657577682,-9.575142675967022
2011-09-27,307.3,309.6,282.3,282.3,615,NaN,-5.553696888591491,3.5797925727668276,-5.553696888591491
2011-10-04,276.5,312.2,275.3,312.1,178,NaN,10.556145944031178,10.591569252568181,-2.479631597591215
2011-10-11,311.9,321,310.2,311.9,250,373.1,-0.064082024992004,2.8516501121435365,-0.6087792374239136
2011-10-18,313.7,332.6,310.3,331.1,227,380.6666666666667,6.155819172811813,6.636742545687735,-0.512984931067639
2011-10-25,327.6,344.4,322.4,333.1,76,383.2,0.6040471156750229,4.016913319238887,-2.627604953186362
2011-11-01,322.5,337.3,322.5,335.1,122,387.26666666666665,0.6004202942059441,1.260882617832479,-3.182227559291511
2011-11-08,336.5,339.2,324.9,335.9,317,397.8333333333333,0.23873470605787955,1.2235153685466922,-3.043867502238151
2011-11-15,337.5,337.5,317.4,320.6,139,402.2,-4.55492706162547,0.47633224173861943,-5.507591545102709
2011-11-22,318.9,323.2,310.4,320.8,112,405.6,0.06238303181534288,0.8109794135994903,-3.1815346225826713
2011-11-30,331.8,341,331.6,339.6,78,403.6333333333333,5.860349127182048,6.296758104738151,3.366583541147136
2011-12-07,336,339.9,326.8,327.7,1202,440.43333333333334,-3.504122497055369,0.0883392226148274,-3.7691401648998855
2011-12-14,324.2,333,322.1,333,283,446.53333333333336,1.617332926457129,1.6173329264571288,-1.7088800732377067
2011-12-21,330.4,339,329.1,334.4,103,447.4,0.4204204204204136,1.8018018018018018,-1.1711711711711643
2011-12-29,338,338,336.5,336.5,24,444.1333333333333,0.6279904306220164,1.0765550239234518,0.6279904306220165
2012-01-03,345.6,347.5,343.8,347.2,138,438.26666666666665,3.1797919762258506,3.2689450222882614,2.169390787518577
2012-01-10,352.4,357,351.5,355.1,111,432.6333333333333,2.2753456221198256,2.8225806451612936,1.2384792626728143
2012-01-18,356.5,362,356.5,360.1,611,446.3666666666667,1.4080540692762602,1.9431146156012324,0.39425513939734635
2012-01-25,358.6,366.6,358.6,360.5,78,440,0.11108025548458134,1.8050541516245486,-0.41655095806720355
2012-02-01,366.7,371.2,364.6,370.3,76,434.8666666666667,2.718446601941751,2.9680998613037417,1.1373092926491049
2012-02-08,370.6,372.7,367.4,371.5,156,430.8666666666667,0.3240615716986195,0.6481231433972394,-0.7831487982716809
2012-02-15,367.1,374,367.1,372.6,1084,450.1,0.2960969044414597,0.6729475100942126,-1.1843876177658081
2012-02-23,372.5,374.7,370.3,371.1,210,436.8333333333333,-0.40257648953301123,0.5636070853462066,-0.6172839506172869
2012-03-01,373.2,373.2,358.6,362.8,309,424.03333333333336,-2.2365939099973082,0.5658852061438873,-3.368364322285098
2012-03-08,365.1,376.2,365,374.4,1827,429.1333333333333,3.197353914002195,3.6934950385887477,0.6063947078280014
2012-03-15,373.8,379.7,373.2,374.3,269,419.73333333333335,-0.026709401709392733,1.415598290598294,-0.3205128205128175
2012-03-22,369.3,375.8,368.4,370.5,296,376.6666666666667,-1.0152284263959421,0.4007480630510285,-1.5762757146673883
2012-03-29,368.2,375.1,368.2,369.9,125,372.2,-0.16194331983806287,1.241565452091774,-0.620782726045887
2012-04-05,369.4,369.4,355.1,358.8,129,327.03333333333336,-3.0008110300081015,-0.13517166801838343,-4.001081373344135
2012-04-12,363.8,368.4,361.8,367.8,86,319.2,2.5083612040133776,2.6755852842809267,0.8361204013377925
2012-04-19,365.8,370.2,360.1,367.8,339,319,0,0.652528548123974,-2.0935290918977674
2012-04-26,366.8,372.2,366,369.7,306,308.7,0.516585100598145,1.1963023382272913,-0.48939641109298826
2012-05-03,370.6,370.6,353.8,356.1,176,308.6333333333333,-3.6786583716526824,0.24344062753584905,-4.3007844197998315
2012-05-10,357.3,358.2,349.4,349.4,134,304.76666666666665,-1.8814939623701332,0.5897219882055507,-1.8814939623701332
2012-05-17,346.3,350.5,339.8,350.5,148,302.1333333333333,0.31482541499714456,0.31482541499714445,-2.7475672581568307
2012-05-24,349.5,353,342.2,345.4,609,319.9,-1.4550641940085656,0.7132667617689016,-2.3680456490727564
2012-06-01,338.8,348.3,330,344.4,500,332.5,-0.28951939779965263,0.8396062536190024,-4.458598726114643
2012-06-08,342.6,347.9,341.2,344.6,1892,385,0.058072009291534665,1.016260162601626,-0.9291521486643406
2012-06-15,346.3,353.8,344.4,344.4,2432,461.43333333333334,-0.058038305281498975,2.669762042948342,-0.058038305281499
2012-06-22,343.8,345.2,337.5,342.5,936,488.9,-0.5516840882694476,0.23228803716608937,-2.003484320557485
2012-06-29,351.3,355.5,348.1,349.8,297,496.2,2.131386861313872,3.795620437956204,1.6350364963503718
2012-07-09,348.4,352.4,337.6,346.2,229,463.76666666666665,-1.0291595197255639,0.7432818753573374,-3.4877072612921634
2012-07-16,344.7,355,342.1,350,213,461.43333333333334,1.0976314269208585,2.5418833044482994,-1.1842865395724917
2012-07-23,345.7,359.1,342.5,358.3,717,481.9,2.3714285714285745,2.6000000000000063,-2.142857142857143
2012-07-30,359.2,360.4,348.8,359.7,348,492.7,0.3907340217694606,0.5861010326541911,-2.6514094334356684
2012-08-06,361.3,364.3,360,364.3,47,489.6666666666667,1.2788434806783493,1.2788434806783493,0.08340283569641693
2012-08-13,364.2,369.6,362.6,369.6,35,487.1333333333333,1.454844908042825,1.454844908042825,-0.4666483667307133
2012-08-20,368.3,371.4,363.2,364.9,120,470.76666666666665,-1.2716450216450341,0.4870129870129747,-1.7316017316017407
2012-08-27,364.7,364.7,359.6,361.4,40,469.5,-0.959166895039737,-0.05480953685941048,-1.4524527267744465
2012-09-04,357.2,367.7,356.5,365.7,48,468.56666666666666,1.1898173768677396,1.743220807969013,-1.3558384061981124
2012-09-11,367.7,376.6,367.3,374.1,1096,499.9,2.296964725184587,2.9805851791085685,0.43751709051135435
2012-09-18,372.9,373.6,368.1,368.2,435,478.26666666666665,-1.5771184175354271,-0.1336541031809677,-1.6038492381716118
2012-09-25,367.6,368.3,361,365.5,84,474.06666666666666,-0.7332971211298177,0.02715915263444399,-1.9554589896795191
2012-10-02,364.8,371.9,364.7,369,56,465.6333333333333,0.9575923392612861,1.7510259917920594,-0.2188782489740113
2012-10-09,366.9,366.9,361.7,365.5,45,406.23333333333335,-0.9485094850948509,-0.569105691056917,-1.978319783197835
2012-10-16,367.9,373.1,365.6,365.6,430,411.6,0.0273597811217573,2.0793433652530844,0.027359781121757187
2012-10-23,360.8,362.1,359.6,361.4,26,402.6,-1.1487964989059205,-0.9573304157549236,-1.6411378555798686
2012-10-30,361.4,369.9,361.4,368.4,105,401.93333333333334,1.936912008854455,2.3519645821804094,0
2012-11-06,371.6,372.5,359.4,362.1,75,400.1333333333333,-1.7100977198696947,1.1129207383279107,-2.44299674267101
2012-11-13,359.9,364.5,350.8,360.1,51,398.96666666666664,-0.5523336095001379,0.6628003314001594,-3.120684893675783
2012-11-20,360.2,367.5,360,365.4,273,396.76666666666665,1.471813385170773,2.0549847264648644,-0.027770063871153106
2012-11-28,362.1,371.1,362.1,366.9,63,388.6666666666667,0.4105090311986863,1.5599343185550207,-0.9031198686370976
2012-12-05,368.5,377.4,365.7,375.7,114,386.6,2.3984736985554678,2.8618152085036797,-0.3270645952575604
2012-12-12,377,382.5,374.3,382.5,1088,418.4,1.8099547511312246,1.8099547511312246,-0.3726377428799514
2012-12-19,381.4,381.4,375.9,375.9,584,432.93333333333334,-1.7254901960784372,-0.2875816993464113,-1.7254901960784372
2012-12-27,373.4,377.6,371.1,377.6,24,413.43333333333334,0.4522479382814697,0.4522479382814699,-1.2769353551476337
2013-01-02,386.7,390.1,384.4,385,211,403.8,1.9597457627118582,3.3103813559322033,1.8008474576271063
2013-01-09,389.4,392.3,388.5,392.1,142,345.46666666666664,1.84415584415585,1.8961038961038992,0.9090909090909091
2013-01-16,390.2,400.2,389.8,400,359,276.3666666666667,2.0147921448609987,2.0657995409334267,-0.5865850548329538
2013-01-24,400.1,404.7,400.1,401.3,494,261.6333333333333,0.32500000000000284,1.1749999999999972,0.025000000000005684
2013-01-31,400.2,404.5,399.2,403.7,278,261,0.5980563169698423,0.797408422626461,-0.5232992773486226
2013-02-07,403.8,409.6,400.4,408.2,41,254.73333333333332,1.114689125588308,1.461481297993568,-0.8174386920980955
2013-02-14,406.5,412.4,402.8,403.9,82,250.36666666666667,-1.0534051935325852,1.0289073983341472,-1.32288094071533
2013-02-22,406.3,410.7,398.7,408.5,45,227.96666666666667,1.1388957662787877,1.6835850458034196,-1.287447387967316
2013-03-01,404,414.9,403.1,413.1,331,227.4,1.1260709914320741,1.5667074663402638,-1.3219094247245966
2013-03-08,415.4,418.1,415,418.1,1313,269.6,1.2103606874848705,1.2103606874848705,0.45993706124424527
2013-03-15,417.7,418.2,411.8,411.8,126,272.6333333333333,-1.5068165510643414,0.023917723032759186,-1.5068165510643412
2013-03-22,412.9,416.2,409.7,416.2,175,274.46666666666664,1.0684798445847443,1.0684798445847443,-0.5099562894609089
2013-03-29,415.5,415.5,407.2,409.1,185,279.3,-1.7059106198942735,-0.1681883709754899,-2.1624219125420474
