time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
2011-03-14,376,376,376,376,0,NaN,NaN,NaN,NaN
2011-03-21,380.3,390,378.4,386.2,0,NaN,2.7127659574468055,3.723404255319149,0.6382978723404196
2011-03-28,385.7,395.1,383.6,390.6,10,NaN,1.1393060590367774,2.304505437597109,-0.673226307612627
2011-04-04,392.6,396.5,389.9,390.9,10,NaN,0.07680491551458135,1.5104966717869883,-0.1792114695340618
2011-04-11,389.9,393.7,388,393.7,10,NaN,0.7162957278076264,0.7162957278076264,-0.7418777180864615
2011-04-18,389.2,398.7,385.5,398,8,NaN,1.0922021844043717,1.27000254000508,-2.0828041656083283
2011-04-25,397.5,406.3,396.9,405.2,10,NaN,1.8090452261306504,2.085427135678395,-0.27638190954774444
2011-05-02,408.8,409.6,400.2,402.1,112,NaN,-0.7650542941757075,1.0858835143139276,-1.2339585389930898
2011-05-09,402.6,408.6,401.4,405.1,55,NaN,0.7460830639144491,1.6165133051479732,-0.17408604824671614
2011-05-16,400.4,406.2,397.3,402.5,55,NaN,-0.6418168353493019,0.27153789187854005,-1.9254505060478921
2011-05-23,398,402.4,393.9,401.1,45,NaN,-0.34782608695651607,-0.024844720496900063,-2.136645962732925
2011-05-31,402.3,403.8,389.5,389.5,61,NaN,-2.8920468711044682,0.673148840688105,-2.8920468711044682
2011-06-06,384.1,389,377.7,378,119,NaN,-2.952503209242619,-0.12836970474967901,-3.029525032092429
2011-06-13,378.4,384.7,373.5,378.1,100,NaN,0.026455026455032282,1.7724867724867694,-1.1904761904761905
2011-06-20,379.3,390.7,377.4,384.6,127,NaN,1.7191219254165564,3.3324517323459313,-0.1851362073525642
2011-06-27,386.3,410.3,383.1,409.9,91,NaN,6.578263130525208,6.682267290691625,-0.3900156006240249
2011-07-05,409.3,417.4,408.6,413.4,103,NaN,0.8538667967797027,1.8297145645279338,-0.3171505245181641
2011-07-11,408.2,410.2,399.8,401,144,NaN,-2.9995162070633716,-0.7740686985969978,-3.289791969037244
2011-07-18,400.6,411.1,395.9,410.1,103,NaN,2.2693266832917764,2.5187032418952677,-1.2718204488778113
