time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
2018-09-06,249.05,252.1,249.05,252.1,0,NaN,NaN,NaN,NaN
2018-09-12,251.25,253,250.3,250.3,1,NaN,-0.7140023800079266,0.35700119000396896,-0.7140023800079266
2018-09-18,251.2,257.1,251.2,254.5,713,NaN,1.6779864163004348,2.716739912105478,0.3595685177786564
2018-09-24,252.65,259.2,252.25,258.15,602,NaN,1.4341846758349617,1.8467583497053002,-0.8840864440078585
2018-09-28,257.1,258.15,255.4,257.45,104,NaN,-0.2711601781909698,0,-1.0652721286073878
2018-10-04,253.8,254.4,248.3,250.05,215,NaN,-2.8743445329190047,-1.1846960574868841,-3.5540881724606637
2018-10-10,249.3,249.3,236,242.45,506,NaN,-3.039392121575694,-0.29994001199760045,-5.618876224755053
2018-10-16,244.7,249.85,243.5,244.9,614,NaN,1.0105176325015535,3.0521757063312047,0.43307898535781053
2018-10-22,246.8,246.8,232.7,239.9,1275,NaN,-2.041649652919559,0.7758268681094349,-4.981625153123731
2018-10-26,234.7,243.4,225.8,241.4,938,NaN,0.6252605252188412,1.4589412255106293,-5.877448937057104
2018-11-01,242.1,244.2,237.6,240.55,1116,NaN,-0.35211267605633567,1.1599005799502828,-1.5741507870753981
2018-11-07,242.25,244.95,233.5,234,317,NaN,-2.7229266264809855,1.8291415506131687,-2.930783620868847
2018-11-13,235.8,236.85,232.15,234.7,956,NaN,0.2991452991452941,1.2179487179487156,-0.7905982905982882
2018-11-19,233.35,233.35,223.3,224.6,742,NaN,-4.303365999147847,-0.5752023860247102,-4.857264593097561
2018-11-26,226.7,236.7,226.5,235.65,1273,NaN,4.919857524487984,5.387355298308101,0.8459483526268947
2018-11-30,234.9,238.1,228.5,228.6,246,NaN,-2.9917250159134356,1.0396774877996986,-3.0341608317419926
2018-12-06,225.8,232.05,224.5,228.7,893,NaN,0.043744531933505915,1.5091863517060442,-1.7935258092738382
2018-12-12,231.7,234.15,221.75,223.25,2967,NaN,-2.3830345430695186,2.383034543069531,-3.0389156099693877
2018-12-18,224.35,228.05,208.4,208.95,5937,NaN,-6.405375139977609,2.1500559910414383,-6.651735722284433
2018-12-24,207.5,219.3,204.9,216.3,198,NaN,3.517587939698503,4.9533381191672765,-1.9382627422828351
2018-12-31,217.95,218,213.95,215.9,460,NaN,-0.18492834026814853,0.7859454461396158,-1.0864539990753688
2019-01-02,213.55,228.25,213.45,227.5,699,NaN,5.3728578045391355,5.720240852246407,-1.1347846225104292
2019-01-08,230.3,232.2,228.65,230.95,712,NaN,1.516483516483511,2.065934065934061,0.5054945054945079
2019-01-14,228.5,234.6,228.45,233.75,1215,NaN,1.2123836328209618,1.5804286642130356,-1.082485386447283
2019-01-18,235.1,236.7,227.8,230.9,1072,NaN,-1.2192513368983935,1.2620320855614926,-2.5454545454545405
2019-01-25,232.95,234.2,228.25,232,197,NaN,0.47639670853182947,1.4291901255954884,-1.1476829796448702
2019-01-31,241.1,245.9,240.5,245.65,1707,NaN,5.883620689655176,5.991379310344829,3.6637931034482754
2019-02-06,242.3,242.3,236.2,236.95,97,NaN,-3.541624262161619,-1.3637288825564804,-3.846936698554862
2019-02-12,239.55,241.75,237.75,241.75,95,NaN,2.0257438278117794,2.0257438278117794,0.3376239713019671
2019-02-19,241.6,242.65,238.1,241.05,1598,915.5,-0.2895553257497365,0.37228541882109845,-1.5098241985522258
2019-02-25,242.25,242.4,238.7,240.1,462,930.9,-0.394109105994614,0.5600497822028601,-0.9749014727235108
2019-03-01,241.9,244.55,239.5,243.7,1116,968.0666666666667,1.4993752603082027,1.8533944189920937,-0.24989587671803182
2019-03-07,242.65,247.4,239.55,246.6,3588,1063.9,1.189987689782522,1.5182601559294284,-1.7029134181370447
2019-03-13,248.65,249.3,244.95,245.2,2111,1114.2,-0.5677210056772124,1.094890510948912,-0.6690997566909997
2019-03-19,246.55,250.85,244.9,246.95,640,1132.0666666666666,0.7137030995106037,2.3042414355628082,-0.1223491027732394
2019-03-25,246.55,248.55,244.5,245.15,514,1142.0333333333333,-0.7288924883579602,0.6479044340959801,-0.9921036647094508
2019-03-29,245.8,253.65,245.65,251.65,466,1140.7,2.6514378951662243,3.4672649398327553,0.20395676116663264
2019-04-04,252.6,254.05,252.6,253.7,364,1132.3666666666666,0.8146234849989997,0.9537055434134731,0.3775084442678278
2019-04-10,254.75,257.35,253.8,257,558,1108.4666666666667,1.3007489160425745,1.4387071344107347,0.039416633819480795
2019-04-16,257.05,258.15,256.65,257.85,162,1082.6,0.33073929961090376,0.44747081712061365,-0.1361867704280244
2019-04-22,257.55,264.6,257.4,264,174,1051.2,2.3851076207097055,2.6178010471204187,-0.17452006980804555
2019-04-26,265.2,268.65,261.25,261.3,64,1042.7666666666667,-1.0227272727272685,1.7613636363636276,-1.0416666666666665
2019-05-02,258.45,262.4,257.2,257.9,703,1034.3333333333333,-1.3011863758132545,0.4209720627630944,-1.569077688480682
2019-05-08,258.5,258.5,249.35,249.35,69,1011.9,-3.3152384645211264,0.23264831329973742,-3.315238464521126
2019-05-14,249.4,259.2,249.3,256.6,200,976.1333333333333,2.907559655103279,3.950270703829956,-0.020052135552429462
2019-05-20,253.9,255.85,251.1,251.1,2802,1061.3333333333333,-2.143413873733448,-0.292283710054571,-2.143413873733448
2019-05-24,252.85,254.05,248.65,250,764,1057.0333333333333,-0.4380724810832315,1.1748307447232247,-0.9757068896853798
2019-05-31,246.55,246.55,237,243.55,165,963.6333333333333,-2.5799999999999956,-1.3799999999999952,-5.200000000000001
2019-06-06,243.8,251.4,243.8,249.25,268,774.6666666666666,2.3403818517758115,3.223157462533358,0.10264832683227265
2019-06-12,248.9,254.1,248.1,254.1,1030,802.4,1.9458375125376106,1.9458375125376106,-0.4613841524573744
2019-06-18,257.9,259.6,255.15,259.3,3975,919.5666666666667,2.0464384100747806,2.164502164502176,0.4132231404958723
2019-06-24,259.8,260.15,254.4,256.05,133,900.7,-1.253374469726186,0.32780563054375844,-1.8897030466640978
2019-06-28,257.8,264.45,257.8,264.45,117,880.8666666666667,3.280609256004677,3.280609256004677,0.6834602616676428
2019-07-05,264.55,267.05,262.3,266.9,225,847.8666666666667,0.9264511249763618,0.9831726224239072,-0.8130081300812924
2019-07-11,267.3,269.15,266.6,268.4,200,818.8,0.5620082427875609,0.8430123641813414,-0.11240164855749513
2019-07-17,266.8,266.8,259.65,261,2945,910.4,-2.757078986587175,-0.5961251862891079,-3.2600596125186296
2019-07-23,260.45,271.5,259.9,271.2,460,868.8333333333334,3.9080459770114895,4.0229885057471275,-0.4214559386973269
2019-07-29,270.25,270.45,264.85,264.85,294,875.4,-2.3414454277286016,-0.2765486725663715,-2.341445427728601
2019-08-02,262.7,262.9,251.55,257.65,2782,964.9666666666667,-2.7185199169341305,-0.7362658108363396,-5.021710402114408
2019-08-08,259.05,262.6,256.9,260.7,1206,951.9,1.1837764409082134,1.921210945080553,-0.2910925674364444
2019-08-14,256.6,259.05,250.55,259.05,116,940.3666666666667,-0.6329113924050547,-0.6329113924050545,-3.8933640199462896
2019-08-20,258.1,259.05,250.45,250.45,158,908.4333333333333,-3.3198224281026913,0,-3.3198224281026913
2019-08-26,252.6,259.45,252.1,259.1,274,797.9666666666667,3.4537831902575507,3.5935316430425237,0.6588141345577982
2019-08-30,258.95,265.85,255.8,265.85,269,736.5666666666667,2.6051717483597066,2.6051717483597066,-1.2736395214203053
2019-09-06,265.25,267.75,264.8,267.75,318,725.8333333333334,0.7146887342486279,0.7146887342486279,-0.3949595636637244
2019-09-12,269.6,269.6,266.65,267.1,9495,1025.2,-0.24276377217552836,0.6909430438842288,-0.4108309990663017
2019-09-18,266.6,268.85,265.05,265.1,472,1025.4,-0.7487832272557093,0.6551853238487457,-0.7675028079371063
2019-09-24,265.25,265.25,257.6,258.6,2259,1088.5666666666666,-2.4519049415314975,0.056582421727641385,-2.829121086382497
2019-09-30,259,261.05,251.15,255.55,465,1085.4666666666667,-1.1794276875483414,0.947409126063414,-2.880897138437748
2019-10-04,258.2,259.3,254.95,256.3,124,1084.2,0.2934846409704559,1.4674232048522795,-0.23478771277637378
2019-10-10,257.55,264.6,257.55,264.6,89,1081.3666666666666,3.2383925087787793,3.2383925087787793,0.48770971517752626
2019-10-16,264.2,266.55,263.55,265.2,30,1080.2333333333333,0.22675736961449955,0.7369614512471614,-0.3968253968254011
2019-10-22,264.95,264.95,261.05,263.55,178,1062.7333333333333,-0.6221719457013489,-0.0942684766214178,-1.5648567119155272
2019-10-28,266.1,266.35,262.9,264.85,695,1083.6,0.4932650350977087,1.0624169986719827,-0.24663251754886506
2019-11-01,265.9,268.75,264.75,267.15,447,1091.8333333333333,0.8684160845761578,1.472531621672636,-0.03775722106853793
2019-11-07,270.35,270.35,268.3,268.75,981,1031.1333333333334,0.5989144675276148,1.1978289350552296,0.43046977353547977
2019-11-13,269.15,272.8,268.2,272.8,5668,1194.6,1.5069767441860509,1.5069767441860509,-0.20465116279070183
2019-11-19,274.45,274.45,271.15,272.05,302,1199.1666666666667,-0.2749266862170088,0.604838709677411,-0.6048387096774318
2019-11-25,273,276,273,275,248,1198.5,1.0843594927403009,1.4519389818048112,0.34920051461128054
2019-12-02,273.15,274.15,269.15,274.15,300,1174.1666666666667,-0.3090909090909173,-0.3090909090909173,-2.1272727272727354
2019-12-06,276,276.6,273.75,275.05,2883,1137.7666666666667,0.3282874338865709,0.8936713478023146,-0.14590552617179542
2019-12-12,274.95,277.7,274.3,277.2,1244,1174.8,0.7816760588983738,0.9634611888747417,-0.27267769496455185
2019-12-18,279.85,283.8,279.85,282.5,2949,1269.2,1.911976911976916,2.3809523809523894,0.9559884559884683
2019-12-24,282.8,284.9,282.35,283.9,11,1262.0666666666666,0.49557522123892994,0.8495575221238858,-0.05309734513273534
2019-12-30,281.35,281.75,280.75,281.75,22,1256.1333333333334,-0.7573089115885796,-0.7573089115885796,-1.109545614653039
2020-01-01,282,286.65,282,286.65,311,1168.3333333333333,1.7391304347826007,1.7391304347826007,0.08873114463176579
2020-01-07,286.8,290.4,286.8,289.3,420,1167,0.9244723530437936,1.3082155939298798,0.05232862375720709
2020-01-13,291.35,294.7,291.2,294.7,156,1162.4,1.8665744901486265,1.8665744901486265,0.6567576909782156
2020-01-17,297,297.9,295.3,295.3,77,1072.2333333333333,0.20359687818120897,1.0858500169664027,0.20359687818120897
2020-01-24,295.25,295.25,286.8,290,122,1036.1,-1.7947849644429432,-0.016931933626824103,-2.8784287165594318
2020-01-30,285.05,288.7,281.75,288.5,3550,1150.5666666666666,-0.5172413793103448,-0.4482758620689694,-2.844827586206897
2020-02-05,290.9,294.05,288.3,294.05,218,1152.5666666666666,1.9237435008665549,1.9237435008665553,-0.06932409012131302
2020-02-11,294.75,297.95,293.65,297.95,132,1147.8333333333333,1.3263050501615292,1.3263050501615292,-0.1360312871960667
2020-02-18,296.95,302.15,292.85,293.7,497,1155.4333333333334,-1.4264138278234602,1.4096324886725924,-1.7116965933881412
2020-02-24,284.75,285.3,265.1,265.1,505,1161.6666666666667,-9.737827715355794,-2.8600612870275715,-9.737827715355792
2020-02-28,257.25,277.7,256.5,274.95,1315,889,3.7155790267823328,4.7529234251225825,-3.2440588457186053
2020-03-05,267.9,270.45,242.4,255.2,1030,907.6,-7.1831242044008015,-1.6366612111292964,-11.838516093835237
2020-03-11,249.95,249.95,217.15,217.15,4698,988.9,-14.909874608150464,-2.0572100313479624,-14.909874608150464
2020-03-17,217,225.2,211.15,211.15,1400,1020.0666666666667,-2.7630670043748555,3.707114897536257,-2.7630670043748555
2020-03-23,209.5,233.05,209.5,233.05,315,1026.4333333333334,10.371773620648831,10.371773620648831,-0.7814349988160103
2020-03-27,223.3,234.3,221.85,221.85,65,1025.6333333333334,-4.8058356575842165,0.5363655867839512,-4.8058356575842165
2020-04-02,222.95,241.8,220.15,236.95,159,1029.9333333333334,6.806400721208021,8.992562542258291,-0.7662835249042095
2020-04-08,240.85,246.1,240.85,244.25,270,1033,3.080818738130412,3.8615741717661987,1.6459168600970693
2020-04-14,249.05,254.2,246.75,253.05,589,1029.4666666666667,3.602865916069605,4.073694984646874,1.023541453428864
2020-04-20,253.9,253.9,242.4,251.35,260,1023.2333333333333,-0.6718039913060729,0.3359019956530309,-4.208654416123299
2020-04-24,250,264.6,250,264.4,129,994.8333333333334,5.191963397652669,5.2715337179232264,-0.5370996618261366
2020-04-30,263.65,264.45,256.85,262.3,70,808.2333333333333,-0.7942511346444654,0.018910741301063183,-2.8555219364598923
2020-05-06,263.75,273,261.35,271.35,497,814.7333333333333,3.450247807853607,4.079298513152874,-0.36218070911169997
2020-05-12,271.2,271.2,256.85,267.75,242,814.5333333333333,-1.326699834162529,-0.055279159756784324,-5.343652109821264
2020-05-18,270.5,282.1,270.5,279.05,102,807.9333333333333,4.220354808590107,5.359477124183015,1.0270774976657329
2020-05-22,278.25,285.35,277.45,280.95,504,728.6333333333333,0.6808815624439983,2.257659917577499,-0.5733739473212767
2020-05-29,280.55,288.35,278.3,287.6,730,711.5,2.3669692116035,2.633920626445999,-0.9432283324434872
2020-06-04,287.3,295.65,285.2,295,3374,725.6666666666666,2.5730180806675857,2.799026425591083,-0.834492350486799
2020-06-10,295.7,295.7,277.8,287.35,579,744.6,-2.593220338983043,0.2372881355932166,-5.830508474576267
2020-06-16,292.3,292.55,286.5,289.85,1367,789.4333333333333,0.8700191404210891,1.8096398120758614,-0.29580650774317796
2020-06-22,289,295.2,283.95,287.15,258,787.6666666666666,-0.9315163015352925,1.8457823011902588,-2.0355356218733944
2020-06-26,284.1,289.75,271.85,289.35,640,795,0.7661500957687779,0.9054501131812722,-5.328225666028192
2020-07-02,291.85,295.85,288.25,295.85,276,799,2.246414377052013,2.246414377052013,-0.38016243303957964
2020-07-09,296.95,305.25,291.4,298.45,473,812.2,0.878823728240651,3.177285786716234,-1.5041406117965337
2020-07-15,299.7,303.65,297.1,303.65,263,816.9,1.7423353995644124,1.7423353995644124,-0.4523370748869042
2020-07-21,304.8,304.8,294.7,296.9,100,701.9,-2.2229540589494485,0.37872550633954694,-2.947472418903339
2020-07-27,297.55,299.6,296.05,299.6,359,706.6,0.909397103401834,0.9093971034018341,-0.2862916807005611
2020-07-31,301.55,307,299.15,305.55,165,707.7,1.985981308411211,2.469959946595453,-0.15020026702271208
2020-08-06,305.6,317.35,305.6,307.4,300,701.1333333333333,0.6054655539191511,3.861888397970876,0.016363933889710802
2020-08-12,311.95,314.05,311.05,312.95,33,685.4,1.8054651919323397,2.1633051398829,1.1873780091086643
2020-08-18,313.55,318.9,312.65,317.5,235,649.4,1.4539063748202625,1.901262182457258,-0.09586195877936143
2020-08-24,319.9,335.6,319.7,331.35,490,631.4,4.362204724409456,5.700787401574811,0.6929133858267681
2020-08-28,331.9,340.8,330.1,340.5,196,481.3333333333333,2.761430511543678,2.8519692168401956,-0.37724460540214266
2020-09-03,338,338,313.8,318.35,559,453.3,-6.505139500734209,-0.7342143906020557,-7.841409691629952
2020-09-10,320.25,322.2,309.95,319.15,2391,522.5,0.25129574367832674,1.2093607664520074,-2.638605308622596
2020-09-16,319.45,320.55,298.75,302.7,3418,634.2666666666667,-5.154316152279489,0.4386652044493292,-6.391978693404349
2020-09-22,305.75,309.7,299.6,306.1,217,636.2,1.1232243145028198,2.3125206475057816,-1.024116286752549
2020-09-28,310.3,315.6,308,315.05,251,635.5666666666667,2.923881084612868,3.103560927801372,0.6207121855602669
2020-10-02,311.1,313.85,307.4,309.75,189,622.2333333333333,-1.6822726551341094,-0.3808919219171525,-2.42818600222188
2020-10-08,311.5,327,311.5,324.1,291,623.2666666666667,4.6327683615819275,5.569007263922518,0.5649717514124295
2020-10-14,325.15,325.55,311.65,311.85,119,622.9333333333333,-3.7796976241900637,0.447392780006167,-3.8414069731564466
2020-10-20,313.05,324.7,313.05,324.7,358,632.5333333333333,4.120570787237442,4.120570787237442,0.3848003848003807
2020-10-26,322.2,322.2,306.9,314.75,208,622.9,-3.0643671080997805,-0.7699414844471821,-5.48198336926394
2020-10-30,316.9,329.9,306.6,327.4,430,629.1666666666666,4.0190627482128605,4.813343923749,-2.5893566322478088
2020-11-05,331.75,337.7,325.1,329.1,523,643.2,0.5192425167990367,3.145998778252905,-0.7025045815516049
2020-11-11,330.75,337,329.35,337,426,640.6,2.400486174415064,2.400486174415064,0.0759647523549073
2020-11-17,335.6,337.2,331.65,334.05,264,625.0666666666667,-0.8753709198813024,0.0593471810088988,-1.5875370919881373
2020-11-23,334.65,343.8,331,343.1,256,521.1333333333333,2.7091752731627032,2.918724741805119,-0.9130369705133996
2020-11-30,341.35,351.45,340,349.5,227,509.4,1.8653453803555746,2.4336928009326626,-0.9035266686097413
2020-12-04,349.2,353.1,345.85,348.15,305,474,-0.38626609442060733,1.030042918454942,-1.0443490701001366
2020-12-10,343.7,351.55,343.7,351.55,1792,525.1333333333333,0.9765905500502756,0.9765905500502756,-1.2781846905069623
2020-12-16,351.5,352.9,342.5,347.55,1521,554.5,-1.1378182335371922,0.3840136538187928,-2.574313753377901
2020-12-22,346,353.3,342.3,352.8,54,547.1,1.5105740181268879,1.654438210329449,-1.510574018126888
2020-12-29,353.45,353.45,350.2,353.35,83,534.1,0.1558956916099805,0.18424036281178502,-0.7369614512471719
2021-01-04,351.85,351.85,343.6,351.8,247,533.5666666666667,-0.4386585538418031,-0.4245082779114192,-2.7593038064242252
