time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
2002-04-01,10246,10399,9806,9930,99010,NaN,NaN,NaN,NaN
2002-05-01,9963,10364,9781,9905,134006,NaN,-0.25176233635448136,4.3705941591137965,-1.500503524672709
2002-06-03,9899,9990,8864,9230,134995,NaN,-6.814740030287733,0.8581524482584553,-10.509843513377081
2002-07-01,9225,9412,7460,8705,184929,NaN,-5.6879739978331525,1.971830985915493,-19.176598049837487
2002-08-01,8687,9081,7980,8633,196237,NaN,-0.8271108558299831,4.319356691556576,-8.32854681217691
2002-09-02,8568,8760,7429,7570,243752,NaN,-12.313216726514536,1.4710992702420942,-13.946484420247888
2002-10-01,7563,8558,7174,8350,468530,NaN,10.303830911492735,13.051519154557464,-5.2311756935270814
2002-11-01,8336,8960,8280,8870,352603,NaN,6.227544910179641,7.3053892215568865,-0.8383233532934131
2002-12-02,8870,9044,8221,8331,297698,NaN,-6.076662908680947,1.961668545659526,-7.316798196166855
2003-01-01,8320,8864,7848,8047,523653,NaN,-3.4089545072620333,6.397791381586844,-5.797623334533669
2003-02-03,8080,8133,7617,7920,572463,NaN,-1.5782279110227413,1.0687212625823292,-5.343606312911644
2003-03-03,7938,8499,7418,7940,601552,NaN,0.2525252525252526,7.3106060606060606,-6.338383838383839
2003-04-01,7950,8537,7949,8453,770181,NaN,6.46095717884131,7.5188916876574305,0.11335012594458416
2003-05-01,8449,8873,8316,8852,897031,NaN,4.720217674198509,4.968650183366852,-1.6207263693363303
2003-06-02,8890,9342,8852,8957,825695,NaN,1.1861726163578852,5.5354722096701305,0
2003-07-01,8950,9343,8847,9207,1073743,NaN,2.791113095902646,4.309478620073685,-1.2280897621971643
2003-08-01,9218,9498,8968,9409,963369,NaN,2.1939828391441294,3.160638644509612,-2.595850982947757
2003-09-01,9432,9649,9195,9258,960745,NaN,-1.6048464236369435,2.5507492826017644,-2.274418110319907
2003-10-01,9266,9845,9258,9763,1164987,NaN,5.454741844890905,6.340462302873191,0
2003-11-03,9763,9915,9577,9787,818172,NaN,0.24582607804978007,1.5568984943152717,-1.9051521048857933
2003-12-01,9779,10440,9750,10415,765148,NaN,6.416675181363033,6.6721160723408595,-0.37805251864718503
