time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
2002-04-05,10246,10340,10105,10268,8641,NaN,NaN,NaN,NaN
2002-04-09,10290,10399,10205,10383,12561,NaN,1.1199844176081029,1.275808336579665,-0.613556680950526
2002-04-11,10378,10378,10140,10194,12127,NaN,-1.8202831551574685,-0.04815563902532993,-2.3403640566310315
2002-04-15,10196,10344,10068,10304,9462,NaN,1.079066117323916,1.4714537963507945,-1.2360211889346673
2002-04-17,10309,10338,10040,10175,9098,NaN,-1.2519409937888195,0.32996894409937894,-2.562111801242236
2002-04-19,10140,10274,10111,10135,10349,NaN,-0.39312039312039304,0.9729729729729729,-0.6289926289926289
2002-04-23,10148,10177,10015,10020,14182,NaN,-1.1346817957572768,0.41440552540700537,-1.1840157868771584
2002-04-25,10015,10077,9860,9865,10016,NaN,-1.5469061876247505,0.5688622754491018,-1.5968063872255487
2002-04-29,9907,10003,9806,9930,12574,NaN,0.6588950836289913,1.398884946781551,-0.5980739989863153
2002-05-01,9963,10114,9820,10090,10055,NaN,1.6112789526686808,1.852970795568983,-1.1077542799597182
2002-05-03,10074,10108,9781,9790,11893,NaN,-2.973240832507433,0.17839444995044595,-3.062438057482656
2002-05-07,9800,10148,9790,10115,14711,NaN,3.319713993871297,3.65679264555669,0
2002-05-09,10127,10134,9930,9930,10670,NaN,-1.8289668808699946,0.18783984181908053,-1.828966880869995
2002-05-13,9938,10297,9915,10291,13250,NaN,3.6354481369587117,3.6958710976837867,-0.1510574018126889
2002-05-15,10291,10349,10220,10293,10319,NaN,0.01943445729278004,0.5635992614906229,-0.6899232338936935
2002-05-17,10333,10364,10210,10240,10444,NaN,-0.5149130477023219,0.6897891771106578,-0.8063732633828816
2002-05-21,10232,10285,10062,10152,12671,NaN,-0.8593750000000001,0.439453125,-1.73828125
2002-05-23,10127,10245,10085,10093,11965,NaN,-0.5811662726556344,0.9160756501182032,-0.6599684791174152
2002-05-27,10125,10143,9965,10003,6608,NaN,-0.8917071237491331,0.49539284652729615,-1.2682056871098781
2002-05-29,9995,9998,9801,9921,13794,NaN,-0.8197540737778666,-0.049985004498650454,-2.0193941817454766
2002-05-31,9935,10047,9678,9683,17794,NaN,-2.398951718576756,1.2700332627759296,-2.4493498639250078
