time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
2000-08-27T20:00:00-04:00,262.5,263.5,262,263,66,NaN,NaN,NaN,NaN
2000-08-28T04:00:00-04:00,262,263.5,262,263.5,54,NaN,0.19011406844106463,0.19011406844106463,-0.38022813688212925
2000-08-28T12:00:00-04:00,263.5,263.5,263.5,263.5,3,NaN,0,0,0
2000-08-29T20:00:00-04:00,268,268.75,268,268,123,NaN,1.7077798861480076,1.9924098671726755,1.7077798861480076
2000-08-30T04:00:00-04:00,268.25,269,267.75,267.75,56,NaN,-0.09328358208955234,0.3731343283582089,-0.09328358208955234
2000-08-30T12:00:00-04:00,267.75,267.75,267.75,267.75,3,NaN,0,0,0
2000-08-30T20:00:00-04:00,264.75,266,264.25,265.5,41,NaN,-0.8403361344537815,-0.6535947712418301,-1.3071895424836601
2000-08-31T04:00:00-04:00,265,265.75,264.5,264.5,19,NaN,-0.3766478342749529,0.09416195856873821,-0.37664783427495285
2000-08-31T12:00:00-04:00,264.5,264.5,264.5,264.5,3,NaN,0,0,0
2000-08-31T20:00:00-04:00,268,271,268,270,103,NaN,2.0793950850661624,2.4574669187145557,1.3232514177693762
2000-09-01T04:00:00-04:00,268.75,270.5,268.75,270.5,61,NaN,0.18518518518518512,0.18518518518518512,-0.462962962962963
2000-09-01T12:00:00-04:00,270.5,270.5,270.5,270.5,3,NaN,0,0,0
2000-09-04T20:00:00-04:00,268.5,272,268.5,271.25,488,NaN,0.27726432532347506,0.5545286506469501,-0.7393715341959335
2000-09-05T04:00:00-04:00,271.25,271.25,270.5,271,123,NaN,-0.09216589861751151,0,-0.2764976958525346
2000-09-05T12:00:00-04:00,271,271,271,271,3,NaN,0,0,0
2000-09-05T20:00:00-04:00,269,269.5,268,268.5,177,NaN,-0.9225092250922509,-0.5535055350553505,-1.107011070110701
2000-09-06T04:00:00-04:00,268.75,269.5,268.75,269.5,33,NaN,0.37243947858473003,0.3724394785847299,0.09310986964618251
2000-09-06T12:00:00-04:00,269.5,269.5,269.5,269.5,3,NaN,0,0,0
2000-09-06T20:00:00-04:00,264,264.5,263.75,264.5,31,NaN,-1.855287569573284,-1.855287569573284,-2.1335807050092765
2000-09-07T04:00:00-04:00,264,264,263.75,263.75,27,NaN,-0.28355387523629494,-0.18903591682419663,-0.28355387523629494
2000-09-07T12:00:00-04:00,263.75,263.75,263.75,263.75,3,NaN,0,0,0
2000-09-07T20:00:00-04:00,265.75,266.75,265.5,266,109,NaN,0.8530805687203791,1.1374407582938388,0.6635071090047393
2000-09-08T04:00:00-04:00,266.75,267,266.25,267,23,NaN,0.37593984962406013,0.37593984962406013,0.09398496240601506
2000-09-08T12:00:00-04:00,267,267,267,267,3,NaN,0,0,0
2000-09-10T20:00:00-04:00,266.25,266.25,264.25,265.5,156,NaN,-0.5617977528089888,-0.2808988764044944,-1.0299625468164793
2000-09-11T04:00:00-04:00,264.25,264.75,264.25,264.5,23,NaN,-0.3766478342749529,-0.2824858757062147,-0.4708097928436912
2000-09-11T12:00:00-04:00,264.5,264.5,264.5,264.5,3,NaN,0,0,0
2000-09-11T20:00:00-04:00,265,266.25,265,265.5,399,NaN,0.3780718336483932,0.6616257088846881,0.1890359168241966
2000-09-12T04:00:00-04:00,266,266.25,266,266.25,7,NaN,0.2824858757062147,0.2824858757062147,0.18832391713747645
2000-09-12T20:00:00-04:00,261.5,262,261,261.5,45,73.03333333333333,-1.7840375586854458,-1.5962441314553992,-1.9718309859154932
