time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1999-10-29,110,166,110,145.1875,11468898,NaN,NaN,NaN,NaN
1999-11-01,144,179,143,174.3125,5103801,NaN,20.060266896254845,23.288850624192854,-1.506672406371072
1999-11-02,178,199,175,192.75,3979400,NaN,10.577267837934743,14.162782359268554,0.39440659734671923
1999-11-03,200.5,204,185.125,190.875,1545100,NaN,-0.972762645914397,5.836575875486382,-3.955901426718547
1999-11-04,191.875,191.9375,171,173.25,1596900,NaN,-9.233791748526523,0.5566470203012441,-10.412573673870334
1999-11-05,178,183,166.4375,174.25,770600,NaN,0.5772005772005766,5.627705627705628,-3.9321789321789318
1999-11-08,173,190.5,172.875,187.5625,872200,NaN,7.639885222381635,9.32568149210904,-0.7890961262553802
1999-11-09,189.1875,197,178,189.75,539900,NaN,1.1662779073642122,5.031656114628457,-5.098300566477841
1999-11-10,190.375,195.5,181.5,190,439600,NaN,0.13175230566534912,3.0303030303030303,-4.3478260869565215
1999-11-11,190,194.25,178.5,182.1875,368200,NaN,-4.1118421052631575,2.236842105263158,-6.052631578947368
1999-11-12,185.125,185.5,174.0625,177.3125,298900,NaN,-2.6758147512864494,1.8181818181818181,-4.459691252144083
1999-11-15,180,181,169,171.75,374100,NaN,-3.137116672541417,2.0796616143813886,-4.688050757842792
1999-11-16,176.75,184,163.625,184,584700,NaN,7.132459970887918,7.132459970887918,-4.730713245997089
1999-11-17,180.625,190,178.3125,189.375,422500,NaN,2.921195652173913,3.260869565217391,-3.091032608695652
1999-11-18,190.5,190.5,180,187.375,318200,NaN,-1.056105610561056,0.5940594059405941,-4.9504950495049505
1999-11-19,191,192.625,183.25,185,426400,NaN,-1.267511674449633,2.801867911941294,-2.201467645096731
1999-11-22,187.375,188.6875,176,184.875,252000,NaN,-0.06756756756756754,1.9932432432432434,-4.864864864864865
1999-11-23,193,219.875,186,210,1596200,NaN,13.590263691683571,18.931710615280593,0.6085192697768758
1999-11-24,215.9375,215.9375,200.25,201,517700,NaN,-4.285714285714285,2.8273809523809526,-4.642857142857143
1999-11-26,207.5,210.5,203.5,206.5,182100,NaN,2.7363184079601997,4.72636815920398,1.243781094527363
1999-11-29,213.5,236.5,210.75,227,751800,NaN,9.927360774818402,14.527845036319611,2.0581113801452786
1999-11-30,237.5,249.5,220.5,237,1421400,NaN,4.405286343612335,9.911894273127754,-2.8634361233480177
1999-12-01,238.125,239,207.25,217.625,790500,NaN,-8.175105485232068,0.8438818565400847,-12.552742616033754
1999-12-02,214.5625,225.75,214.5,215.25,282000,NaN,-1.091326823664561,3.7334865020103387,-1.4359563469270533
1999-12-03,218.375,229,206.25,207,435200,NaN,-3.8327526132404177,6.3879210220673635,-4.181184668989547
1999-12-06,208.1875,219,201.125,216.75,292700,NaN,4.710144927536232,5.797101449275362,-2.8381642512077296
1999-12-07,223.75,229.375,215,226,516200,NaN,4.2675893886966545,5.824682814302191,-0.8073817762399078
1999-12-08,226,241.6875,223.25,241.5,515800,NaN,6.8584070796460175,6.941371681415929,-1.2168141592920354
1999-12-09,247,258,224,250,560300,NaN,3.5196687370600417,6.832298136645963,-7.246376811594203
1999-12-10,253.375,258.75,238,243.5,309700,1251099.9666666666,-2.6000000000000005,3.5000000000000004,-4.8
1999-12-13,246.5,246.5,227,228.5,386100,881673.3666666667,-6.160164271047227,1.2320328542094456,-6.7761806981519515
1999-12-14,233.75,236.375,217,217,395600,724733.3333333334,-5.032822757111598,3.446389496717724,-5.032822757111598
1999-12-15,215,232,201,230.375,352800,603846.6666666666,6.163594470046084,6.912442396313365,-7.373271889400922
1999-12-16,236.5625,271.5,236,271,936400,583556.6666666666,17.634291915355398,17.85132935431362,2.4416711882799778
1999-12-17,271.5,298,268,281.75,685200,553166.6666666666,3.9667896678966788,9.96309963099631,-1.1070110701107012
1999-12-20,285.4375,302,282.9375,286.25,367100,539716.6666666666,1.5971606033717833,7.187222715173027,0.42147293700088717
1999-12-21,292.5,309,290.25,301.875,454700,525800,5.458515283842795,7.9475982532751095,1.3973799126637554
1999-12-22,305.75,309.125,287.6875,291,352500,519553.3333333333,-3.6024844720496887,2.4016563146997933,-4.699792960662526
1999-12-23,289.875,293.9375,274.25,281.4375,377100,517470,-3.2860824742268044,1.0094501718213058,-5.756013745704467
1999-12-27,282.5625,285.875,275,285.875,177600,511116.6666666667,1.5767266266933153,1.5767266266933155,-2.287363979569176
1999-12-28,284.6875,290,265,271.5,175400,507000,-5.028421512898994,1.4429383471797115,-7.3021425448185395
1999-12-29,277.875,304,277.5,303.5625,381800,507256.6666666667,11.80939226519337,11.970534069981586,2.209944751381216
1999-12-30,315.9375,342.375,314.75,327,388100,500703.3333333333,7.720815318097592,12.785670166769611,3.6854025118385834
1999-12-31,334,344.875,320,327.625,237400,494533.3333333333,0.19113149847094757,5.466360856269113,-2.1406727828746175
2000-01-03,344.1875,345.5,311,321.25,285600,493446.6666666667,-1.945822205265166,5.455932850057231,-5.074399084318962
2000-01-04,320,321.5,300,300,215900,486430,-6.6147859922179,0.07782101167315147,-6.614785992217899
2000-01-05,282.5,299.625,262,283.5,1183500,517480,-5.5,-0.125,-12.666666666666668
2000-01-06,272,278.125,235.25,236.125,797500,490856.6666666667,-16.710758377425044,-1.8959435626102292,-17.019400352733687
2000-01-07,238.125,254.5,238,248.375,729100,497903.3333333333,5.187930121757546,7.781895182636315,0.7940709370037062
2000-01-10,259.125,286.25,249.5625,285.5,1143300,529943.3333333334,14.947156517362858,15.249119275289381,0.4781077000503271
2000-01-11,295.125,298,267.25,278.4375,481000,520916.6666666667,-2.473730297723291,4.378283712784588,-6.3922942206655
2000-01-12,288,289.25,250,254,1011300,507246.6666666667,-8.77665544332211,3.88327721661055,-10.21324354657688
2000-01-13,260.375,260.5,218.375,232.8125,1031300,515273.3333333333,-8.341535433070867,2.559055118110236,-14.025590551181102
2000-01-14,254,254.625,229,230,641500,527256.6666666666,-1.2080536912751683,9.369127516778523,-1.6375838926174495
2000-01-18,229.0625,229.0625,207.5,211.5,822200,540156.6666666666,-8.043478260869565,-0.40760869565217384,-9.782608695652174
2000-01-19,212,233,212,224.75,1367500,575983.3333333334,6.264775413711584,10.16548463356974,0.23640661938534357
2000-01-20,229.5,235.75,220,234,916400,589323.3333333334,4.115684093437152,4.894327030033371,-2.1134593993325916
2000-01-21,235,275,229.75,269,1232100,613200,14.957264957264957,17.52136752136752,-1.8162393162393164
2000-01-24,271.9375,284.4375,258.625,262.0625,886600,624076.6666666666,-2.578996282527882,5.738847583643121,-3.856877323420074
2000-01-25,264,282,254.625,279.3125,369800,626080,6.582399236823278,7.607917958502266,-2.8380634390651087
2000-01-26,278,288,274.0625,277.5,596900,633106.6666666666,-0.6489147460281943,3.1103155068247927,-1.8796151264264938
2000-01-27,270,290,264,281.125,544100,638056.6666666666,1.3063063063063063,4.504504504504505,-4.864864864864865
2000-01-28,266.125,285.0625,255,270.0625,418300,640240,-3.9350822587816814,1.4006224988883949,-9.293019119608715
2000-01-31,264.125,267,235.0625,249.125,675900,631556.6666666666,-7.7528349919000235,-1.133996760009257,-12.959962971534367
2000-02-01,255.25,256.46875,235.375,239.0625,328100,619653.3333333334,-4.039136979427997,2.947817360762669,-5.5193176116407425
2000-02-02,239.125,245,231.25,233.625,314400,617896.6666666666,-2.2745098039215685,2.4836601307189543,-3.2679738562091507
2000-02-03,240,252,239.875,245.375,479800,618733.3333333334,5.029427501337614,7.865168539325842,2.6752273943285183
2000-02-04,247.625,254,230.40625,235,330200,617990,-4.228222109016811,3.515028018339277,-6.100356597045339
2000-02-07,230,233,216,228.625,1577600,658006.6666666666,-2.7127659574468086,-0.8510638297872344,-8.085106382978724
2000-02-08,241.125,246,232.0625,240.9375,684100,674890,5.3854565336249305,7.599781301257517,1.503553854565336
2000-02-09,241.25,244,233,234.875,672500,691460,-2.51621271076524,1.2710765239948119,-3.294422827496758
2000-02-10,236.75,236.875,227,229,422800,692826.6666666666,-2.5013304949441193,0.8515167642362959,-3.352847259180415
2000-02-11,229.0625,241,226.125,233.0625,393000,692990,1.7740174672489082,5.240174672489083,-1.2554585152838427
2000-02-14,233.5625,238.75,226.8125,230.375,419000,699043.3333333334,-1.1531241619737194,2.440332528828104,-2.681684097613301
2000-02-15,231.75,233,217,222.5,380600,702210,-3.41833966359197,1.1394465545306565,-5.805751492132393
2000-02-16,229.75,252,228.1875,246.125,1087700,731270,10.617977528089888,13.258426966292138,2.5561797752808983
2000-02-17,246.25,253,235.5,252,702300,715230,2.386998476383951,2.793296089385475,-4.316912138141189
2000-02-18,246,247,239.25,241.6875,502700,705403.3333333334,-4.092261904761905,-1.9841269841269842,-5.059523809523809
2000-02-22,238.625,244,238.375,242.125,374400,693580,0.1810188776829582,0.9568140677527799,-1.3705715024566847
2000-02-23,246,260.5,233.5,252.0625,497000,672036.6666666666,4.104284976768198,7.589055240061951,-3.5622096024780587
2000-02-24,253.5,275.375,253,274.8125,739600,680656.6666666666,9.02553930076866,9.248698239523929,0.3719315645921153
2000-02-25,274.25,275,261,267.0625,493500,663396.6666666666,-2.820104616784171,0.06822833750284296,-5.026154196042756
2000-02-28,263.375,265.375,248.3125,256.75,456200,644226.6666666666,-3.8614556517669083,-0.6318745611982214,-7.020828457758016
2000-02-29,259.28125,262.75,250,261.25,252100,631246.6666666666,1.7526777020447906,2.3369036027263874,-2.6290165530671867
2000-03-01,259.375,285.875,259.3125,278.625,688000,626773.3333333334,6.650717703349282,9.425837320574162,-0.7416267942583732
2000-03-02,282.1875,290.6875,265,268,556600,599743.3333333334,-3.8133692238672046,4.329295648272768,-4.890085240017945
2000-03-03,278.25,286.625,265.875,268.375,585100,588700,0.13992537313432818,6.949626865671641,-0.7929104477611943
2000-03-06,270.5,278.8125,252.75,254,363500,559746.6666666666,-5.356311131811831,3.889147647880764,-5.822077317186772
2000-03-07,260,268.1875,255,262.4375,585900,549723.3333333334,3.321850393700787,5.585629921259843,0.393700787401575
2000-03-08,264.1875,269.0625,249,265,400700,550753.3333333334,0.9764229578471064,2.5244105739461777,-5.120266730173851
2000-03-09,267.875,288,265.15625,286,465200,546363.3333333334,7.924528301886792,8.679245283018867,0.05896226415094308
2000-03-10,288.0625,305.9375,288,296,669300,550536.6666666666,3.4965034965034967,6.971153846153847,0.6993006993006993
2000-03-13,274,302.5,273.9375,284.75,453300,551703.3333333334,-3.8006756756756754,2.1959459459459456,-7.453547297297297
2000-03-14,292.5,292.75,266,269.75,343600,540626.6666666666,-5.267778753292362,2.809482001755926,-6.584723441615452
2000-03-15,269.5625,270.1875,230.1875,240.25,898700,559646.6666666666,-10.936051899907321,0.1621872103799813,-14.666357738646896
2000-03-16,243,245.5,215,229.125,826100,576703.3333333334,-4.630593132154006,2.18522372528616,-10.509885535900104
