time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
6/20/1996,21.4,21.46,20.5,20.7,55000,353333.3333,-2.816901408,0.751173709,-3.755868545
6/21/1996,20.5,20.7,20.48,20.7,70000,212666.6667,0,0,-1.062801932
6/24/1996,20.66,20.8,20.5,20.6,75000,179833.3333,-0.483091787,0.483091787,-0.966183575
6/25/1996,20.6,20.7,20.1,20.4025,120000,160500,-0.958737864,0.485436893,-2.427184466
6/26/1996,20.52,20.6,20.3,20.4,60000,152166.6667,-0.0122534,0.968018625,-0.502389413
6/27/1996,20.3,20.36,20.06,20.2,85000,137000,-0.980392157,-0.196078431,-1.666666667
6/28/1996,20.1,20.66,20.1,20.66,105000,128500,2.277227723,2.277227723,-0.495049505
7/1/1996,20.66,21.5,20.6,21.5,130000,122000,4.065827686,4.065827686,-0.290416263
7/2/1996,21.66,21.8,21.46,21.7,80000,116666.6667,0.930232558,1.395348837,-0.186046512
7/3/1996,21.76,21.76,21.1,21.3,40000,110166.6667,-1.843317972,0.276497696,-2.764976959
7/5/1996,21,21.1,20.6,20.7,80000,104500,-2.816901408,-0.938967136,-3.286384977
7/8/1996,20.8,21.5,20.6,20.96,80000,100333.3333,1.256038647,3.8647343,-0.483091787
7/9/1996,21,21.4,20.66,21.2,170000,100833.3333,1.145038168,2.099236641,-1.43129771
7/10/1996,21.3,21.36,20.7,20.98,70000,96333.33333,-1.037735849,0.754716981,-2.358490566
7/11/1996,21.06,21.06,20.6,20.8,120000,96833.33333,-0.857959962,0.381315539,-1.811248808
7/12/1996,20.6,21.06,20.6,20.84,90000,89166.66667,0.192307692,1.25,-0.961538462
7/15/1996,20.8,20.9,20.44,20.66,105000,85000,-0.863723608,0.287907869,-1.919385797
7/16/1996,20.5,21.1,20.1,20.7,145000,87166.66667,0.193610842,2.129719264,-2.710551791
7/17/1996,20.86,21.3,20.64,21.1,130000,87666.66667,1.93236715,2.898550725,-0.289855072
7/18/1996,21,21.3,21,21.2,50000,83833.33333,0.473933649,0.947867299,-0.473933649
7/19/1996,21.2,21.36,21,21.1,55000,82666.66667,-0.471698113,0.754716981,-0.943396226
7/22/1996,21,21.1,20.84,20.84,55000,81833.33333,-1.232227488,0,-1.232227488
7/23/1996,20.84,21.2,20.4,20.4,55000,81000,-2.111324376,1.727447217,-2.111324376
7/24/1996,20.1,20.5,20.1,20.5,70000,81166.66667,0.490196078,0.490196078,-1.470588235
7/25/1996,20.6,20.72,20.4,20.5,70000,79833.33333,0,1.073170732,-0.487804878
7/26/1996,20.4,20.6,20.4,20.4,30000,78666.66667,-0.487804878,0.487804878,-0.487804878
7/29/1996,20.4,20.66,20.4,20.5,30000,78333.33333,0.490196078,1.274509804,0
7/30/1996,20.4,20.9,20.4,20.54,55000,78833.33333,0.195121951,1.951219512,-0.487804878
7/31/1996,20.54,20.54,20.4,20.52,25000,78166.66667,-0.097370983,0,-0.681596884
8/1/1996,20.5,20.66,20.44,20.54,25000,77666.66667,0.097465887,0.682261209,-0.389863548
8/2/1996,20.68,20.96,20.66,20.96,65000,78000,2.044790652,2.044790652,0.584225901
8/5/1996,20.96,21.12,20.8,20.8,61500,77716.66667,-0.763358779,0.763358779,-0.763358779
8/6/1996,20.8,20.86,20.5,20.8,45000,76716.66667,0,0.288461538,-1.442307692
8/7/1996,20.86,20.88,20.66,20.84,55000,74550,0.192307692,0.384615385,-0.673076923
8/8/1996,20.84,20.88,20.7,20.88,50000,74216.66667,0.19193858,0.19193858,-0.671785029
8/9/1996,20.72,20.86,20.7,20.8,45000,72883.33333,-0.383141762,-0.095785441,-0.862068966
8/12/1996,20.8,20.86,20.7,20.86,25000,70216.66667,0.288461538,0.288461538,-0.480769231
8/13/1996,20.76,20.8,20.64,20.72,50000,67550,-0.67114094,-0.287631831,-1.054650048
8/14/1996,20.68,21.6,20.68,21.6,85000,67716.66667,4.247104247,4.247104247,-0.193050193
8/15/1996,21.7,22.2,21.6,22.2,150000,71383.33333,2.777777778,2.777777778,0
8/16/1996,22.2,22.34,21.76,21.86,90000,71716.66667,-1.531531532,0.630630631,-1.981981982
8/19/1996,22,22,21.6,21.68,50000,70716.66667,-0.823421775,0.640439158,-1.189387008
8/20/1996,21.6,21.8,21.36,21.4,55000,66883.33333,-1.291512915,0.553505535,-1.47601476
8/21/1996,21.42,21.42,21.2,21.2,30000,65550,-0.934579439,0.093457944,-0.934579439
8/22/1996,21.3,21.48,21.3,21.3,45000,63050,0.471698113,1.320754717,0.471698113
8/23/1996,21.34,21.34,21.24,21.34,30000,61050,0.187793427,0.187793427,-0.281690141
8/26/1996,21.34,21.34,21.08,21.14,25000,58383.33333,-0.937207123,0,-1.21836926
8/27/1996,21.26,21.34,21.12,21.2,30000,54550,0.283822138,0.946073794,-0.094607379
8/28/1996,21.2,21.2,20.9,20.98,40000,51550,-1.037735849,0,-1.41509434
8/29/1996,21.02,21.02,20.7,20.7,60000,51883.33333,-1.334604385,0.190657769,-1.334604385
8/30/1996,20.76,20.88,20.68,20.82,30000,51050,0.579710145,0.869565217,-0.096618357
9/3/1996,20.9,20.98,20.72,20.96,15000,49716.66667,0.672430355,0.768491835,-0.480307397
9/4/1996,20.96,21.08,20.88,21,20000,48550,0.190839695,0.572519084,-0.381679389
9/5/1996,21.06,21.06,20.78,20.9,45000,47716.66667,-0.476190476,0.285714286,-1.047619048
9/6/1996,20.9,21.12,20.86,21.04,30000,46383.33333,0.669856459,1.052631579,-0.19138756
9/9/1996,21.1,21.48,21,21.36,70000,47716.66667,1.520912548,2.091254753,-0.190114068
9/10/1996,21.46,21.46,21.1,21.2,55000,48550,-0.74906367,0.468164794,-1.217228464
9/11/1996,21.24,21.38,21.08,21.32,40000,48050,0.566037736,0.849056604,-0.566037736
9/12/1996,21.38,21.44,21.3,21.44,40000,48550,0.562851782,0.562851782,-0.09380863
9/13/1996,21.44,21.64,21.36,21.46,55000,49550,0.093283582,0.932835821,-0.373134328
9/16/1996,21.5,21.84,21.46,21.84,70000,49716.66667,1.770736253,1.770736253,0
9/17/1996,21.92,21.92,21.4,21.66,145000,52500,-0.824175824,0.366300366,-2.014652015
9/18/1996,21.76,21.8,21.56,21.56,105000,54500,-0.461680517,0.646352724,-0.461680517
9/19/1996,21.46,21.8,21.44,21.66,65000,54833.33333,0.463821892,1.113172542,-0.556586271
9/20/1996,21.76,21.8,21.66,21.74,40000,54500,0.369344414,0.646352724,0
9/23/1996,21.66,21.66,21.44,21.52,30000,54000,-1.011959522,-0.367985281,-1.379944802
9/24/1996,21.46,21.64,21.28,21.56,65000,55333.33333,0.185873606,0.557620818,-1.115241636
9/25/1996,21.48,21.6,21.4,21.48,50000,55333.33333,-0.371057514,0.185528757,-0.742115028
9/26/1996,21.58,21.62,21.4,21.48,45000,54000,0,0.651769088,-0.372439479
9/27/1996,21.48,21.48,21.24,21.36,55000,50833.33333,-0.558659218,0,-1.117318436
9/30/1996,21.28,21.6,21.28,21.46,55000,49666.66667,0.468164794,1.123595506,-0.374531835
10/1/1996,21.46,21.46,21.16,21.24,65000,50166.66667,-1.025163094,0,-1.397949674
10/2/1996,21.2,21.44,21.2,21.42,75000,50833.33333,0.847457627,0.941619586,-0.188323917
10/3/1996,21.46,21.46,21.34,21.4,40000,51166.66667,-0.093370682,0.186741363,-0.373482726
10/4/1996,21.36,21.46,21.32,21.4,70000,52000,0,0.280373832,-0.373831776
10/7/1996,21.44,21.44,21.3,21.3,95000,54166.66667,-0.46728972,0.186915888,-0.46728972
10/8/1996,21.24,21.34,21.16,21.16,50000,55000,-0.657276995,0.187793427,-0.657276995
10/9/1996,21.16,21.28,21.1,21.28,130000,58333.33333,0.56710775,0.56710775,-0.283553875
10/10/1996,21.32,21.32,21.16,21.22,35000,58166.66667,-0.281954887,0.187969925,-0.563909774
10/11/1996,21.2,21.4,21.16,21.16,60000,58166.66667,-0.282752121,0.848256362,-0.282752121
10/14/1996,21.2,21.4,21.16,21.3,70000,59500,0.661625709,1.134215501,0
10/15/1996,21.2,21.28,21.12,21.2,70000,61333.33333,-0.469483568,-0.093896714,-0.845070423
10/16/1996,21.22,21.46,21.2,21.46,95000,63833.33333,1.226415094,1.226415094,0
10/17/1996,21.48,21.72,21.36,21.64,90000,65333.33333,0.838769804,1.211556384,-0.465983225
10/18/1996,21.74,21.8,21.6,21.68,60000,66333.33333,0.184842884,0.739371534,-0.184842884
10/21/1996,21.68,21.68,21.44,21.52,25000,64833.33333,-0.73800738,0,-1.10701107
10/22/1996,21.5,21.76,21.5,21.76,80000,65666.66667,1.115241636,1.115241636,-0.092936803
10/23/1996,21.64,21.64,21.44,21.58,20000,65000,-0.827205882,-0.551470588,-1.470588235
10/24/1996,21.6,21.78,21.6,21.78,25000,64500,0.926784059,0.926784059,0.092678406
10/25/1996,21.78,21.88,21.72,21.72,40000,64000,-0.275482094,0.459136823,-0.275482094
10/28/1996,21.74,21.8,21.56,21.56,50000,63333.33333,-0.73664825,0.368324125,-0.73664825
10/29/1996,21.46,21.68,21.46,21.62,40000,59833.33333,0.278293135,0.556586271,-0.463821892
10/30/1996,21.64,21.7,21.48,21.48,35000,57500,-0.647548566,0.370027752,-0.647548566
10/31/1996,21.56,21.64,21.48,21.58,25000,56166.66667,0.465549348,0.744878957,0
11/1/1996,21.66,21.8,21.62,21.62,85000,57666.66667,0.185356812,1.019462465,0.185356812
11/4/1996,21.52,21.72,21.48,21.72,35000,57833.33333,0.46253469,0.46253469,-0.647548566
11/5/1996,21.7,21.98,21.7,21.94,75000,58166.66667,1.012891344,1.197053407,-0.092081031
11/6/1996,21.98,22,21.84,21.92,60000,58500,-0.091157703,0.273473108,-0.455788514
11/7/1996,21.94,21.94,21.72,21.86,70000,59333.33333,-0.273722628,0.091240876,-0.912408759
11/8/1996,21.8,21.92,21.6,21.88,95000,60666.66667,0.091491308,0.274473925,-1.189387008
11/11/1996,21.8,21.96,21.8,21.92,70000,61166.66667,0.182815356,0.365630713,-0.365630713
11/12/1996,22,22.34,21.97,22.22,105000,62500,1.368613139,1.916058394,0.22810219
11/13/1996,22.3,22.58,22.12,22.18,165000,65500,-0.180018002,1.620162016,-0.450045005
11/14/1996,22.14,22.28,21.98,22.24,60000,66166.66667,0.270513977,0.450856628,-0.901713255
11/15/1996,22.2,22.28,22.08,22.08,75000,66333.33333,-0.71942446,0.179856115,-0.71942446
11/18/1996,22.14,22.16,21.9,22.16,95000,66333.33333,0.362318841,0.362318841,-0.815217391
11/19/1996,22.16,22.28,22.08,22.24,45000,66166.66667,0.36101083,0.541516245,-0.36101083
11/20/1996,22.1,22.2,21.94,22.12,75000,64333.33333,-0.539568345,-0.179856115,-1.348920863
11/21/1996,22.12,22.22,22.02,22.1,85000,66000,-0.090415913,0.452079566,-0.452079566
11/22/1996,22.06,22.18,22.04,22.16,55000,65833.33333,0.271493213,0.36199095,-0.271493213
11/25/1996,22.06,22.18,22,22.02,75000,66000,-0.631768953,0.090252708,-0.722021661
11/26/1996,21.96,22.04,21.86,22,75000,66166.66667,-0.090826521,0.090826521,-0.726612171
11/27/1996,22,22.02,21.92,22,45000,64500,0,0.090909091,-0.363636364
11/29/1996,22,22.06,21.94,22.06,80000,64166.66667,0.272727273,0.272727273,-0.272727273
12/2/1996,21.94,22.16,21.94,22.16,230000,69833.33333,0.453309157,0.453309157,-0.543970988
12/3/1996,22.1,22.16,22,22.06,60000,71000,-0.451263538,0,-0.722021661
12/4/1996,21.94,21.94,21.7,21.86,140000,73000,-0.906618314,-0.543970988,-1.631912965
12/5/1996,21.86,21.86,21.64,21.8,195000,78833.33333,-0.274473925,0,-1.006404392
12/6/1996,21.7,22,21.56,21.72,190000,84333.33333,-0.366972477,0.917431193,-1.100917431
12/9/1996,22,22.14,21.94,22.0225,90000,86000,1.392725599,1.933701657,1.012891344
12/10/1996,21.94,22.26,21.92,22.1,205000,91166.66667,0.351912816,1.078442502,-0.46543308
