time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1994-11-16,5.33328,5.374946,5.33328,5.33328,8343983,NaN,NaN,NaN,NaN
1994-11-17,5.33328,5.416613,5.291614,5.416613,4872048,NaN,1.5625093750937444,1.5625093750937444,-0.7812453124531283
1994-11-18,5.416613,5.541611,5.416613,5.499945,1468814,NaN,1.5384521655876173,2.30767824838141,0
1994-11-21,5.541611,5.541611,5.374946,5.374946,348603,NaN,-2.2727318182272866,0.7575712120757445,-2.2727318182272866
1994-11-22,5.33328,5.374946,5.124949,5.124949,709807,NaN,-4.651153704613955,0,-4.651153704613955
1994-11-23,5.083283,5.166615,5.041616,5.083283,906609,NaN,-0.8130032123246536,0.8130032123246536,-1.6260259370385866
1994-11-25,5.083283,5.166615,5.083283,5.166615,132601,NaN,1.6393342648835487,1.6393342648835487,0
1994-11-28,5.208281,5.208281,5.083283,5.083283,280502,NaN,-1.6128935482903293,0.8064467741451647,-1.6128935482903295
1994-11-29,5.083283,5.124949,5.083283,5.124949,187501,NaN,0.8196671324417744,0.8196671324417744,0
1994-11-30,5.083283,5.124949,5.083283,5.083283,130801,NaN,-0.8130032123246536,0,-0.8130032123246536
1994-12-01,5.124949,5.124949,4.916618,4.916618,794407,NaN,-3.278688202093019,0.8196671324417744,-3.278688202093019
1994-12-02,4.916618,4.916618,4.874951,4.916618,54600,NaN,0,0,-0.8474727953239292
1994-12-05,4.916618,4.916618,4.874951,4.916618,19800,NaN,0,0,-0.847472795323929
1994-12-06,4.916618,4.916618,4.874951,4.874951,91200,NaN,-0.847472795323929,0,-0.847472795323929
1994-12-07,4.916618,4.916618,4.833285,4.833285,77700,NaN,-0.8546957702754386,0.8547162833021184,-0.8546957702754386
1994-12-08,4.833285,4.874951,4.791619,4.791619,169201,NaN,-0.8620637930517279,0.8620637930517279,-0.8620637930517279
1994-12-09,4.749953,4.749953,4.624954,4.66662,272102,NaN,-2.608700733509903,-0.8695599545790307,-3.4782606880889335
1994-12-12,4.749953,4.874951,4.708286,4.749953,284402,NaN,1.7857250001071363,4.464280357089291,0.8928517856607177
1994-12-13,4.749953,4.749953,4.708286,4.708286,146101,NaN,-0.8772086797490304,0,-0.8772086797490304
1994-12-14,4.749953,4.833285,4.749953,4.791619,442204,NaN,1.7699222179791043,2.6548727073928786,0.8849717285653305
1994-12-15,4.791619,4.874951,4.791619,4.833285,274202,NaN,0.8695599545790307,1.7391199091580614,0
1994-12-16,4.874951,5.124949,4.874951,5.124949,442504,NaN,6.034487931086206,6.034487931086206,0.8620637930517279
1994-12-19,5.083283,5.083283,4.99995,5.041616,47400,NaN,-1.6260259370385866,-0.813003212324654,-2.4390291493632397
1994-12-20,5.041616,5.124949,5.041616,5.041616,128401,NaN,0,1.652902561400941,0
1994-12-21,5.083283,5.166615,5.083283,5.166615,96600,NaN,2.47934392464638,2.47934392464638,0.8264611981555012
1994-12-22,5.166615,5.208281,5.083283,5.208281,248402,NaN,0.8064467741451646,0.8064467741451646,-1.6128935482903295
1994-12-23,5.249948,5.33328,5.249948,5.33328,189601,NaN,2.4000049152493856,2.4000049152493856,0.800014438545068
1994-12-27,5.33328,5.416613,5.291614,5.374946,113701,NaN,0.7812453124531116,1.5625093750937444,-0.7812453124531282
1994-12-28,5.33328,5.374946,5.33328,5.374946,62100,NaN,0,0,-0.7751891832959683
1994-12-29,5.374946,5.374946,5.33328,5.33328,190801,717556.6,-0.7751891832959683,0,-0.7751891832959683
1994-12-30,5.33328,5.33328,5.33328,5.33328,15900,439953.8333333333,0,0,0
1995-01-03,5.374946,5.374946,5.249948,5.33328,93300,280662.23333333334,0,0.7812453124531117,-1.5624906249062567
1995-01-04,5.33328,5.374946,5.291614,5.374946,45300,233211.76666666666,0.7812453124531117,0.7812453124531117,-0.7812453124531283
1995-01-05,5.374946,5.416613,5.291614,5.374946,54300,223401.66666666666,0,0.775207788134064,-1.550378366591953
1995-01-06,5.291614,5.291614,5.208281,5.249948,294002,209541.5,-2.3255675498879382,-1.5503783665919533,-3.1007753380219856
1995-01-09,5.291614,5.291614,5.249948,5.249948,24000,180121.2,0,0.793645956112331,0
1995-01-10,5.249948,5.291614,5.249948,5.291614,19200,176341.16666666666,0.7936459561123311,0.7936459561123311,0
1995-01-11,5.249948,5.249948,5.249948,5.249948,10800,167351.1,-0.7873968131462387,-0.7873968131462387,-0.7873968131462387
1995-01-12,5.249948,5.249948,5.249948,5.249948,76200,163641.06666666668,0,0,0
1995-01-13,5.249948,5.249948,5.166615,5.249948,84600,162101.03333333333,0,0,-1.5873109600323596
1995-01-16,5.291614,5.374946,5.291614,5.33328,834308,163431.06666666668,1.5872919122246623,2.3809378683369764,0.793645956112331
1995-01-17,5.33328,5.33328,5.33328,5.33328,186301,167821.1,0,0,0
1995-01-18,5.33328,5.33328,5.208281,5.249948,60900,169191.1,-1.5624906249062567,0,-2.343754687546873
1995-01-19,5.249948,5.249948,5.208281,5.208281,48600,167771.1,-0.7936650039200286,0,-0.7936650039200286
1995-01-20,5.208281,5.208281,5.166615,5.166615,43500,166631.1,-0.7999952383521587,0,-0.7999952383521587
1995-01-23,5.208281,5.208281,5.124949,5.166615,115201,164831.1,0,0.8064467741451647,-0.8064467741451647
1995-01-24,5.208281,5.208281,5.208281,5.208281,35100,156931.03333333333,0.8064467741451647,0.8064467741451647,0.8064467741451647
1995-01-25,5.208281,5.458279,5.208281,5.374946,83100,150220.96666666667,3.2000001536015272,4.800009830498771,0
1995-01-26,5.374946,5.416613,5.33328,5.33328,92100,148420.93333333332,-0.7751891832959683,0.7752077881340638,-0.7751891832959683
1995-01-27,5.374946,5.374946,5.33328,5.374946,24300,134490.8,0.7812453124531116,0.7812453124531117,0
1995-01-30,5.374946,5.374946,5.33328,5.374946,70800,127710.73333333334,0,0,-0.7751891832959683
1995-01-31,5.374946,5.395946,5.33328,5.395946,354003,124760.7,0.39070159960678297,0.39070159960678297,-0.7751891832959683
1995-02-01,5.416613,5.458279,5.374946,5.458279,133201,127620.73333333334,1.1551820570480087,1.1551820570480087,-0.38918106296839877
1995-02-02,5.458279,5.624944,5.458279,5.583278,306603,133560.8,2.2900808111860873,3.0534349746504357,0
1995-02-03,5.541611,5.583278,5.499945,5.583278,278702,139630.86666666667,0,0,-1.492546135084079
1995-02-06,5.583278,5.624944,5.541611,5.583278,227102,138920.86666666667,0,0.7462641122294145,-0.7462820228546804
1995-02-07,5.583278,5.583278,5.499945,5.541611,361503,144650.93333333332,-0.7462820228546804,0,-1.492546135084079
1995-02-08,5.541611,5.708276,5.499945,5.66661,494404,157341.03333333333,2.255643710827064,3.007518932671385,-0.7518752218443214
1995-02-09,5.749943,5.916608,5.749943,5.791609,214202,162411.1,2.2058867647499976,4.411773529499995,1.4705970589117594
1995-02-10,5.833275,5.833275,5.66661,5.708276,137401,160631.1,-1.438857491933598,0.7194201127873137,-2.1582776047208965
1995-02-13,5.708276,5.708276,5.583278,5.624944,516305,177311.26666666666,-1.459845319322323,0,-2.1897679789834923
1995-02-14,5.583278,5.583278,5.416613,5.458279,1084810,210361.6,-2.9629628312744103,-0.740736263329914,-3.7036990946043242
1995-02-15,5.458279,5.708276,5.458279,5.708276,870008,237851.86666666667,4.580143301579116,4.580143301579116,0
1995-02-16,5.708276,5.708276,5.624944,5.66661,347703,247631.96666666667,-0.7299226596611534,0,-1.459845319322323
1995-02-17,5.66661,5.66661,5.624944,5.66661,154201,242971.93333333332,0,0,-0.7352897058382384
1995-02-21,5.66661,5.708276,5.624944,5.708276,644406,263652.13333333336,0.7352897058382226,0.7352897058382226,-0.7352897058382384
1995-02-22,5.708276,5.833275,5.708276,5.791609,874808,292172.4,1.4598628377464677,2.189785497407637,0
1995-02-23,5.833275,5.874941,5.791609,5.791609,1391713,338202.8333333333,0,1.4388402255746118,0
1995-02-24,5.791609,5.791609,5.66661,5.708276,830708,363353.1,-1.4388574919335981,0,-2.1582776047208965
1995-02-27,5.66661,5.708276,5.624944,5.66661,310503,370883.2,-0.7299226596611537,0,-1.459845319322323
1995-02-28,5.749943,6.083273,5.749943,6.083273,3169531,448723.9666666667,7.352950000088232,7.3529500000882315,1.4705970589117594
1995-03-01,6.124939,6.499935,6.083273,6.458269,3259232,551155,6.164378945347339,6.84930628627056,0
1995-03-02,6.499935,6.6666,6.458269,6.624934,2352923,627555.7666666667,2.580645061393387,3.2258024557354346,0
1995-03-03,6.624934,6.624934,6.458269,6.458269,1156811,664496.1333333333,-2.515723175506354,0,-2.5157231755063534
1995-03-06,6.33327,6.416603,6.249938,6.291604,1407914,709976.6,-2.580645061393373,-0.6451573943420337,-3.225802455735421
1995-03-07,6.249938,6.33327,6.249938,6.33327,1043110,740906.9,0.6622476557647192,0.6622476557647194,-0.6622476557647334
1995-03-08,6.374936,6.458269,6.374936,6.374936,774307,765547.1333333333,0.6578907894342133,1.973688157934209,0.6578907894342132
1995-03-09,6.374936,6.374936,6.33327,6.374936,480004,778777.2666666667,0,0,-0.6535908752652608
1995-03-10,6.33327,6.374936,6.249938,6.291604,770407,801387.5,-1.3071817505305074,0,-1.9607726257957683
1995-03-13,6.33327,6.33327,6.291604,6.291604,583205,820017.6666666666,0,0.6622476557647193,0
1995-03-14,6.374936,6.458269,6.291604,6.458269,1176611,856878.0333333333,2.6490065172569532,2.6490065172569532,0
1995-03-15,6.458269,6.541601,6.416603,6.458269,1154711,883568.3,0,1.2903147886840949,-0.6451573943420337
1995-03-16,6.499935,6.499935,6.166605,6.249938,1067110,914698.6,-3.225802455735421,0.6451573943420474,-4.516132728444727
1995-03-17,6.166605,6.33327,6.166605,6.208271,1276512,947028.9,-0.6666786134518512,1.33332522658624,-1.3333412267449782
1995-03-20,6.208271,6.374936,6.166605,6.374936,735007,962239.0666666667,2.684563866493587,2.684563866493587,-0.6711369397373311
1995-03-21,6.374936,6.499935,6.249938,6.249938,1121111,992039.3666666667,-1.9607726257957685,1.9607883122277596,-1.9607726257957685
1995-03-22,6.291604,6.33327,6.208271,6.33327,452704,995079.4,1.3333252265862399,1.33332522658624,-0.666678613451851
1995-03-23,6.291604,6.291604,6.208271,6.249938,672606,1001019.4666666667,-1.3157815788684126,-0.6578907894341992,-1.973688157934209
1995-03-24,6.208271,6.374936,6.208271,6.249938,1575615,1046399.9,0,1.9999878398793671,-0.666678613451851
1995-03-27,6.291604,6.458269,6.291604,6.458269,937509,1073070.1666666667,3.3333290666243305,3.3333290666243305,0.6666626132931273
1995-03-28,6.416603,6.499935,6.374936,6.416603,741307,1080570.2333333334,-0.6451573943420335,0.6451573943420477,-1.290330272709292
1995-03-29,6.416603,6.499935,6.33327,6.33327,1026910,1078640.2333333334,-1.2987089897879072,1.2986934052176753,-1.2987089897879072
1995-03-30,6.374936,6.374936,6.291604,6.374936,700207,1072980.2,0.6578907894342132,0.6578907894342133,-0.6578907894341993
1995-03-31,6.458269,6.458269,6.291604,6.374936,720307,1085400.3333333333,0,1.307197436962499,-1.3071817505305074
