time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
9/30/2004,3.258658,3.310708,3.228128,3.243143,275337920,230890478,-1.129084724,0.930711403,-1.586834133
10/1/2004,3.269168,3.359256,3.225626,3.317715,302559620,211200563.3,2.299374403,3.580261493,-0.540124194
10/4/2004,3.398794,3.425069,3.354,3.379775,261421420,204690050.7,1.87056453,3.235781253,1.093674411
10/5/2004,3.369766,3.466609,3.309207,3.462605,299999000,202514838,2.450754858,2.569224283,-2.087949642
10/6/2004,3.445088,3.464607,3.403298,3.430324,267735600,201272922.7,-0.932274978,0.057817741,-1.712785605
10/7/2004,3.417312,3.500392,3.417061,3.474617,282400900,204560083.3,1.291219138,2.042605888,-0.386639863
10/8/2004,3.471614,3.495387,3.428823,3.44659,221540100,207214451.3,-0.806621277,0.597763725,-1.317958209
10/11/2004,3.428572,3.474867,3.349496,3.38478,209767000,210065399.3,-1.793366777,0.82043411,-2.817103282
10/12/2004,3.365512,3.443587,3.338235,3.438332,236576320,214485812,1.582141232,1.737395045,-1.375126301
10/13/2004,3.586476,3.592231,3.505397,3.525917,395409720,224384750,2.547310731,4.475978469,1.950509724
10/14/2004,3.52892,3.562953,3.46736,3.553443,209169300,225263534,0.780676346,1.050393415,-1.660759456
10/15/2004,3.627265,3.641028,3.552192,3.606245,263921940,223981360,1.48593913,2.464792597,-0.035205292
10/18/2004,3.583473,3.733618,3.533675,3.732617,281038620,229914372.7,3.504254425,3.532011829,-2.012342478
10/19/2004,3.76615,3.813695,3.687323,3.702088,362424520,238096208.7,-0.817898006,2.172148924,-1.213464976
10/20/2004,3.702088,3.728363,3.493386,3.515657,455143660,249943920.7,-5.035833832,0.709734615,-5.637413265
10/21/2004,3.602992,3.756891,3.543934,3.738122,599338640,267214031.3,6.327835736,6.861704654,0.804316234
10/22/2004,4.262131,4.508619,4.105979,4.314931,1475362480,310593224,15.43044877,20.61187409,9.840690058
10/25/2004,4.411275,4.865465,4.317934,4.689544,1309740740,349019894,8.681784251,12.75881352,0.069595551
10/26/2004,4.665747,4.820672,4.504365,4.549409,891689300,371432156,-2.988243633,2.796178051,-3.948763462
10/27/2004,4.56167,4.742596,4.548658,4.65376,534420800,382103174.7,2.293726504,4.2464197,-0.016507639
10/28/2004,4.670276,4.864464,4.644501,4.837188,593688320,395715064.7,3.941501066,4.527607784,-0.198957402
