time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
7/7/2006,4.675,4.685001,4.575,4.612,8380000,36501496.33,-1.452991453,0.106858974,-2.243589744
7/10/2006,4.62,4.657001,4.612,4.649001,4978000,23493365.67,0.80227667,0.975737207,0
7/11/2006,4.649001,4.649001,4.53,4.635001,8079000,20327866.33,-0.301139965,0,-2.559711215
7/12/2006,4.639999,4.639999,4.553999,4.555,7672000,18920366.67,-1.726019045,0.107831692,-1.747615588
7/13/2006,4.517999,4.517999,4.43,4.472,16625000,18476200,-1.822173436,-0.812316136,-2.744237102
7/14/2006,4.462,4.467999,4.389999,4.395,9663000,16720932.67,-1.721824687,-0.0894678,-1.833653846
7/17/2006,4.391,4.417,4.375,4.399001,6458000,15694432.67,0.091035267,0.500568828,-0.455062571
7/18/2006,4.399001,4.410001,4.367,4.389999,12483000,14872499.33,-0.204637371,0.250056774,-0.727460621
7/19/2006,4.391,4.545,4.38,4.528,15840000,13765700,3.143531468,3.530775292,-0.227767706
7/20/2006,4.539999,4.578,4.510001,4.555,8829000,13226500,0.596289753,1.104240283,-0.397504417
7/21/2006,4.555,4.555,4.477,4.528,8511000,12362300,-0.592755214,0,-1.712403952
7/24/2006,4.545,4.553,4.499001,4.5,5017000,12083800,-0.618374558,0.552120141,-0.640437279
7/25/2006,4.52,4.639999,4.516,4.608,6900000,11828933.33,2.4,3.111088889,0.355555556
7/26/2006,4.614,4.785001,4.58,4.667999,10338000,11616333.33,1.302061632,3.841167535,-0.607638889
7/27/2006,4.689999,4.717,4.652,4.652,6009000,11284266.67,-0.342737863,1.049721733,-0.342737863
7/28/2006,4.650999,4.68,4.625999,4.63,4339000,10878900,-0.472914875,0.60189166,-0.558920894
7/31/2006,4.63,4.641,4.586,4.587,4616000,10623433.33,-0.928725702,0.237580994,-0.950323974
8/1/2006,4.592,4.592,4.47,4.5,7404000,10487300,-1.896664487,0.109003706,-2.550686723
8/2/2006,4.799001,5.005,4.731,5.002,53373980,11473366,11.15555556,11.22222222,5.133333333
