time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
2007-11-15,23,28.45,21.03,24.97,11769801,NaN,NaN,NaN,NaN
2007-11-16,25.3,25.98,23.5,24.96001,1242850,NaN,-0.040008009611527395,4.044853824589514,-5.887064477372843
2007-11-19,24.71001,25.75,24.53,25.75,469500,NaN,3.165022770423567,3.165022770423567,-1.7227957841363013
2007-11-20,25.42,29.209,25.25999,27.32001,522200,NaN,6.097126213592233,13.433009708737861,-1.9029514563106857
2007-11-21,27,27.13,25.94,26.64999,167500,NaN,-2.452488121344029,-0.6954975492322326,-5.051279263806999
2007-11-23,27.3,28.33,26.82001,27.39999,100700,NaN,2.8142599678273807,6.303979851399568,0.6379739729733513
2007-11-26,27.99001,29.49001,27.53,27.8,438300,NaN,1.4598910437558619,7.627813002851471,0.47448922426614815
2007-11-27,28.23,28.75,26.28,26.98,305800,NaN,-2.9496402877697854,3.417266187050357,-5.4676258992805735
2007-11-28,27.12,27.62,26.67999,27.3,273600,NaN,1.1860637509266132,2.3721275018532264,-1.111971830985917
2007-11-29,26.61,27.99001,26.60001,27.3,110563,NaN,0,2.5275091575091606,-2.564065934065933
2007-11-30,27.60001,28.7,27.10001,27.64999,524000,NaN,1.2820146520146456,5.128205128205123,-0.7325641025641012
2007-12-03,27.7,28.2,27.39999,27.97,83600,NaN,1.1573602739096827,1.9891869761978227,-0.9041594590088459
2007-12-04,27.71001,29.75,27.24001,29.35001,387400,NaN,4.93389345727566,6.363961387200575,-2.6099034680014204
2007-12-05,32.67999,32.67999,28.89,29.28,207200,NaN,-0.23853484206649345,11.345754226318817,-1.5673248492930683
2007-12-06,29,29.42,28.44,28.91,97700,NaN,-1.2636612021857956,0.4781420765027349,-2.868852459016393
2007-12-07,29.06,29.10001,28.5,28.88,82500,NaN,-0.10377032168800127,0.6572466274645482,-1.4181943964026293
2007-12-10,28.59,29.95,28.59,29,177803,NaN,0.4155124653739647,3.704986149584489,-1.0041551246537366
2007-12-11,28.99001,29.39999,28.25,29,236200,NaN,0,1.3792758620689622,-2.586206896551724
2007-12-12,29.36,29.36,28.3,28.48,64700,NaN,-1.7931034482758605,1.2413793103448256,-2.4137931034482736
2007-12-13,27.92999,29,27.92999,28.94,77925,NaN,1.6151685393258457,1.825842696629212,-1.9312148876404507
2007-12-14,28.83,28.94,28.33,28.72,118200,NaN,-0.760193503800976,0,-2.1078092605390566
2007-12-17,27.94,29.06,27.67,27.98,128601,NaN,-2.576601671309187,1.1838440111420607,-3.655988857938709
2007-12-18,28,28.8,28,28.5,132400,NaN,1.8584703359542516,2.9306647605432463,0.07147962830593135
2007-12-19,28.56,29.35001,28.56,28.95,197600,NaN,1.5789473684210502,2.982491228070179,0.2105263157894692
2007-12-20,28.95,29.00999,28.89,28.89,197800,NaN,-0.20725388601035832,0.20721934369602435,-0.20725388601035824
2007-12-21,29.5,34.33,29.39999,33.72,498600,NaN,16.718587746625126,18.830044998269287,1.7652821045344353
2007-12-24,33.60001,34.39999,32.55,33.92,142000,NaN,0.5931198102016708,2.016577698695148,-3.4697508896797213
2007-12-26,33.92,36,33.8,34.35001,228300,NaN,1.267718160377346,6.132075471698108,-0.35377358490567357
2007-12-27,34.35001,37.1875,33.8,36.55,194600,NaN,6.404626956440477,8.260521612657472,-1.601193129201419
2007-12-28,36.45,38.27,36.00011,37.32001,165900,644794.7666666667,2.1067305061559685,4.7058823529411935,-1.504487004103961
2007-12-31,37.45,38.39999,36,38.39999,136200,257008.06666666668,2.8938363092614363,2.8938363092614363,-3.537003339495363
2008-01-02,37.82001,37.95,33.11501,33.85001,442900,230343.06666666668,-11.848909335653484,-1.171849263502411,-13.762972334107392
2008-01-03,33.85001,33.85001,30.56,30.78999,395900,227889.73333333334,-9.039938245217648,0,-9.719376744644977
2008-01-04,28.74001,31,28.11,30.14999,354079,222285.7,-2.078597622149278,0.682072322855579,-8.70409506466225
2008-01-07,29.75,29.75,27.75,28.14,383000,229469.03333333333,-6.666635710326931,-1.3266671066889208,-7.960168477667818
2008-01-08,28,28.14999,26.00999,26.63,183900,232242.36666666667,-5.366027007818058,0.03550106609807524,-7.569331911869233
2008-01-09,27.3,29.75,24.7401,27.75999,383400,230412.36666666667,4.243297033420951,11.716109650769813,-7.096883214419818
2008-01-10,29.3,31.39999,26.8,29.64,531428,237933.3,6.772372756618436,13.112396654321564,-3.458178479170914
2008-01-11,29.42,32.77,29.21001,30.42999,121900,232876.63333333333,2.665283400809715,10.56005398110662,-1.450708502024292
2008-01-14,30.10001,30.50011,29.75,30.5,198300,235801.2,0.23006908645057056,0.2304305719456341,-2.234604743544116
2008-01-15,30.5,30.92999,29.72,30.71001,74200,220807.86666666667,0.6885573770491819,1.409803278688525,-2.5573770491803316
