time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1968-01-02,2.363281,2.363281,2.363281,2.363281,128000,NaN,NaN,NaN,NaN
1968-01-03,2.347656,2.347656,2.347656,2.347656,108800,NaN,-0.6611570947339735,-0.6611570947339735,-0.6611570947339735
1968-01-04,2.359375,2.359375,2.359375,2.359375,233600,NaN,0.49917875532019207,0.49917875532019207,0.49917875532019207
1968-01-05,2.433594,2.433594,2.433594,2.433594,153600,NaN,3.145705960264892,3.145705960264892,3.145705960264892
1968-01-08,2.484375,2.484375,2.484375,2.484375,224000,NaN,2.086666880342415,2.086666880342415,2.086666880342415
1968-01-09,2.390625,2.390625,2.390625,2.390625,403200,NaN,-3.7735849056603774,-3.7735849056603774,-3.7735849056603774
1968-01-10,2.378906,2.378906,2.378906,2.378906,144000,NaN,-0.4902065359477046,-0.4902065359477046,-0.4902065359477046
1968-01-11,2.386719,2.386719,2.386719,2.386719,80000,NaN,0.3284282775359608,0.3284282775359608,0.3284282775359608
1968-01-12,2.382813,2.382813,2.382813,2.382813,278400,NaN,-0.16365562933884314,-0.16365562933884314,-0.16365562933884314
1968-01-15,2.40625,2.40625,2.40625,2.40625,118400,NaN,0.9835853673788053,0.9835853673788053,0.9835853673788053
1968-01-16,2.421875,2.421875,2.421875,2.421875,169600,NaN,0.6493506493506493,0.6493506493506493,0.6493506493506493
1968-01-17,2.417969,2.417969,2.417969,2.417969,147200,NaN,-0.16128000000000775,-0.16128000000000775,-0.16128000000000775
1968-01-18,2.394531,2.394531,2.394531,2.394531,131200,NaN,-0.9693259094719422,-0.9693259094719422,-0.9693259094719422
1968-01-19,2.421875,2.421875,2.421875,2.421875,134400,NaN,1.1419355188970122,1.1419355188970122,1.1419355188970122
1968-01-22,2.40625,2.40625,2.40625,2.40625,67200,NaN,-0.6451612903225805,-0.6451612903225805,-0.6451612903225805
1968-01-23,2.328125,2.328125,2.328125,2.328125,1494400,NaN,-3.2467532467532463,-3.2467532467532463,-3.2467532467532463
1968-01-24,2.304688,2.304688,2.304688,2.304688,70400,NaN,-1.0066899328859034,-1.0066899328859034,-1.0066899328859034
