time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1968-03-13,1.444459,1.444459,1.444459,1.444459,17992,NaN,NaN,NaN,NaN
1968-03-14,1.388903,1.388903,1.388903,1.388903,8992,NaN,-3.8461458580686574,-3.8461458580686574,-3.8461458580686574
1968-03-15,1.333347,1.333347,1.333347,1.333347,21592,NaN,-3.999991360087777,-3.999991360087777,-3.999991360087777
1968-03-18,1.333347,1.333347,1.333347,1.333347,4492,NaN,0,0,0
1968-03-19,1.43057,1.43057,1.43057,1.43057,21592,NaN,7.2916502605848175,7.2916502605848175,7.2916502605848175
1968-03-20,1.43057,1.43057,1.43057,1.43057,10792,NaN,0,0,0
1968-03-21,1.43057,1.43057,1.43057,1.43057,7192,NaN,0,0,0
1968-03-22,1.388903,1.388903,1.388903,1.388903,15292,NaN,-2.9126152512634755,-2.9126152512634755,-2.9126152512634755
1968-03-25,1.375014,1.375014,1.375014,1.375014,7192,NaN,-0.9999978400219482,-0.9999978400219482,-0.9999978400219482
1968-03-26,1.333347,1.333347,1.333347,1.333347,8092,NaN,-3.0302964188000923,-3.0302964188000923,-3.0302964188000923
1968-03-27,1.333347,1.333347,1.333347,1.333347,14392,NaN,0,0,0
1968-03-28,1.305569,1.305569,1.305569,1.305569,4492,NaN,-2.083328645881386,-2.083328645881386,-2.083328645881386
1968-03-29,1.305569,1.305569,1.305569,1.305569,8092,NaN,0,0,0
1968-04-01,1.319458,1.319458,1.319458,1.319458,13492,NaN,1.063827342714176,1.063827342714176,1.063827342714176
1968-04-02,1.305569,1.305569,1.305569,1.305569,7192,NaN,-1.0526291856201593,-1.0526291856201593,-1.0526291856201593
1968-04-03,1.29168,1.29168,1.29168,1.29168,7192,NaN,-1.063827342714176,-1.063827342714176,-1.063827342714176
1968-04-04,1.29168,1.29168,1.29168,1.29168,26992,NaN,0,0,0
1968-04-05,1.29168,1.29168,1.29168,1.29168,7192,NaN,0,0,0
1968-04-08,1.319458,1.319458,1.319458,1.319458,33292,NaN,2.150532639663081,2.150532639663081,2.150532639663081
1968-04-10,1.236123,1.236123,1.236123,1.236123,8992,NaN,-6.3158509024159875,-6.3158509024159875,-6.3158509024159875
