time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1972-12-15,3.15555556,3.15555556,3.15555556,3.15555556,4500,NaN,NaN,NaN,NaN
1972-12-19,3.11111111,3.11111111,3.11111111,3.11111111,4500,NaN,-1.4084508782979521,-1.4084508782979521,-1.4084508782979521
1972-12-20,3.11111111,3.11111111,3.11111111,3.11111111,6750,NaN,0,0,0
1972-12-21,3.11111111,3.11111111,3.11111111,3.11111111,1125,NaN,0,0,0
1972-12-27,3.11111111,3.11111111,3.11111111,3.11111111,1125,NaN,0,0,0
1972-12-29,3.11111111,3.11111111,3.11111111,3.11111111,4500,NaN,0,0,0
1973-01-02,3.11111111,3.11111111,3.11111111,3.11111111,1125,NaN,0,0,0
1973-01-03,3.11111111,3.11111111,3.11111111,3.11111111,7875,NaN,0,0,0
1973-01-04,3.15555556,3.15555556,3.15555556,3.15555556,1125,NaN,1.4285716076530568,1.4285716076530568,1.4285716076530568
1973-01-05,3.37777778,3.37777778,3.37777778,3.37777778,30375,NaN,7.04225344078557,7.04225344078557,7.04225344078557
1973-01-08,3.42222222,3.42222222,3.42222222,3.42222222,12375,NaN,1.3157893412396096,1.3157893412396096,1.3157893412396096
1973-01-09,3.42222222,3.42222222,3.42222222,3.42222222,1125,NaN,0,0,0
1973-01-10,3.42222222,3.42222222,3.42222222,3.42222222,16875,NaN,0,0,0
1973-01-11,3.51111111,3.51111111,3.51111111,3.51111111,24750,NaN,2.5974026315567484,2.5974026315567484,2.5974026315567484
1973-01-12,3.51111111,3.51111111,3.51111111,3.51111111,16875,NaN,0,0,0
1973-01-15,3.46666667,3.46666667,3.46666667,3.46666667,13500,NaN,-1.2658226586284227,-1.2658226586284227,-1.2658226586284227
1973-01-16,3.46666667,3.46666667,3.46666667,3.46666667,5625,NaN,0,0,0
1973-01-17,3.46666667,3.46666667,3.46666667,3.46666667,5625,NaN,0,0,0
1973-01-18,3.46666667,3.46666667,3.46666667,3.46666667,15750,NaN,0,0,0
1973-01-19,3.55555556,3.55555556,3.55555556,3.55555556,13500,NaN,2.5641025936883692,2.5641025936883692,2.5641025936883692
1973-01-22,3.64444444,3.64444444,3.64444444,3.64444444,14625,NaN,2.4999997468749955,2.4999997468749955,2.4999997468749955
1973-01-23,3.64444444,3.64444444,3.64444444,3.64444444,3375,NaN,0,0,0
1973-01-24,3.6,3.6,3.6,3.6,7875,NaN,-1.2195120746579393,-1.2195120746579393,-1.2195120746579393
1973-01-26,2.71111111,2.71111111,2.71111111,2.71111111,10125,NaN,-24.691358055555558,-24.691358055555558,-24.691358055555558
1973-01-30,2.71111111,2.71111111,2.71111111,2.71111111,1125,NaN,0,0,0
1973-01-31,2.71111111,2.71111111,2.71111111,2.71111111,2250,NaN,0,0,0
1973-02-01,2.66666667,2.66666667,2.66666667,2.66666667,4500,NaN,-1.639344099032515,-1.639344099032515,-1.639344099032515
1973-02-02,2.66666667,2.66666667,2.66666667,2.66666667,10125,NaN,0,0,0
1973-02-05,2.57777778,2.57777778,2.57777778,2.57777778,5625,NaN,-3.3333333708333415,-3.3333333708333415,-3.3333333708333415
1973-02-06,2.57777778,2.57777778,2.57777778,2.57777778,2250,8362.5,0,0,0
1973-02-07,2.57777778,2.57777778,2.57777778,2.57777778,4500,8362.5,0,0,0
