time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1986-04-02,0.804688,0.820313,0.800781,0.804688,40921600,NaN,NaN,NaN,NaN
1986-04-03,0.804688,0.945313,0.804688,0.90625,20761600,NaN,12.621289245024164,17.47571729664168,0
1986-04-04,0.90625,0.9375,0.898438,0.90625,10419200,NaN,0,3.4482758620689644,-0.8620137931034529
1986-04-07,0.90625,0.90625,0.875,0.890625,6387200,NaN,-1.7241379310344827,0,-3.4482758620689653
1986-04-08,0.890625,0.914063,0.867188,0.90625,2768000,NaN,1.7543859649122804,2.6316350877192933,-2.6315228070175487
1986-04-09,0.90625,0.929688,0.90625,0.921875,2454400,NaN,1.7241379310344827,2.586262068965513,0
1986-04-10,0.921875,0.984375,0.921875,0.96875,5267200,NaN,5.084745762711865,6.779661016949152,0
1986-04-11,0.976563,1,0.976563,1,2464000,NaN,3.225806451612903,3.225806451612903,0.8065032258064474
1986-04-14,1,1.039063,0.992188,1.039063,2601600,NaN,3.906300000000007,3.906300000000007,-0.7812000000000042
1986-04-15,1.039063,1.054688,1.023438,1.046875,1648000,NaN,0.751831217163919,1.5037586748830436,-1.5037586748830436
1986-04-16,1.046875,1.117188,1.046875,1.117188,1993600,NaN,6.7164656716417985,6.716465671641798,0
1986-04-17,1.117188,1.132813,1.109375,1.132813,1296000,NaN,1.3986007726541994,1.3986007726541994,-0.6993451415518309
1986-04-18,1.132813,1.171875,1.125,1.15625,3625600,NaN,2.06892046613165,3.4482302021604556,-0.6896990059259621
1986-04-21,1.15625,1.289063,1.15625,1.273438,4800000,NaN,10.135178378378384,11.486529729729735,0
1986-04-22,1.273438,1.40625,1.257813,1.320313,6912000,NaN,3.680980149799204,10.429404493976143,-1.2269933832664015
1986-04-23,1.320313,1.335938,1.28125,1.320313,3430400,NaN,0,1.1834315044993122,-2.958616631056429
1986-04-24,1.320313,1.351563,1.320313,1.328125,1353600,NaN,0.5916778824415067,2.3668630089986236,0
1986-04-25,1.328125,1.34375,1.3125,1.335938,1228800,NaN,0.5882729411764759,1.1764705882352942,-1.1764705882352942
1986-04-28,1.335938,1.351563,1.328125,1.328125,454400,NaN,-0.5848325296533273,1.1695902055334904,-0.5848325296533274
1986-04-29,1.328125,1.335938,1.3125,1.335938,3337600,NaN,0.5882729411764759,0.5882729411764759,-1.1764705882352942
1986-04-30,1.335938,1.335938,1.203125,1.203125,4256000,NaN,-9.941554173921249,0,-9.941554173921249
1986-05-01,1.203125,1.203125,1.15625,1.164063,2880000,NaN,-3.2467116883116827,0,-3.896103896103896
1986-05-02,1.164063,1.175781,1.164063,1.171875,838400,NaN,0.6710976983204455,1.0066465474806685,0
1986-05-05,1.171875,1.179688,1.164063,1.171875,886400,NaN,0,0.6667093333333393,-0.666623999999994
1986-05-06,1.171875,1.179688,1.164063,1.171875,1043200,NaN,0,0.6667093333333393,-0.666623999999994
1986-05-07,1.171875,1.171875,1.078125,1.101563,3372800,NaN,-5.999957333333327,0,-8
1986-05-08,1.101563,1.109375,1.039063,1.085938,3769600,NaN,-1.418439072481556,0.7091741461904522,-5.673756289926223
1986-05-09,1.09375,1.136719,1.09375,1.117188,2182400,NaN,2.8776965167440496,4.676233818136943,0.719378086041738
