time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
11/28/1984,0.128906,0.128906,0.128906,0.128906,492800,1147200,0,0,0
11/29/1984,0.128906,0.128906,0.128906,0.128906,262400,826986.6667,0,0,0
11/30/1984,0.128906,0.128906,0.128906,0.128906,556800,668053.3333,0,0,0
12/3/1984,0.125,0.125,0.125,0.125,380800,579306.6667,-3.030114967,-3.030114967,-3.030114967
12/4/1984,0.121094,0.121094,0.121094,0.121094,217600,509013.3333,-3.1248,-3.1248,-3.1248
12/5/1984,0.121094,0.121094,0.121094,0.121094,102400,486186.6667,0,0,0
12/6/1984,0.117188,0.117188,0.117188,0.117188,630400,499520,-3.225593341,-3.225593341,-3.225593341
12/7/1984,0.117188,0.117188,0.117188,0.117188,86400,449493.3333,0,0,0
12/10/1984,0.117188,0.117188,0.117188,0.117188,2099200,494186.6667,0,0,0
12/11/1984,0.117188,0.117188,0.117188,0.117188,188800,480000,0,0,0
12/12/1984,0.117188,0.117188,0.117188,0.117188,393600,486720,0,0,0
12/13/1984,0.117188,0.117188,0.117188,0.117188,102400,480213.3333,0,0,0
12/14/1984,0.117188,0.117188,0.117188,0.117188,89600,471466.6667,0,0,0
12/17/1984,0.117188,0.117188,0.117188,0.117188,102400,420266.6667,0,0,0
12/18/1984,0.117188,0.117188,0.117188,0.117188,214400,409600,0,0,0
12/19/1984,0.117188,0.117188,0.117188,0.117188,102400,394880,0,0,0
12/20/1984,0.117188,0.117188,0.117188,0.117188,121600,396373.3333,0,0,0
12/21/1984,0.117188,0.117188,0.117188,0.117188,704000,418346.6667,0,0,0
12/24/1984,0.117188,0.117188,0.117188,0.117188,921600,419200,0,0,0
12/26/1984,0.117188,0.117188,0.117188,0.117188,521600,426560,0,0,0
12/27/1984,0.117188,0.117188,0.117188,0.117188,947200,442666.6667,0,0,0
12/28/1984,0.117188,0.117188,0.117188,0.117188,76800,394453.3333,0,0,0
12/31/1984,0.117188,0.117188,0.117188,0.117188,457600,404480,0,0,0
1/2/1985,0.121094,0.121094,0.121094,0.121094,179200,391146.6667,3.333105779,3.333105779,3.333105779
1/3/1985,0.121094,0.121094,0.121094,0.121094,227200,386773.3333,0,0,0
1/4/1985,0.121094,0.121094,0.121094,0.121094,390400,393813.3333,0,0,0
1/7/1985,0.128906,0.128906,0.128906,0.128906,2652800,452053.3333,6.451186681,6.451186681,6.451186681
1/8/1985,0.144531,0.144531,0.144531,0.144531,1190400,490880,12.12123563,12.12123563,12.12123563
1/9/1985,0.144531,0.144531,0.144531,0.144531,403200,498773.3333,0,0,0
1/10/1985,0.148438,0.148438,0.148438,0.148438,1062400,529280,2.703226297,2.703226297,2.703226297
1/11/1985,0.148438,0.148438,0.148438,0.148438,188800,519146.6667,0,0,0
1/14/1985,0.152344,0.152344,0.152344,0.152344,131200,514773.3333,2.631401663,2.631401663,2.631401663
1/15/1985,0.15625,0.15625,0.15625,0.15625,320000,506880,2.563934254,2.563934254,2.563934254
1/16/1985,0.15625,0.15625,0.15625,0.15625,134400,498666.6667,0,0,0
1/17/1985,0.15625,0.15625,0.15625,0.15625,441600,506133.3333,0,0,0
1/18/1985,0.15625,0.15625,0.15625,0.15625,556800,521280,0,0,0
1/21/1985,0.15625,0.15625,0.15625,0.15625,112000,504000,0,0,0
1/22/1985,0.15625,0.15625,0.15625,0.15625,441600,515840,0,0,0
1/23/1985,0.15625,0.15625,0.15625,0.15625,156800,451093.3333,0,0,0
1/24/1985,0.175781,0.175781,0.175781,0.175781,1475200,493973.3333,12.49984,12.49984,12.49984
1/25/1985,0.1875,0.1875,0.1875,0.1875,1110400,517866.6667,6.666818371,6.666818371,6.666818371
1/28/1985,0.1875,0.1875,0.1875,0.1875,908800,544746.6667,0,0,0
1/29/1985,0.1875,0.1875,0.1875,0.1875,1660800,597120,0,0,0
1/30/1985,0.195313,0.195313,0.195313,0.195313,928000,624640,4.166933333,4.166933333,4.166933333
1/31/1985,0.195313,0.195313,0.195313,0.195313,656000,639360,0,0,0
2/1/1985,0.195313,0.195313,0.195313,0.195313,208000,642880,0,0,0
2/4/1985,0.207031,0.207031,0.207031,0.207031,966400,671040,5.999600641,5.999600641,5.999600641
2/5/1985,0.234375,0.234375,0.234375,0.234375,2320000,724906.6667,13.20768387,13.20768387,13.20768387
2/6/1985,0.242188,0.242188,0.242188,0.242188,1280000,736853.3333,3.333546667,3.333546667,3.333546667
2/7/1985,0.238281,0.238281,0.238281,0.238281,1113600,756586.6667,-1.613209573,-1.613209573,-1.613209573
2/8/1985,0.265625,0.265625,0.265625,0.265625,4268800,867306.6667,11.47552679,11.47552679,11.47552679
2/11/1985,0.269531,0.269531,0.269531,0.269531,998400,898026.6667,1.470494118,1.470494118,1.470494118
2/12/1985,0.261719,0.261719,0.261719,0.261719,1472000,931840,-2.898367906,-2.898367906,-2.898367906
2/13/1985,0.261719,0.261719,0.261719,0.261719,611200,946240,0,0,0
2/14/1985,0.257813,0.257813,0.257813,0.257813,355200,950506.6667,-1.492440365,-1.492440365,-1.492440365
