time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1999-11-10,65,70.3125,64.5,68.125,80768128,NaN,NaN,NaN,NaN
1999-11-11,68.75,76.9375,68.75,74.875,28305504,NaN,9.908256880733946,12.935779816513762,0.9174311926605505
1999-11-12,76,76.625,69.25,70.125,14767602,NaN,-6.343906510851417,2.3372287145242066,-7.512520868113524
1999-11-15,70.5,70.875,67.3125,69,8675102,NaN,-1.6042780748663104,1.06951871657754,-4.010695187165775
1999-11-16,67.875,68,65,66,6958898,NaN,-4.3478260869565215,-1.4492753623188408,-5.797101449275362
1999-11-17,65.5625,68.1875,65.125,67.6875,5806898,NaN,2.5568181818181817,3.3143939393939394,-1.3257575757575752
1999-11-18,67.9375,68.9375,66.125,66.3125,4718699,NaN,-2.0313942751615883,1.8467220683287167,-2.308402585410896
1999-11-19,66.3125,66.3125,64.25,65,5091000,NaN,-1.9792648444863337,0,-3.1102733270499527
1999-11-22,64.0625,64.25,61,63.125,4785398,NaN,-2.8846153846153846,-1.153846153846154,-6.153846153846154
1999-11-23,63.375,67,63.25,66.1875,2832200,NaN,4.8514851485148505,6.138613861386139,0.1980198019801982
1999-11-24,66,68.1875,65.9375,67.6875,2179400,NaN,2.26628895184136,3.0217186024551466,-0.3777148253068934
1999-11-26,68.4375,69.4375,68.1875,69.125,1322500,NaN,2.1237303785780237,2.585410895660203,0.7386888273314864
1999-11-29,70,70.25,67,68.125,1987000,NaN,-1.446654611211573,1.62748643761302,-3.0741410488245924
1999-11-30,67.375,67.625,66.0625,66.0625,1685900,NaN,-3.0275229357798166,-0.7339449541284402,-3.0275229357798166
1999-12-01,66.25,67.375,65.625,65.875,1405700,NaN,-0.2838221381267738,1.9867549668874174,-0.6622516556291389
1999-12-02,66,67.0625,65.875,67.0625,1391000,NaN,1.8026565464895636,1.8026565464895636,0
1999-12-03,67.4375,67.6875,66.3125,66.625,1753000,NaN,-0.6523765144454798,0.9319664492078285,-1.1183597390493942
1999-12-06,66.5,66.5,65.375,66.25,1398900,NaN,-0.5628517823639775,-0.18761726078799257,-1.876172607879925
1999-12-07,65.9375,68,65.875,68,1793100,NaN,2.6415094339622645,2.6415094339622645,-0.5660377358490565
1999-12-08,68,68.375,66.75,68.375,1774000,NaN,0.5514705882352944,0.5514705882352944,-1.8382352941176472
1999-12-09,68.375,68.75,66.625,67.5,1713600,NaN,-1.2797074954296161,0.5484460694698354,-2.5594149908592323
1999-12-10,66.375,67,65.375,66.125,1251600,NaN,-2.037037037037037,-0.7407407407407409,-3.148148148148148
1999-12-13,66.375,66.9375,64.875,66,1417800,NaN,-0.18903591682419663,1.2287334593572778,-1.890359168241966
