time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1980-01-02,1.708843,1.883611,1.650587,1.708843,1394274,NaN,NaN,NaN,NaN
1980-01-03,1.708843,1.74768,1.572912,1.74768,1257806,NaN,2.272707323024995,2.272707323024995,-7.954563409277495
1980-01-04,1.74768,2.174891,1.74768,2.155472,2296755,NaN,23.333333333333346,24.444463517348726,0
1980-01-07,2.271984,2.466171,2.271984,2.349659,2667533,NaN,9.009024473525978,14.414429878931392,5.405405405405393
1980-01-08,2.349659,2.349659,2.271984,2.33024,2240753,NaN,-0.8264603502040107,0,-3.3057988414489152
1980-01-09,2.33024,2.369077,2.194309,2.213728,1380113,NaN,-4.9999999999999885,1.6666523619884652,-5.833347638011527
1980-01-10,2.213728,2.271984,2.174891,2.194309,951401,NaN,-0.877208040012146,2.631578947368405,-1.7543709073562788
1980-01-11,2.194309,2.252565,2.116635,2.194309,1839077,NaN,0,2.6548676599330396,-3.5397931649553467
1980-01-14,2.194309,2.271984,2.174891,2.213728,1192792,NaN,0.8849710774553663,3.539838737388386,-0.884925505022307
1980-01-15,2.213728,2.291403,2.174891,2.291403,1613135,NaN,3.508786987380551,3.508786987380551,-1.754370907356279
1980-01-16,2.291403,2.388496,2.271984,2.291403,1277121,NaN,0,4.237272972061226,-0.8474720509661582
1980-01-17,2.291403,2.310821,2.233147,2.271984,498230,NaN,-0.8474720509661582,0.8474284095813758,-2.5423725115136726
1980-01-18,2.271984,2.33024,2.252565,2.33024,489218,NaN,2.5641025641025683,2.5641025641025683,-0.8547155261656609
1980-01-21,2.33024,2.349659,2.291403,2.33024,502092,NaN,0,0.8333476380115385,-1.6666523619884652
1980-01-22,2.310821,2.310821,2.213728,2.252565,1089157,NaN,-3.333347638011523,-0.8333476380115385,-4.9999999999999885
1980-01-23,2.252565,2.349659,2.252565,2.349659,849054,NaN,4.310375061318977,4.310375061318976,0
1980-01-24,2.369077,2.466171,2.369077,2.466171,1458000,NaN,4.958676982489807,4.958676982489807,0.8264177908368805
1980-01-25,2.466171,2.738032,2.427333,2.718613,2180889,NaN,10.236192056430792,11.023607041036485,-1.5748299692113865
1980-01-28,2.718613,2.776869,2.679776,2.718613,1437402,NaN,0,2.1428574055961658,-1.4285593425765275
1980-01-29,2.699195,2.699195,2.505008,2.602101,1587387,NaN,-4.285714811192315,-0.7142612795568892,-7.857131559365007
1980-01-30,2.602101,2.660357,2.563264,2.640939,1017702,NaN,1.4925631249517108,2.238806256943894,-1.492524694468047
1980-01-31,2.679776,2.9128,2.679776,2.796288,2995828,NaN,5.882339576945935,10.294103725985337,1.470575427906514
1980-02-01,2.796288,3.029312,2.699195,3.029312,2148704,NaN,8.333333333333329,8.333333333333329,-3.472210301657057
1980-02-04,3.029312,3.184661,2.9128,2.932219,2316066,NaN,-3.205117201529591,5.128194124606518,-3.846153846153852
1980-02-05,2.9128,2.9128,2.796288,2.873963,1239138,NaN,-1.9867547410340116,-0.662262948299567,-4.635772430367576
1980-02-06,2.873963,2.893381,2.776869,2.815707,1153527,NaN,-2.027026791924588,0.6756524005354412,-3.3784011833137657
1980-02-07,2.854544,3.068149,2.854544,3.029312,1488258,NaN,7.586194160116795,8.965492503303782,1.3792983431869863
1980-02-08,3.029312,3.165243,3.009893,3.068149,1719350,NaN,1.2820402784526657,4.487190490778097,-0.6410366446242604
1980-02-11,3.087568,3.20408,3.087568,3.126405,2510467,NaN,1.8987343834996309,4.430391092479531,0.6329223254802838
1980-02-12,3.126405,3.456523,3.068149,3.456523,2190545,1566059.1333333333,10.559028660714134,10.559028660714134,-1.863354235935526
1980-02-13,3.456523,3.592453,3.281755,3.301173,3046036,1621117.8666666667,-4.494400876256281,3.9325646032154307,-5.0561792876830225
1980-02-14,3.301173,3.340011,3.009893,3.087568,2645647,1667379.2333333334,-6.470578791235717,1.1764909018703396,-8.82353030271361
1980-02-15,3.087568,3.165243,2.951637,3.165243,2663027,1679588.3,2.515734066423791,2.5157340664237906,-4.402526519253996
1980-02-19,3.165243,3.359429,3.145824,3.301173,1870619,1653024.5,4.294457013253015,6.134947616976017,-0.6135073989579833
1980-02-20,3.320592,3.475941,3.320592,3.359429,1709694,1635322.5333333334,1.764706060542725,5.294118181628175,0.5882454509351698
1980-02-21,3.359429,3.417685,3.145824,3.165243,1361445,1634700.2666666666,-5.780327549711579,1.734104218306149,-6.358372211468074
1980-02-22,3.165243,3.242917,3.087568,3.20408,1264886,1645149.7666666666,1.2269832047650056,2.453966409530012,-2.453998002680986
1980-02-25,3.20408,3.242917,3.126405,3.145824,567749,1602772.1666666667,-1.8181818181818068,1.2121108087188839,-2.424252827644744
1980-02-26,3.145824,3.20408,3.106987,3.20408,702930,1586443.4333333333,1.8518518518518405,1.8518518518518403,-1.2345573051766408
1980-02-27,3.20408,3.262336,3.048731,3.048731,1011909,1566402.5666666667,-4.848474445082512,1.8181818181818208,-4.848474445082512
1980-02-28,3.048731,3.145824,3.029312,3.048731,510460,1540847.2,0,3.184702094084394,-0.6369535390298475
1980-02-29,3.048731,3.184661,3.048731,3.048731,451240,1539280.8666666667,0,4.4585763716116675,0
1980-03-03,3.048731,3.068149,2.893381,2.893381,970712,1555330.6666666667,-5.095562711173924,0.6369207384974249,-5.095562711173924
1980-03-04,2.893381,2.9128,2.776869,2.9128,1624722,1592751.6666666667,0.6711525374639438,0.6711525374639437,-4.026846101498563
1980-03-05,2.9128,2.9128,2.718613,2.796288,702286,1579855.9666666666,-3.999999999999991,0,-6.666678110409224
1980-03-06,2.796288,2.815707,2.640939,2.699195,1033151,1585992.5333333334,-3.4722103016570576,0.6944563650096154,-5.555543634990393
1980-03-07,2.699195,2.699195,2.563264,2.640939,1236564,1578611.3333333333,-2.158273114761997,0,-5.035982950472263
1980-03-10,2.640939,2.640939,2.446752,2.563264,1203735,1546039.5333333334,-2.9411887211328893,0,-7.3529528701723095
1980-03-11,2.602101,2.679776,2.602101,2.640939,610233,1518467.2333333334,3.03031603455593,4.545454545454534,1.5151385108986055
1980-03-12,2.640939,2.738032,2.640939,2.660357,679113,1488191.4333333333,0.7352687812933181,3.676457502426224,0
1980-03-13,2.738032,2.835125,2.738032,2.757451,530415,1471948.5333333334,3.6496605530761563,6.569343888808918,2.919720924672898
1980-03-14,2.718613,2.718613,2.62152,2.660357,390084,1385090.4,-3.521150511831406,-1.408474710883354,-4.929588957337782
1980-03-17,2.660357,2.660357,2.388496,2.563264,755713,1338657.3666666667,-3.6496229641360034,0,-10.218966852944922
1980-03-18,2.543845,2.543845,2.271984,2.543845,1217896,1302051.7,-0.7575887618286714,-0.7575887618286713,-11.36363636363638
1980-03-19,2.543845,2.62152,2.388496,2.446752,715804,1284607.2333333334,-3.816781289740534,3.0534486181351346,-6.106857925699096
1980-03-20,2.446752,2.505008,2.407915,2.446752,518828,1263450.6,0,2.3809523809523845,-1.5872879637985378
1980-03-21,2.446752,2.466171,2.369077,2.427333,559381,1232488.0333333334,-0.7936644171538462,0.7936644171538463,-3.1746167981062308
1980-03-24,2.427333,2.427333,2.136053,2.213728,913423,1205623.8,-8.799987475966415,0,-12.000001647899154
1980-03-25,2.213728,2.252565,2.116635,2.213728,773737,1147732.8,0,1.754370907356279,-4.385949854724704
