time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
2012-10-12,48.05,51.37,45.05,48.69,18137056,NaN,NaN,NaN,NaN
2012-10-15,48.74001,53,48.60001,51.94,3092272,NaN,6.674881905935511,8.851920312179097,-0.18482234545081175
2012-10-16,53.49001,53.5,51.91,52.16,805382,NaN,0.42356565267616286,3.003465537158264,-0.05775895263766104
2012-10-17,52.02,57.21001,52,55.41,1386467,NaN,6.230828220858895,9.681767638036812,-0.3067484662576622
2012-10-18,55.08,55.10001,50.87,53.42,1523359,NaN,-3.591409492871315,-0.5594477531131545,-8.193466883234073
2012-10-19,52.33,55.58,51.53,55.25,1442157,NaN,3.425683264694867,4.043429427180825,-3.5380007487832277
2012-10-22,55.58,56.22,54.11,55.39999,478184,NaN,0.27147511312217665,1.7556561085972833,-2.063348416289594
2012-10-23,55.37,55.50999,54.14,54.38,386235,NaN,-1.8411375164508148,0.19855599251913114,-2.274350591038016
2012-10-24,54.00999,54.25,51.86,52.12,469572,NaN,-4.155939683707254,-0.2390584773813949,-4.634056638470032
2012-10-25,53.33,53.33,48.60001,49.24001,800579,NaN,-5.525690713737528,2.3215656178050668,-6.753626247122026
2012-10-26,49.64999,50.5,48.2,50,484592,NaN,1.543439978992697,2.5588743787826242,-2.1121238602510344
2012-10-31,51,51.03,48.09,48.5,400835,NaN,-3,2.0600000000000023,-3.8199999999999927
2012-11-01,49.10001,49.66,48.17999,48.92,305879,NaN,0.8659793814433026,2.3917525773195805,-0.6598144329896978
2012-11-02,50.74001,50.74001,48.3,48.52,178857,NaN,-0.8176614881439055,3.7203802125919796,-1.2673753066230673
2012-11-05,49.98,50,48.74001,49.88,310177,NaN,2.802967848309974,3.050288540807908,0.4534418796372526
2012-11-06,48.53,50.33,48.25,48.53999,509833,NaN,-2.6864675220529257,0.9021651964715232,-3.2678428227746643
2012-11-07,48.42999,48.71001,46.82001,48.07001,284010,NaN,-0.9682325851323816,0.35026789251500423,-3.543428830537459
