time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
5/12/1972,0.016846,0.016846,0.016846,0.016846,9523209,18903058.4,0.977042498,0.977042498,0.977042498
5/15/1972,0.017415,0.017415,0.017415,0.017415,35635235,20049939.53,3.377656417,3.377656417,3.377656417
5/16/1972,0.017415,0.017415,0.017415,0.017415,13516813,20459539.93,0,0,0
5/17/1972,0.017253,0.017253,0.017253,0.017253,10752010,20787220.27,-0.930232558,-0.930232558,-0.930232558
5/18/1972,0.017415,0.017415,0.017415,0.017415,10905610,21073940.53,0.938967136,0.938967136,0.938967136
5/19/1972,0.018473,0.018473,0.018473,0.018473,21504021,21657621.13,6.075222509,6.075222509,6.075222509
5/22/1972,0.018473,0.018473,0.018473,0.018473,9984009,21954581.4,0,0,0
5/23/1972,0.01888,0.01888,0.01888,0.01888,16435216,22389781.83,2.203215504,2.203215504,2.203215504
5/24/1972,0.019857,0.019857,0.019857,0.019857,22886422,23116822.53,5.174788136,5.174788136,5.174788136
5/25/1972,0.020426,0.020426,0.020426,0.020426,9523209,23383062.8,2.865488241,2.865488241,2.865488241
5/26/1972,0.020752,0.020752,0.020752,0.020752,14899214,23705623.1,1.596005092,1.596005092,1.596005092
5/30/1972,0.020671,0.020671,0.020671,0.020671,5529605,23823383.23,-0.390323824,-0.390323824,-0.390323824
5/31/1972,0.020426,0.020426,0.020426,0.020426,29184029,24739864.17,-1.185235354,-1.185235354,-1.185235354
6/1/1972,0.020426,0.020426,0.020426,0.020426,7680007,24837144.27,0,0,0
6/2/1972,0.020426,0.020426,0.020426,0.020426,3993603,24555543.97,0,0,0
6/5/1972,0.019775,0.019775,0.019775,0.019775,12288012,24734744.17,-3.187114462,-3.187114462,-3.187114462
6/6/1972,0.019775,0.019775,0.019775,0.019775,16281616,24872984.3,0,0,0
6/7/1972,0.019775,0.019775,0.019775,0.019775,4915204,24519703.93,0,0,0
6/8/1972,0.019694,0.019694,0.019694,0.019694,4300804,24355863.77,-0.409608091,-0.409608091,-0.409608091
