time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
2002-10-25,13,13.15,12.85,13.01,13965801,NaN,NaN,NaN,NaN
2002-10-28,13.01,13.05,12.963,13.01,5505898,NaN,0,0.307455803228293,-0.36126056879324053
2002-10-29,13,13.01,12.04,12.64,2235800,NaN,-2.843966179861639,0,-7.455803228285938
2002-10-30,12.61,12.62,12.13,12.5,905800,NaN,-1.1075949367088653,-0.1582278481012765,-4.0348101265822764
2002-10-31,12.56,13.02,12.5021,12.61,298900,NaN,0.8799999999999955,4.159999999999997,0.01680000000000348
2002-11-01,12.59,12.7,12.57,12.61,268800,NaN,0,0.7137192704203001,-0.31720856463123825
2002-11-04,12.66,12.95,12.65,12.91,1307600,NaN,2.3790642347343436,2.696272799365582,0.31720856463125235
2002-11-05,12.919,13.24,12.89,13.02,2384700,NaN,0.8520526723470132,2.556158017041054,-0.1549186676994545
2002-11-06,13.03,13.2,13,13,204300,NaN,-0.1536098310291827,1.3824884792626706,-0.1536098310291826
2002-11-07,13.08,13.16,12.36,13.05,724200,NaN,0.38461538461539013,1.2307692307692317,-4.923076923076927
2002-11-08,13.02,13.039,12.83,12.93,106500,NaN,-0.919540229885065,-0.08429118773947142,-1.6858237547892765
2002-11-11,13,13,12.65,12.71,110500,NaN,-1.701469450889396,0.5413766434648127,-2.165506573859237
2002-11-12,12.73,12.74,11.86,11.96,540700,NaN,-5.9008654602675055,0.23603461841069517,-6.687647521636518
2002-11-13,12.05,12.09,10.76,11.1,695600,NaN,-7.190635451505026,1.0869565217391222,-10.033444816053521
2002-11-14,11.13,11.25,10.88,11.09,462800,NaN,-0.09009009009008828,1.3513513513513546,-1.9819819819819724
2002-11-15,11.1,11.56,11.08,11.55,460700,NaN,4.147880973850324,4.238052299368807,-0.09017132551848328
2002-11-18,11.58,13.05,11.57,12.18,325400,NaN,5.454545454545445,12.987012987012985,0.17316017316016946
2002-11-19,12.36,12.8,12.02,12.6,211596,NaN,3.448275862068965,5.090311986863719,-1.3136288998357974
2002-11-20,12.561,12.6,12.23,12.41,92725,NaN,-1.507936507936504,0,-2.93650793650793
2002-11-21,12.54,12.85,12.54,12.85,91300,NaN,3.5455278001611563,3.5455278001611563,1.0475423045930623
2002-11-22,12.85,12.86,12.5,12.65,55300,NaN,-1.55642023346303,0.07782101167315014,-2.7237354085603087
2002-11-25,12.8,13,12.66,12.93,111000,NaN,2.2134387351778604,2.7667984189723294,0.0790513833992077
2002-11-26,12.94,12.94,12.74,12.74,59300,NaN,-1.4694508894044822,0.07733952049497139,-1.469450889404482
2002-11-27,12.9,12.9,12.5,12.5,94300,NaN,-1.8838304552590284,1.2558869701726856,-1.8838304552590284
2002-11-29,12.78,12.89,12.6,12.82,35400,NaN,2.5600000000000023,3.1200000000000045,0.7999999999999972
2002-12-02,12.94,12.95,12.35,12.41,93600,NaN,-3.1981279251170056,1.014040561622457,-3.6661466458658394
2002-12-03,12.5,12.5,12.31,12.37,31100,NaN,-0.32232070910556754,0.7252215954875089,-0.8058017727638971
2002-12-04,12.45,12.6,12.31,12.6,42300,NaN,1.8593371059013775,1.859337105901378,-0.48504446240904386
2002-12-05,12.85,13.3,12.76,13.28,366100,NaN,5.396825396825395,5.555555555555564,1.269841269841271
2002-12-06,13.15,13.38,12.99,13.18,129300,1063910.6666666667,-0.7530120481927689,0.7530120481927813,-2.18373493975903
2002-12-09,13.29,13.3,12.87,13,106900,601947.3,-1.3657056145675244,0.9104704097116919,-2.3520485584218553
2002-12-10,13,13.19,12.93,13,48300,420027.36666666664,0,1.4615384615384577,-0.5384615384615405
2002-12-11,13.1,13.39,13.02,13.25,189700,351824.0333333333,1.9230769230769231,3.0000000000000044,0.15384615384615064
2002-12-12,13.39,13.8,13.27,13.74,361400,333677.36666666664,3.698113207547171,4.15094339622642,0.15094339622641187
2002-12-13,13.729,14.39,13.53,13.6,615664,344236.1666666667,-1.0189228529839922,4.730713245997091,-1.5283842794759888
2002-12-16,13.749,14.07,13.66,13.68,170900,340972.8333333333,0.5882352941176476,3.4558823529411815,0.44117647058823883
2002-12-17,13.91,13.91,13.31,13.489,95100,300556.1666666667,-1.3961988304093491,1.6812865497076053,-2.7046783625730937
2002-12-18,13.5,13.59,13.061,13.32,110800,224759.5,-1.2528727110979352,0.7487582474608873,-3.1729557417154775
2002-12-19,13.5,13.5,12.5,12.75,233735,225740.66666666666,-4.279279279279281,1.351351351351349,-6.156156156156158
2002-12-20,12.799,13.4,12.69,13.089,134900,206097.33333333334,2.6588235294117677,5.098039215686277,-0.4705882352941213
2002-12-23,13.09,13.59,13.011,13.45,65365,204726.16666666666,2.7580411032164327,3.8276415310566083,-0.5959202383681044
2002-12-24,13.6,13.91,13.32,13.51,52300,202786.16666666666,0.4460966542750966,3.4200743494423853,-0.9665427509293606
2002-12-26,13.66,13.66,12.969,13.25,16300,185306.16666666666,-1.9245003700962235,1.1102886750555174,-4.004441154700225
2002-12-27,13.29,13.29,12.95,13,42500,163536.16666666666,-1.8867924528301887,0.3018867924528237,-2.2641509433962317
2002-12-30,13.099,13.369,13,13.101,32700,149199.5,0.7769230769230835,2.8384615384615364,0
2002-12-31,13.35,13.5,13.1,13.11,72000,136242.83333333334,0.06869704602700988,3.0455690405312503,-0.007633005114122755
2003-01-02,13.01,13.5,13,13.5,89700,128386.16666666667,2.9748283752860454,2.9748283752860454,-0.8390541571319561
