time,open,high,low,close,Volume,Volume MA,% Return,% Return Wick Highs,% Return Wick Lows
1997-09-12,5.752432,5.752432,5.752432,5.752432,556,NaN,NaN,NaN,NaN
1997-09-15,5.752432,5.752432,5.752432,5.752432,556,NaN,0,0,0
1997-09-16,5.752432,7.19054,5.752432,7.19054,4450,NaN,25.00000000000001,25.00000000000001,0
1997-09-17,5.168201,5.437846,5.168201,5.235612,29179438,NaN,-27.187499130802426,-24.374998261604834,-28.1249947848145
1997-09-18,5.303023,5.415375,5.258082,5.415375,6730509,NaN,3.4334668038808154,3.4334668038808154,0.42917618799865664
1997-09-19,5.40414,5.572669,5.40414,5.437846,3439519,NaN,0.4149481799506103,2.9045818618285946,-0.20746485700436446
1997-09-22,5.392905,5.460316,5.38167,5.392905,5829882,NaN,-0.8264485606984928,0.41321508553201625,-1.0330561034645092
1997-09-23,5.392905,5.415375,5.38167,5.392905,2738041,NaN,0,0.41665855415588093,-0.20832927707794047
1997-09-24,5.40414,5.415375,5.38167,5.392905,2575049,NaN,0,0.41665855415588093,-0.20832927707794047
1997-09-25,5.392905,5.471552,5.392905,5.471552,1005765,NaN,1.4583420253091819,1.4583420253091819,0
1997-09-26,5.460316,5.617609,5.449081,5.606374,1636038,NaN,2.4640540746025947,2.6693888680944617,-0.41068786333384666
1997-09-29,5.617609,5.685021,5.617609,5.685021,1707799,NaN,1.4028140113378118,1.4028140113378118,0.20039690537948607
1997-09-30,5.741197,5.999607,5.729962,5.819843,4638316,NaN,2.371530377812145,5.533594335007738,0.7905159892989061
1997-10-01,5.831079,5.831079,5.572669,5.572669,3525187,NaN,-4.247090514297367,0.1930636273177857,-4.247090514297367
1997-10-02,5.595139,5.606374,5.482787,5.550198,1870235,NaN,-0.40323586417927126,0.6048268791848113,-1.612907567271629
1997-10-03,5.606374,5.66255,5.572669,5.628845,2064935,NaN,1.4170125101843238,2.024288142513122,0.4048684389277706
1997-10-06,5.606374,5.797373,5.606374,5.752432,7840857,NaN,2.1956014066828926,2.9940067633768606,-0.39921156116397505
1997-10-07,5.797373,5.887255,5.505257,5.595139,21597821,NaN,-2.7343739135030214,2.343756518981883,-4.296878259490933
1997-10-08,5.595139,5.617609,5.482787,5.516492,16661335,NaN,-1.4056308520663963,0.40159860192928565,-2.008028754960325
1997-10-09,5.505257,5.752432,5.40414,5.741197,12841872,NaN,4.073331385235386,4.276993422631617,-2.0366566288866266
1997-10-10,5.550198,5.741197,5.527728,5.673785,10306875,NaN,-1.1741802275727524,0,-3.718196745382538
1997-10-13,5.685021,5.763667,5.673785,5.763667,10518820,NaN,1.5841629529494021,1.5841629529494023,0
1997-10-14,5.718726,5.831079,5.707491,5.729962,17073543,NaN,-0.584783957851823,1.1696026158346766,-0.9746572798185561
1997-10-15,5.595139,5.718726,5.595139,5.707491,9046886,NaN,-0.39216664962176623,-0.1960920508722439,-2.3529475413624175
1997-10-16,5.752432,5.774902,5.66255,5.707491,9000714,NaN,0,1.1810969128115993,-0.787403782152257
1997-10-17,5.617609,5.64008,5.449081,5.606374,6430115,NaN,-1.771654129634201,-1.1810969128115993,-4.52755860675033
1997-10-20,5.583904,5.831079,5.583904,5.797373,7993836,NaN,3.4068187388140823,4.008027291793237,-0.40079381075895615
1997-10-21,5.752432,6.145665,5.752432,6.033312,9217666,NaN,4.069757112402448,6.00775558170916,-0.7751959378842894
1997-10-22,5.932196,5.999607,5.864784,5.932196,5609592,NaN,-1.6759617271574774,-0.5586483841710725,-2.7932916447881255
1997-10-23,5.842314,5.943431,5.797373,5.932196,7687322,7292450.966666667,0,0.18939023592612425,-2.272733402605037
